fit_id,observer,pool_id,target,selected_mask_id,selected_head_count,predicted_effect
full,all_pairs,candidate_pool_05,0.5,mask_22c097f7c153bb13,9,0.4897235812811443
full,all_pairs,candidate_pool_05,1.0,mask_cf672502900b1ca1,10,0.9816866426904146
full,all_pairs,candidate_pool_05,1.5,mask_290a3cb1caf906c3,10,1.5053923922742185
full,all_pairs,candidate_pool_06,0.5,mask_382e0bf880e4af69,5,0.49883740440751556
full,all_pairs,candidate_pool_06,1.0,mask_f16ce08b0ff70796,6,1.036667269632035
full,all_pairs,candidate_pool_06,1.5,mask_c22a533faf194bc5,7,1.3217457130422527
full,all_pairs,candidate_pool_07,0.5,mask_6c3e3315afb6fb8c,4,0.48743686444436074
full,all_pairs,candidate_pool_07,1.0,mask_2261c8e54842bff6,8,0.9478031312790113
full,all_pairs,candidate_pool_07,1.5,mask_83fe021aaca96bf0,5,1.4555916497633108
full,all_pairs,candidate_pool_08,0.5,mask_bda88699e1e7badf,7,0.5166760491484231
full,all_pairs,candidate_pool_08,1.0,mask_77740b198a0b3a94,6,0.9703838549351828
full,all_pairs,candidate_pool_08,1.5,mask_1ee94a6fab0d1183,8,1.4132261294516022
full,all_pairs,candidate_pool_09,0.5,mask_99b322f566a2bc85,6,0.5475496232980778
full,all_pairs,candidate_pool_09,1.0,mask_6000c95aa8146da6,7,0.9417175674411972
full,all_pairs,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.505759129775449
full,atp_raw,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.4905528343733749
full,atp_raw,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,0.963996842726677
full,atp_raw,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.7319651900664514
full,atp_raw,candidate_pool_01,0.5,mask_3cd97f4a74d408b8,10,0.5657065004100634
full,atp_raw,candidate_pool_01,1.0,mask_16dc2167f216f5a8,5,0.8676413457166442
full,atp_raw,candidate_pool_01,1.5,mask_4d3f046ece5f8214,9,1.501424528323696
full,atp_raw,candidate_pool_02,0.5,mask_8539d49577e1ed9d,9,0.4988639469787206
full,atp_raw,candidate_pool_02,1.0,mask_3c9ed4cc352cbb27,5,0.9218009907223554
full,atp_raw,candidate_pool_02,1.5,mask_267196af5474f7ae,8,1.1941065066639567
full,atp_raw,candidate_pool_03,0.5,mask_5b90a18db67578c0,5,0.35280306883942103
full,atp_raw,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.192661042281543
full,atp_raw,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.4828364406833618
full,atp_raw,candidate_pool_04,0.5,mask_5d6868f3c7cf99b3,6,0.4440143634007352
full,atp_raw,candidate_pool_04,1.0,mask_8b7737474604b389,8,0.82050438177248
full,atp_raw,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.241942600997087
full,atp_raw,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.4895915912638884
full,atp_raw,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.3784546267415863
full,atp_raw,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.4369772926123308
full,atp_raw,candidate_pool_06,0.5,mask_72750b59b18d6c0c,4,0.5158936949325531
full,atp_raw,candidate_pool_06,1.0,mask_8a4903df460893e2,6,1.020697501747539
full,atp_raw,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.020697501747539
full,atp_raw,candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.6692498306947527
full,atp_raw,candidate_pool_07,1.0,mask_21e5e4333c6fc40a,6,0.6692498306947527
full,atp_raw,candidate_pool_07,1.5,mask_73324c4014b4a4c2,4,1.5234261250346512
full,atp_raw,candidate_pool_08,0.5,mask_8dc1386ad4524dcb,5,0.5343352489483851
full,atp_raw,candidate_pool_08,1.0,mask_a842b06af7760b08,4,0.9535883973076125
full,atp_raw,candidate_pool_08,1.5,mask_a842b06af7760b08,4,0.9535883973076125
full,atp_raw,candidate_pool_09,0.5,mask_a3021efcfb81527e,5,0.4839044872472489
full,atp_raw,candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.4017122079070152
full,atp_raw,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.4017122079070152
full,atp_calibrated,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.4157446068469873
full,atp_calibrated,candidate_pool_00,1.0,mask_b55f4fdddb0ed7df,7,1.0063734038249343
full,atp_calibrated,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.4678443106676422
full,atp_calibrated,candidate_pool_01,0.5,mask_3cd97f4a74d408b8,10,0.47943750422764236
full,atp_calibrated,candidate_pool_01,1.0,mask_d34cab07e9bf4ded,4,1.0246456355722624
full,atp_calibrated,candidate_pool_01,1.5,mask_88feb37e4997bcb0,7,1.3847207001557165
full,atp_calibrated,candidate_pool_02,0.5,mask_053a16108482e172,6,0.4956053407432567
full,atp_calibrated,candidate_pool_02,1.0,mask_267196af5474f7ae,8,1.012007892647457
full,atp_calibrated,candidate_pool_02,1.5,mask_267196af5474f7ae,8,1.012007892647457
full,atp_calibrated,candidate_pool_03,0.5,mask_e3bfff07ca1cabef,9,0.6108697293056484
full,atp_calibrated,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.0107828584018683
full,atp_calibrated,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.2567071472286457
full,atp_calibrated,candidate_pool_04,0.5,mask_93f84412f1b2de39,7,0.5377173666861532
full,atp_calibrated,candidate_pool_04,1.0,mask_6d2e3876c8f68db8,9,1.0525490878828831
full,atp_calibrated,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.0525490878828831
full,atp_calibrated,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.41492995119598425
full,atp_calibrated,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.1682433301667536
full,atp_calibrated,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.2178414183016426
full,atp_calibrated,candidate_pool_06,0.5,mask_f2b097d9ab973b9b,7,0.5317368503491676
full,atp_calibrated,candidate_pool_06,1.0,mask_8a4903df460893e2,6,0.8650433793044752
full,atp_calibrated,candidate_pool_06,1.5,mask_8a4903df460893e2,6,0.8650433793044752
full,atp_calibrated,candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.5671907045446363
full,atp_calibrated,candidate_pool_07,1.0,mask_83fe021aaca96bf0,5,1.2069178133970393
full,atp_calibrated,candidate_pool_07,1.5,mask_d43daec0a2f27dc1,8,1.453687251224692
full,atp_calibrated,candidate_pool_08,0.5,mask_331502b1b3b7fde3,6,0.4573243362748233
full,atp_calibrated,candidate_pool_08,1.0,mask_a842b06af7760b08,4,0.8081682655832997
full,atp_calibrated,candidate_pool_08,1.5,mask_a842b06af7760b08,4,0.8081682655832997
full,atp_calibrated,candidate_pool_09,0.5,mask_a3021efcfb81527e,5,0.41011011802446473
full,atp_calibrated,candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.1879541813948062
full,atp_calibrated,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.1879541813948062
90400-0,additive,candidate_pool_00,0.5,mask_ffe0389c017216d1,4,0.526258536434964
90400-0,additive,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,1.0787852180223083
90400-0,additive,candidate_pool_00,1.5,mask_ff6985d2961f695d,9,1.4939613270222063
90400-0,additive,candidate_pool_01,0.5,mask_d4041af54a719d70,7,0.47500329654472895
90400-0,additive,candidate_pool_01,1.0,mask_3507ab216f864cbe,4,1.0120271410183412
90400-0,additive,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.4423509643863444
90400-0,additive,candidate_pool_02,0.5,mask_a0046e43df20ac57,5,0.5334609941890801
90400-0,additive,candidate_pool_02,1.0,mask_4069015a4c8c7628,4,0.9116139050806003
90400-0,additive,candidate_pool_02,1.5,mask_3c9ed4cc352cbb27,5,1.5125521481129967
90400-0,additive,candidate_pool_03,0.5,mask_db4ced2a93ad8780,7,0.44245516904505566
90400-0,additive,candidate_pool_03,1.0,mask_e3bfff07ca1cabef,9,1.0753642009649889
90400-0,additive,candidate_pool_03,1.5,mask_dc2e11f8d6ea9e67,6,1.3951754208934966
90400-0,additive,candidate_pool_04,0.5,mask_8eaaf64cc1220873,7,0.5057629576156536
90400-0,additive,candidate_pool_04,1.0,mask_ee5fb6904843b482,6,1.1039964492602246
90400-0,additive,candidate_pool_04,1.5,mask_8b7737474604b389,8,1.6614439142710662
90400-0,additive,candidate_pool_05,0.5,mask_ae737f6731edb34d,7,0.594890295272211
90400-0,additive,candidate_pool_05,1.0,mask_62191f28479b805a,7,0.8410500430406975
90400-0,additive,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.4096284971585868
90400-0,additive,candidate_pool_06,0.5,mask_0cbfd8c3e3987d54,5,0.5599148226350943
90400-0,additive,candidate_pool_06,1.0,mask_f16ce08b0ff70796,6,0.9613255644322697
90400-0,additive,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.613625540902409
90400-0,additive,candidate_pool_07,0.5,mask_9401c6bc69ed4d22,10,0.457931034541592
90400-0,additive,candidate_pool_07,1.0,mask_c4774bd021c06295,7,0.87159005019945
90400-0,additive,candidate_pool_07,1.5,mask_83fe021aaca96bf0,5,1.5669522920853087
90400-0,additive,candidate_pool_08,0.5,mask_bda88699e1e7badf,7,0.551769812348768
90400-0,additive,candidate_pool_08,1.0,mask_331502b1b3b7fde3,6,0.982707194216531
90400-0,additive,candidate_pool_08,1.5,mask_a9f1de05a2b5cc89,7,1.3341269103422553
90400-0,additive,candidate_pool_09,0.5,mask_2d90e84a12b72772,4,0.49571817903096416
90400-0,additive,candidate_pool_09,1.0,mask_527fb4485b283af0,10,1.1414109592254298
90400-0,additive,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.435428651068281
90400-0,all_pairs,candidate_pool_00,0.5,mask_b611eb15c1cbe033,4,0.40111332759033447
90400-0,all_pairs,candidate_pool_00,1.0,mask_b55f4fdddb0ed7df,7,1.033187777650627
90400-0,all_pairs,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.5662915456679367
90400-0,all_pairs,candidate_pool_01,0.5,mask_304d12adafdb81c3,6,0.5344519289761279
90400-0,all_pairs,candidate_pool_01,1.0,mask_261f2ebd1f8a4eaa,5,1.0325179516560996
90400-0,all_pairs,candidate_pool_01,1.5,mask_4d3f046ece5f8214,9,1.4688463406273038
90400-0,all_pairs,candidate_pool_02,0.5,mask_a0046e43df20ac57,5,0.5134027722076724
90400-0,all_pairs,candidate_pool_02,1.0,mask_6a56eb1c10f15cf8,7,0.9785765105338752
90400-0,all_pairs,candidate_pool_02,1.5,mask_8539d49577e1ed9d,9,1.6271087237641444
90400-0,all_pairs,candidate_pool_03,0.5,mask_e3bfff07ca1cabef,9,0.5073299135497824
90400-0,all_pairs,candidate_pool_03,1.0,mask_0f1c886d2bd569f0,7,1.0227846905400497
90400-0,all_pairs,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.0227846905400497
90400-0,all_pairs,candidate_pool_04,0.5,mask_ff0a498847885133,7,0.540131792659302
90400-0,all_pairs,candidate_pool_04,1.0,mask_ee5fb6904843b482,6,1.0133052493038566
90400-0,all_pairs,candidate_pool_04,1.5,mask_8b7737474604b389,8,1.5944815923847888
90400-0,all_pairs,candidate_pool_05,0.5,mask_22c097f7c153bb13,9,0.5267180281237014
90400-0,all_pairs,candidate_pool_05,1.0,mask_cf672502900b1ca1,10,1.0099951983114934
90400-0,all_pairs,candidate_pool_05,1.5,mask_290a3cb1caf906c3,10,1.3577532804252601
90400-0,all_pairs,candidate_pool_06,0.5,mask_382e0bf880e4af69,5,0.497998851550547
90400-0,all_pairs,candidate_pool_06,1.0,mask_f16ce08b0ff70796,6,0.9522070832451925
90400-0,all_pairs,candidate_pool_06,1.5,mask_c22a533faf194bc5,7,1.2236488217571482
90400-0,all_pairs,candidate_pool_07,0.5,mask_6c3e3315afb6fb8c,4,0.43623639389129654
90400-0,all_pairs,candidate_pool_07,1.0,mask_73324c4014b4a4c2,4,1.0473608076593421
90400-0,all_pairs,candidate_pool_07,1.5,mask_d43daec0a2f27dc1,8,1.5700346338804656
90400-0,all_pairs,candidate_pool_08,0.5,mask_248e15522b401ece,8,0.515059190093179
90400-0,all_pairs,candidate_pool_08,1.0,mask_aebcbcf7f67000e0,9,0.989877404358867
90400-0,all_pairs,candidate_pool_08,1.5,mask_1ee94a6fab0d1183,8,1.3834550214283452
90400-0,all_pairs,candidate_pool_09,0.5,mask_4be83a97da997236,8,0.4886283492115526
90400-0,all_pairs,candidate_pool_09,1.0,mask_c3f11a7d9ebab23d,6,0.8349883600006388
90400-0,all_pairs,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.3933923861843343
90400-0,atp_raw,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.5584131636486579
90400-0,atp_raw,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,0.993769690093975
90400-0,atp_raw,candidate_pool_00,1.5,mask_714aefc72a94a0e9,5,1.2421818303585213
90400-0,atp_raw,candidate_pool_01,0.5,mask_625dbe9e05728352,8,0.29459524547220545
90400-0,atp_raw,candidate_pool_01,1.0,mask_f78efa18c25e46d0,5,0.8565061112004584
90400-0,atp_raw,candidate_pool_01,1.5,mask_261f2ebd1f8a4eaa,5,1.4910981088716497
90400-0,atp_raw,candidate_pool_02,0.5,mask_ab59149b00e47e01,7,0.5457986298327644
90400-0,atp_raw,candidate_pool_02,1.0,mask_3c9ed4cc352cbb27,5,1.0672279702679766
90400-0,atp_raw,candidate_pool_02,1.5,mask_c7772d470875866f,4,1.2443594391487778
90400-0,atp_raw,candidate_pool_03,0.5,mask_5b90a18db67578c0,5,0.3769559646626153
90400-0,atp_raw,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.2394921584054825
90400-0,atp_raw,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.4952652384877525
90400-0,atp_raw,candidate_pool_04,0.5,mask_93f84412f1b2de39,7,0.6118792259004167
90400-0,atp_raw,candidate_pool_04,1.0,mask_ee5fb6904843b482,6,0.9140986428566036
90400-0,atp_raw,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.2760614684672764
90400-0,atp_raw,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.43975901038896653
90400-0,atp_raw,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.3538124549493034
90400-0,atp_raw,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.4597746411098107
90400-0,atp_raw,candidate_pool_06,0.5,mask_72750b59b18d6c0c,4,0.43732688647084017
90400-0,atp_raw,candidate_pool_06,1.0,mask_25276dd47f8ef77c,4,0.9416766124527142
90400-0,atp_raw,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.19816914300925
90400-0,atp_raw,candidate_pool_07,0.5,mask_c4774bd021c06295,7,0.26397371962065685
90400-0,atp_raw,candidate_pool_07,1.0,mask_21e5e4333c6fc40a,6,0.7715671466343024
90400-0,atp_raw,candidate_pool_07,1.5,mask_73324c4014b4a4c2,4,1.4957078415800327
90400-0,atp_raw,candidate_pool_08,0.5,mask_331502b1b3b7fde3,6,0.43520331041266536
90400-0,atp_raw,candidate_pool_08,1.0,mask_a9f1de05a2b5cc89,7,0.9764707377981595
90400-0,atp_raw,candidate_pool_08,1.5,mask_a842b06af7760b08,4,1.075307457147026
90400-0,atp_raw,candidate_pool_09,0.5,mask_2d90e84a12b72772,4,0.47567166143687833
90400-0,atp_raw,candidate_pool_09,1.0,mask_a3021efcfb81527e,5,0.6046927734228071
90400-0,atp_raw,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.4876765859042926
90400-0,atp_calibrated,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.47086315605532825
90400-0,atp_calibrated,candidate_pool_00,1.0,mask_a096a397a7d70275,7,0.9659235818399141
90400-0,atp_calibrated,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.5092286978100249
90400-0,atp_calibrated,candidate_pool_01,0.5,mask_3cd97f4a74d408b8,10,0.5950750891004297
90400-0,atp_calibrated,candidate_pool_01,1.0,mask_d34cab07e9bf4ded,4,1.0860200796790314
90400-0,atp_calibrated,candidate_pool_01,1.5,mask_c6f04107d7ae9b56,9,1.6718942912668144
90400-0,atp_calibrated,candidate_pool_02,0.5,mask_053a16108482e172,6,0.4796503073023164
90400-0,atp_calibrated,candidate_pool_02,1.0,mask_267196af5474f7ae,8,0.9978827430954609
90400-0,atp_calibrated,candidate_pool_02,1.5,mask_c7772d470875866f,4,1.0492643277898843
90400-0,atp_calibrated,candidate_pool_03,0.5,mask_aedb2c503c8eced2,5,0.5894218833675516
90400-0,atp_calibrated,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.045160156682562
90400-0,atp_calibrated,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.260832220955933
90400-0,atp_calibrated,candidate_pool_04,0.5,mask_93f84412f1b2de39,7,0.5159466183598693
90400-0,atp_calibrated,candidate_pool_04,1.0,mask_6d2e3876c8f68db8,9,1.0759959998742816
90400-0,atp_calibrated,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.0759959998742816
90400-0,atp_calibrated,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.37081202416961384
90400-0,atp_calibrated,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.141556909366696
90400-0,atp_calibrated,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.2309059660258452
90400-0,atp_calibrated,candidate_pool_06,0.5,mask_f2b097d9ab973b9b,7,0.5495638783507006
90400-0,atp_calibrated,candidate_pool_06,1.0,mask_8a4903df460893e2,6,1.0103159110346653
90400-0,atp_calibrated,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.0103159110346653
90400-0,atp_calibrated,candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.650598097292374
90400-0,atp_calibrated,candidate_pool_07,1.0,mask_83fe021aaca96bf0,5,1.225590074842944
90400-0,atp_calibrated,candidate_pool_07,1.5,mask_d43daec0a2f27dc1,8,1.4382991866024928
90400-0,atp_calibrated,candidate_pool_08,0.5,mask_8dc1386ad4524dcb,5,0.5115059103164437
90400-0,atp_calibrated,candidate_pool_08,1.0,mask_a842b06af7760b08,4,0.9067169185156354
90400-0,atp_calibrated,candidate_pool_08,1.5,mask_a842b06af7760b08,4,0.9067169185156354
90400-0,atp_calibrated,candidate_pool_09,0.5,mask_a3021efcfb81527e,5,0.5098868835349613
90400-0,atp_calibrated,candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.254433344392372
90400-0,atp_calibrated,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.254433344392372
90400-1,additive,candidate_pool_00,0.5,mask_7c8b926f287bec49,4,0.45792882670336743
90400-1,additive,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,1.2162339834708433
90400-1,additive,candidate_pool_00,1.5,mask_ff6985d2961f695d,9,1.4965502242703312
90400-1,additive,candidate_pool_01,0.5,mask_d4041af54a719d70,7,0.42751287016364525
90400-1,additive,candidate_pool_01,1.0,mask_f78efa18c25e46d0,5,0.980613175059001
90400-1,additive,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.510785787054174
90400-1,additive,candidate_pool_02,0.5,mask_c36034d7c9cf0b25,7,0.3607508580304641
90400-1,additive,candidate_pool_02,1.0,mask_ab59149b00e47e01,7,0.9746908663980768
90400-1,additive,candidate_pool_02,1.5,mask_c7772d470875866f,4,1.386409026106832
90400-1,additive,candidate_pool_03,0.5,mask_aedb2c503c8eced2,5,0.5009227702275297
90400-1,additive,candidate_pool_03,1.0,mask_30716df5e75daa97,7,1.0235950716136932
90400-1,additive,candidate_pool_03,1.5,mask_dc2e11f8d6ea9e67,6,1.4496430376863765
90400-1,additive,candidate_pool_04,0.5,mask_8f5eca4cbcfcb5db,6,0.5099154240081835
90400-1,additive,candidate_pool_04,1.0,mask_ff0a498847885133,7,0.985919145112959
90400-1,additive,candidate_pool_04,1.5,mask_8b7737474604b389,8,1.7710254247045079
90400-1,additive,candidate_pool_05,0.5,mask_ae737f6731edb34d,7,0.6209904956807976
90400-1,additive,candidate_pool_05,1.0,mask_62191f28479b805a,7,0.8607168889926144
90400-1,additive,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.5157532772284381
90400-1,additive,candidate_pool_06,0.5,mask_f2b097d9ab973b9b,7,0.5573186453899722
90400-1,additive,candidate_pool_06,1.0,mask_ba28cb4fde59866a,9,1.040672720410584
90400-1,additive,candidate_pool_06,1.5,mask_c22a533faf194bc5,7,1.406964838732471
90400-1,additive,candidate_pool_07,0.5,mask_9401c6bc69ed4d22,10,0.49987933399152423
90400-1,additive,candidate_pool_07,1.0,mask_c4774bd021c06295,7,0.9893393655213181
90400-1,additive,candidate_pool_07,1.5,mask_83fe021aaca96bf0,5,1.6337588903301647
90400-1,additive,candidate_pool_08,0.5,mask_bda88699e1e7badf,7,0.46705046652059123
90400-1,additive,candidate_pool_08,1.0,mask_a842b06af7760b08,4,1.0203859321962467
90400-1,additive,candidate_pool_08,1.5,mask_a9f1de05a2b5cc89,7,1.4840534681379591
90400-1,additive,candidate_pool_09,0.5,mask_c3f11a7d9ebab23d,6,0.5283344888014798
90400-1,additive,candidate_pool_09,1.0,mask_6000c95aa8146da6,7,1.023853011863378
90400-1,additive,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.5599479325194752
90400-1,all_pairs,candidate_pool_00,0.5,mask_b611eb15c1cbe033,4,0.49274459467190573
90400-1,all_pairs,candidate_pool_00,1.0,mask_a096a397a7d70275,7,1.1127533886465848
90400-1,all_pairs,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.562497767256193
90400-1,all_pairs,candidate_pool_01,0.5,mask_304d12adafdb81c3,6,0.4570953044408227
90400-1,all_pairs,candidate_pool_01,1.0,mask_625dbe9e05728352,8,0.9498130076120925
90400-1,all_pairs,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.58108244910113
90400-1,all_pairs,candidate_pool_02,0.5,mask_c36034d7c9cf0b25,7,0.48633641293891783
90400-1,all_pairs,candidate_pool_02,1.0,mask_ab59149b00e47e01,7,1.053071126756766
90400-1,all_pairs,candidate_pool_02,1.5,mask_053a16108482e172,6,1.331051372199977
90400-1,all_pairs,candidate_pool_03,0.5,mask_8e19964bc0ea5bd6,8,0.5168397563190399
90400-1,all_pairs,candidate_pool_03,1.0,mask_30716df5e75daa97,7,1.030712395991201
90400-1,all_pairs,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.2498168086253973
90400-1,all_pairs,candidate_pool_04,0.5,mask_8f5eca4cbcfcb5db,6,0.5143668646111703
90400-1,all_pairs,candidate_pool_04,1.0,mask_dc190fdfa9807171,10,0.9907857656135808
90400-1,all_pairs,candidate_pool_04,1.5,mask_cafa56ef6c77bde9,10,1.3886180906608248
90400-1,all_pairs,candidate_pool_05,0.5,mask_22c097f7c153bb13,9,0.4549712221260161
90400-1,all_pairs,candidate_pool_05,1.0,mask_cf672502900b1ca1,10,0.9550937571069772
90400-1,all_pairs,candidate_pool_05,1.5,mask_f5d21a1898de9318,7,1.3560137154749943
90400-1,all_pairs,candidate_pool_06,0.5,mask_382e0bf880e4af69,5,0.49962513587921226
90400-1,all_pairs,candidate_pool_06,1.0,mask_5bf7af84e459f7ba,10,1.1138616939582286
90400-1,all_pairs,candidate_pool_06,1.5,mask_c22a533faf194bc5,7,1.4138973381888635
