prompt_id,family_id,candidate_margin,candidate_correct,top1_correct,target_nll,target_token_id,candidate_predicted_token_id,predicted_token_id
qseq_7920fd12bfe086e6,length_32_gap_8,-0.32781529426574707,False,False,12.427986145019531,151000,150189,88
qseq_d7b915aa23e9011b,length_32_gap_8,-0.86486339569091797,False,False,12.726602554321289,131733,126839,220
qseq_e1722f5d922c76c0,length_32_gap_8,4.308690071105957,True,False,6.0107617378234863,102818,102818,1773
qseq_968251b97122afb0,length_32_gap_8,6.2833786010742188,True,True,2.184779167175293,120994,120994,120994
qseq_5dd536efafdb3d60,length_32_gap_8,2.015627384185791,True,False,10.378335952758789,97733,97733,82
qseq_77f322c9febc960d,length_32_gap_8,12.299352645874023,True,False,4.777165412902832,26640,26640,220
qseq_2d40b48061ea6c86,length_32_gap_16,0.36493319272994995,True,False,11.863020896911621,146717,146717,220
qseq_ed63f8425c49e9ff,length_32_gap_16,7.681096076965332,True,True,2.5649657249450684,13688,13688,13688
qseq_34dfa655e7d64ab0,length_32_gap_16,8.724151611328125,True,True,1.9666968584060669,32434,32434,32434
qseq_29aa900bf3c84901,length_32_gap_16,12.999942779541016,True,False,4.1778507232666016,92438,92438,22502
qseq_71312b33f5a25e74,length_32_gap_16,9.8974952697753906,True,True,3.1055386066436768,46010,46010,46010
qseq_c888006cb1aa3dc7,length_32_gap_16,6.6062116622924805,True,False,4.5992350578308105,98011,98011,3145
qseq_48b3a7d07a29f82b,length_32_gap_16,3.9416000843048096,True,False,6.5187692642211914,90848,90848,8
qseq_48333401f9d5c608,length_32_gap_16,5.5210590362548828,True,False,4.4827308654785156,29694,29694,220
qseq_d11c0c50985f267e,length_32_gap_16,9.8566761016845703,True,True,1.8257455825805664,106618,106618,106618
qseq_ea1f6890647087f4,length_32_gap_16,2.1798102855682373,True,False,8.4474239349365234,96752,96752,25
qseq_3ec7f3bd7092cea1,length_32_gap_16,8.400303840637207,True,True,4.9395289421081543,8225,8225,8225
qseq_4d8bbc06b8faa627,length_32_gap_16,8.5525493621826172,True,False,3.8880782127380371,71544,71544,7
qseq_5ba805aff72d4309,length_32_gap_16,5.8392734527587891,True,True,4.2253432273864746,23154,23154,23154
qseq_71c6e5e51f368a72,length_32_gap_16,8.9499597549438477,True,False,4.3707847595214844,59578,59578,220
qseq_bc1763f8a15c852c,length_32_gap_16,6.7230238914489746,True,False,8.0245523452758789,134210,134210,15767
qseq_02ae006456d7c954,length_32_gap_16,6.3795480728149414,True,False,3.9215807914733887,125217,125217,2954
qseq_32d5a71334d71aa6,length_32_gap_16,8.4555082321166992,True,True,4.0219502449035645,124192,124192,124192
qseq_814836fcdd64d260,length_32_gap_16,5.530756950378418,True,True,4.6651768684387207,147180,147180,147180
qseq_2fe04ffcc25f69f7,length_32_gap_16,8.3336238861083984,True,True,3.6488618850708008,21044,21044,21044
qseq_262d384784ec74e4,length_32_gap_16,5.2026872634887695,True,False,5.0541777610778809,83450,83450,220
qseq_d27c29eaaa22494c,length_32_gap_16,11.335192680358887,True,True,1.5220323801040649,58238,58238,58238
qseq_81f5baa728a4db26,length_32_gap_16,0.42037534713745117,False,False,9.6279325485229492,92659,6009,8
qseq_65604c6b579d7a5c,length_32_gap_16,6.6003355979919434,True,True,4.352752685546875,147405,147405,147405
qseq_6da175d0e1ae9eba,length_32_gap_16,5.2514019012451172,True,False,6.3321466445922852,72221,72221,8
qseq_d8c35b0fb2ec45b1,length_32_gap_16,7.7907037734985352,True,False,4.3353853225708008,7127,7127,1
qseq_71633b4b1a0f383a,length_32_gap_16,12.653561592102051,True,True,0.33434343338012695,39881,39881,39881
qseq_00dfc104dc64d98b,length_32_gap_16,7.7846899032592773,True,False,6.3835964202880859,136818,136818,220
qseq_1fb799c9c7240e70,length_32_gap_16,2.7695341110229492,True,False,8.7137775421142578,52079,52079,287
qseq_87b74913891cc317,length_32_gap_16,9.8544816970825195,True,False,2.7511410713195801,89239,89239,2356
qseq_871f122b4e811259,length_32_gap_16,5.4109830856323242,True,False,6.7990942001342773,127053,127053,69091
qseq_6f3cd7b3e9a9d0fc,length_32_gap_16,2.0722470283508301,True,False,7.6060538291931152,123264,123264,60
qseq_7ce9eabeae1c43e9,length_32_gap_16,-6.8889451026916504,False,False,12.111559867858887,115252,24362,13
qseq_71aaeae677939220,length_64_gap_8,4.4989628791809082,True,False,9.6889991760253906,54117,54117,220
qseq_72134d11ae3c48dc,length_64_gap_8,6.0934686660766602,True,False,4.7163028717041016,20940,20940,13
qseq_fca63948c926d92e,length_64_gap_8,4.972529411315918,True,False,8.9544334411621094,105910,105910,220
qseq_244f9203805dff92,length_64_gap_8,9.2166461944580078,True,True,1.5772430896759033,149492,149492,149492
qseq_255e42f342d532a0,length_64_gap_8,9.8600444793701172,True,False,4.905613899230957,101382,101382,10236
qseq_9485d12e3844518e,length_64_gap_8,9.3850173950195312,True,True,3.8800835609436035,47699,47699,47699
qseq_9520619fa2f16db3,length_64_gap_8,4.1306357383728027,True,True,4.0994763374328613,17657,17657,17657
qseq_1fb6dd2c65eff740,length_64_gap_8,4.1878561973571777,True,False,8.5629949569702148,99154,99154,13
qseq_d20f1a70c878075d,length_64_gap_8,7.4721746444702148,True,False,4.7515687942504883,101329,101329,13
qseq_1291124a654e5dd1,length_64_gap_8,7.6803169250488281,True,False,4.1667537689208984,100266,100266,13146
qseq_25738e3f20b4e75b,length_64_gap_8,5.4107236862182617,True,False,9.1677255630493164,141472,141472,6
qseq_41aa7a8ca812e622,length_64_gap_8,8.0101242065429688,True,True,3.3210272789001465,56191,56191,56191
qseq_a84eeb51296b0712,length_64_gap_8,1.829063892364502,True,False,12.073457717895508,136099,136099,944
qseq_04d8391b07c709c5,length_64_gap_8,6.3473443984985352,True,False,6.1950006484985352,10019,10019,220
qseq_07a5abeba924c030,length_64_gap_8,6.1754751205444336,True,False,6.0343255996704102,57896,57896,82
qseq_364500e6cffee293,length_64_gap_8,9.2327184677124023,True,False,4.9767551422119141,71994,71994,62
qseq_d50cd32d20b51cab,length_64_gap_8,7.3742609024047852,True,False,4.6140780448913574,7820,7820,220
qseq_685a54945ae534fb,length_64_gap_8,6.0990200042724609,True,False,5.8045229911804199,108598,108598,220
qseq_851835b2b19ec751,length_64_gap_8,10.28043270111084,True,True,3.0164589881896973,17974,17974,17974
qseq_94602a63f5364f89,length_64_gap_8,2.7494349479675293,True,False,7.4946279525756836,58283,58283,220
qseq_eb6df5ef365836d4,length_64_gap_8,8.3369102478027344,True,False,2.8400814533233643,15170,15170,92
qseq_b0540f6d86578391,length_64_gap_8,4.7622866630554199,True,False,7.125852108001709,65576,65576,220
qseq_48b5c921e87825ed,length_64_gap_8,5.8647007942199707,True,False,7.0270733833312988,10073,10073,85376
qseq_dfab252eb0f19d8f,length_64_gap_8,3.3176186084747314,True,False,8.8524246215820312,92757,92757,9392
qseq_87a57c19c5fbfc99,length_64_gap_8,2.7288007736206055,True,False,7.942563533782959,19988,19988,220
qseq_0e2343c5494ccbeb,length_64_gap_8,11.879885673522949,True,False,4.2841668128967285,87950,87950,220
qseq_79ed1ea1af192cba,length_64_gap_8,8.8639564514160156,True,True,1.187214732170105,13878,13878,13878
qseq_6b3efb6a1935cb58,length_64_gap_8,3.4530820846557617,True,False,10.04679012298584,127053,127053,5676
qseq_935e53bf052c5232,length_64_gap_8,3.9325582981109619,True,False,7.2743558883666992,126108,126108,41978
qseq_149f7262409c9db2,length_64_gap_8,7.5439491271972656,True,False,4.9894905090332031,38944,38944,220
qseq_11641937160f97d0,length_64_gap_8,5.7703619003295898,True,False,8.9841060638427734,55449,55449,220
qseq_805a254b2b072ba4,length_64_gap_8,-0.6936347484588623,False,False,11.847800254821777,118013,99082,220
qseq_eafd57bdf640e711,length_64_gap_16,5.1787838935852051,True,False,7.614616870880127,56983,56983,82
qseq_77a731e8ef225c22,length_64_gap_16,1.1169893741607666,True,False,9.4385232925415039,121742,121742,8
qseq_11f24123c5f9c2a4,length_64_gap_16,5.420651912689209,True,False,6.1519861221313477,28170,28170,220
qseq_ef235b1392544573,length_64_gap_16,7.9014239311218262,True,False,3.4622645378112793,75758,75758,6313
qseq_21043a2fbc7d635c,length_64_gap_16,10.01561450958252,True,False,5.8510913848876953,61483,61483,13
qseq_b57ea60b2e7bb4a4,length_64_gap_16,5.7114872932434082,True,False,7.5918903350830078,110037,110037,220
qseq_0629aa148ffa53bb,length_64_gap_16,0.44256782531738281,False,False,10.419147491455078,137159,111982,38035
qseq_7eeee6657542e8f5,length_64_gap_16,5.1062726974487305,True,False,7.4364142417907715,94756,94756,8
qseq_f15a63e2fa1b1c58,length_64_gap_16,5.8431220054626465,True,False,5.0107007026672363,58526,58526,288
qseq_a4d593c685b9c648,length_64_gap_16,10.949250221252441,True,True,1.5627037286758423,19864,19864,19864
qseq_8676aaa0b3424a0a,length_64_gap_16,3.5153160095214844,True,False,9.5504779815673828,120196,120196,220
qseq_f7de656a3d8ab297,length_64_gap_16,6.7349491119384766,True,False,4.0225577354431152,25068,25068,723
qseq_aa48014ae777732e,length_64_gap_16,2.8465309143066406,True,False,10.053112030029297,14900,14900,220
qseq_90a86fb10d388bbd,length_64_gap_16,1.9253151416778564,True,False,10.276012420654297,82685,82685,220
qseq_fb4374f080917256,length_64_gap_16,7.6488237380981445,True,True,4.3754329681396484,66023,66023,66023
qseq_5a91d090931a172c,length_64_gap_16,4.5093698501586914,True,False,6.3184070587158203,82435,82435,13
qseq_0ffcc7c88e5deadb,length_64_gap_16,4.0155673027038574,True,False,6.0810961723327637,81861,81861,13
qseq_5da034f2ef22dd95,length_64_gap_16,7.7806568145751953,True,False,4.7360858917236328,146850,146850,49855
qseq_3585a823b2dd2836,length_64_gap_16,-1.2343730926513672,False,False,12.007318496704102,103732,128275,220
qseq_f892f6508fa2bef1,length_64_gap_16,8.9304513931274414,True,False,5.8638625144958496,58054,58054,359
qseq_777463f8a7f6869e,length_64_gap_16,8.5647335052490234,True,True,3.1578154563903809,68225,68225,68225
qseq_5d88f5d01f7d0b99,length_64_gap_16,5.9376344680786133,True,False,6.5187511444091797,72854,72854,220
qseq_79bede05d9100eaf,length_64_gap_16,9.3811674118041992,True,False,5.0081501007080078,20940,20940,13
qseq_eac5435e5dfdba1c,length_64_gap_16,6.4519515037536621,True,False,4.5031108856201172,17771,17771,75
qseq_7606deb38e2f61ac,length_64_gap_16,4.2083377838134766,True,False,11.175621032714844,83760,83760,220
qseq_bdc4295a63909b60,length_64_gap_16,8.3034191131591797,True,True,4.6420106887817383,25913,25913,25913
qseq_849ec4ac729a733f,length_64_gap_16,4.2570767402648926,True,False,8.6837434768676758,7665,7665,88
qseq_49e7e0deeaf9591c,length_64_gap_16,7.5508279800415039,True,True,3.7845826148986816,102288,102288,102288
qseq_c9c419b44f6f22b1,length_64_gap_16,0.066591262817382812,False,False,8.4336071014404297,43420,59133,25
qseq_84a9980cefdd3881,length_64_gap_16,4.3335304260253906,True,False,6.1373238563537598,116579,116579,99630
qseq_8d92e62b78a7b02e,length_64_gap_16,7.9338893890380859,True,True,4.2793917655944824,63410,63410,63410
qseq_e1a68e8c04598860,length_64_gap_16,5.2850146293640137,True,False,7.5090208053588867,137144,137144,220
