mask_id,mask_bits,n_heads,n_cells,clean_candidate_accuracy,ablated_candidate_accuracy,clean_top1_accuracy,ablated_top1_accuracy,mean_target_nll_increase
qmask_494f47beb25cae41,11111001,6,512,1,0.828125,0.275390625,0.07421875,2.7534646973363124
qmask_4cc030241e0f1e44,01100010,3,512,1,0.990234375,0.275390625,0.193359375,0.97375026805093512
qmask_4dc7fd92c7b096a2,11101001,5,512,1,0.861328125,0.275390625,0.0859375,2.3872850582120009
qmask_4f926e356a625a67,01111100,5,512,1,0.921875,0.275390625,0.154296875,1.6507923263998237
qmask_5106913f39c2ea0e,01100101,4,512,1,0.984375,0.275390625,0.177734375,1.1550420500861946
qmask_514b410bbe7f097e,11010111,6,512,1,0.873046875,0.275390625,0.0859375,2.3914258111617528
qmask_527883050feb9009,11001011,5,512,1,0.87890625,0.275390625,0.09765625,2.2274869212997146
qmask_55cbf5fefb67a9c9,10010100,3,512,1,0.9765625,0.275390625,0.197265625,1.0407406405720394
qmask_56332775d253c008,10100101,4,512,1,0.96484375,0.275390625,0.19140625,1.2030299699108582
qmask_581f449a19375ab8,00011100,3,512,1,0.994140625,0.275390625,0.236328125,0.57337024179287244
qmask_58970516f324daa1,11011000,4,512,1,0.86328125,0.275390625,0.08984375,2.4140267556649633
qmask_58d4e1dd95e5c5b0,00111111,6,512,1,0.9609375,0.275390625,0.197265625,1.014907608012436
qmask_5a3f155888c60ff4,10001001,3,512,1,0.9765625,0.275390625,0.1953125,0.99809775629546493
qmask_5febbac13cd7abee,00010110,3,512,1,0.998046875,0.275390625,0.236328125,0.39218846603762358
qmask_6227c96ae46c75f8,01111001,5,512,1,0.92578125,0.275390625,0.15625,1.5871891669812612
qmask_649dfffca1027d37,11101111,7,512,1,0.841796875,0.275390625,0.0625,2.6535414117970504
qmask_68ff8f889255b0e9,00001111,4,512,1,0.99609375,0.275390625,0.248046875,0.44023561757057911
qmask_693dc55993aa4fa9,11001111,6,512,1,0.859375,0.275390625,0.087890625,2.4132508746697567
qmask_6d08de407943319e,11101101,6,512,1,0.8515625,0.275390625,0.076171875,2.5567714403150603
qmask_6d873abcf3a8f6b9,01001001,3,512,1,0.98046875,0.275390625,0.1953125,0.96910056684282608
qmask_7496171506cc1757,10011111,6,512,1,0.919921875,0.275390625,0.1640625,1.548322485643439
qmask_75e6dad44fc41222,01100100,3,512,1,0.990234375,0.275390625,0.189453125,1.041664096119348
qmask_7c330068eacbeec8,01111110,6,512,1,0.91015625,0.275390625,0.1484375,1.7657486469252035
qmask_7c7f09c2f082e17d,01111000,4,512,1,0.935546875,0.275390625,0.16015625,1.5006313393823802
qmask_7c849c67ebb1b4f9,10111111,7,512,1,0.8984375,0.275390625,0.150390625,1.8114849673584104
qmask_7f50455f5507bafe,10010011,4,512,1,0.97265625,0.275390625,0.19140625,1.0881342457141727
qmask_81b5d6cd2a60bf37,11110101,6,512,1,0.857421875,0.275390625,0.072265625,2.5316171426093206
qmask_83013e5a4235b8ec,00010111,4,512,1,0.998046875,0.275390625,0.232421875,0.45049160523922183
qmask_849e90ce5ffd4bc1,00111010,4,512,1,0.9765625,0.275390625,0.22265625,0.8365919612988364
qmask_84e1013c62ab0342,10110111,6,512,1,0.923828125,0.275390625,0.16796875,1.5117352472734638
qmask_85812c22f52f55f2,10101111,6,512,1,0.9296875,0.275390625,0.173828125,1.502032300515566
qmask_8630d2328962fa10,00111000,3,512,1,0.98046875,0.275390625,0.2265625,0.74265043492778204
qmask_87bb9cc60085dcff,11011101,6,512,1,0.84375,0.275390625,0.068359375,2.70257352857152
qmask_87c7efb1f0502cb1,01001101,4,512,1,0.97265625,0.275390625,0.189453125,1.1129603085573763
qmask_884363745844cf9e,10110011,5,512,1,0.939453125,0.275390625,0.177734375,1.3729039794998243
qmask_88b9054a02247dd1,11000010,3,512,1,0.9375,0.275390625,0.134765625,1.7450895150541328
qmask_8a4fe6aab0927861,11110001,5,512,1,0.87109375,0.275390625,0.0859375,2.3668781972373836
qmask_8a58e1cfc4f87182,11010001,4,512,1,0.90625,0.275390625,0.107421875,2.109720210719388
qmask_8a9d405ad1968a90,11001000,3,512,1,0.90625,0.275390625,0.119140625,1.9977019228390418
qmask_8ec53a11acfe0f00,11110110,6,512,1,0.859375,0.275390625,0.078125,2.5015085933846422
qmask_8fc54aeb91caafc9,00111101,5,512,1,0.966796875,0.275390625,0.208984375,0.92148319323314354
qmask_90dd78ad11f097b3,11110100,5,512,1,0.873046875,0.275390625,0.08203125,2.3921411664923653
qmask_92fdf63f6fed474e,00011001,3,512,1,0.98828125,0.275390625,0.2421875,0.50581863897969015
qmask_95b0a9234a9eee46,10101110,5,512,1,0.94140625,0.275390625,0.18359375,1.4045223278226331
qmask_95e119f889d86d43,00111011,5,512,1,0.96484375,0.275390625,0.21484375,0.8962401814351324
qmask_96b494b452b77f8e,01110100,4,512,1,0.962890625,0.275390625,0.171875,1.2933931859151926
qmask_9a6bcdbfd54eac0e,10101001,4,512,1,0.951171875,0.275390625,0.177734375,1.2822504890500568
qmask_9a86a5949df1b42b,01001100,3,512,1,0.986328125,0.275390625,0.1953125,1.0211877558031119
qmask_9cf9f1f53520f88b,01111010,5,512,1,0.921875,0.275390625,0.158203125,1.6091126374085434
qmask_9df5cd7b1d191d30,00001110,3,512,1,0.998046875,0.275390625,0.2421875,0.38093424343969673
qmask_9ef84ec72720c5bb,00100111,4,512,1,0.998046875,0.275390625,0.22265625,0.54667798869195394
qmask_9f2a7299208a9ed1,01100111,5,512,1,0.970703125,0.275390625,0.173828125,1.2314288018969819
qmask_a3ac1f42a70defe3,10110101,5,512,1,0.93359375,0.275390625,0.171875,1.4137204492872115
qmask_a4b7b621b0c57baf,10111100,5,512,1,0.916015625,0.275390625,0.16015625,1.6220917488972191
qmask_a6bb6d75ba01c741,11010000,3,512,1,0.9140625,0.275390625,0.123046875,1.9693741807132028
qmask_a9284c314595341d,11001010,4,512,1,0.88671875,0.275390625,0.111328125,2.0921451590838842
qmask_aa927932235c699d,11011100,5,512,1,0.8515625,0.275390625,0.076171875,2.6007948323967867
qmask_abc2c93f2a9da9d0,11100111,6,512,1,0.875,0.275390625,0.083984375,2.3435427492368035
qmask_ac55e1313a50fb45,01101101,5,512,1,0.935546875,0.275390625,0.169921875,1.411015011370182
qmask_af3070b33fa6727a,01000111,4,512,1,0.9921875,0.275390625,0.197265625,0.92375322087900713
qmask_af6d0dc69e3d9a78,00011110,4,512,1,0.986328125,0.275390625,0.234375,0.67339855796308257
qmask_afbe22c87ad11ae4,10101100,4,512,1,0.943359375,0.275390625,0.1875,1.3159801552828867
qmask_b02b2d5954d58371,01011000,3,512,1,0.9609375,0.275390625,0.189453125,1.2245612439000979
qmask_b0e252c8a061a875,00110011,4,512,1,0.9921875,0.275390625,0.224609375,0.63866351201431826
qmask_b52a639547d6a0e9,10000111,4,512,1,0.978515625,0.275390625,0.19921875,0.98126645150477998
qmask_b996be105c0f3dda,10100110,4,512,1,0.955078125,0.275390625,0.1953125,1.1680597566301003
qmask_ba4de66f5ec66b86,01010110,4,512,1,0.974609375,0.275390625,0.189453125,1.1101952194003388
qmask_bad2b6dedfcd4ce3,11010101,5,512,1,0.888671875,0.275390625,0.095703125,2.2790915332152508
qmask_bcbb878aab0fd0e6,10010101,4,512,1,0.970703125,0.275390625,0.1953125,1.1264624116010964
qmask_bdc01c419cf655bf,01100001,3,512,1,0.994140625,0.275390625,0.1875,1.022215405915631
qmask_bde177d3edcb1ae0,00110110,4,512,1,0.990234375,0.275390625,0.22265625,0.68657825910486281
qmask_c76e2148877c5063,11010110,5,512,1,0.8828125,0.275390625,0.109375,2.2619003157014959
qmask_c7c095a611af1783,00101100,3,512,1,0.990234375,0.275390625,0.220703125,0.59626614753506146
qmask_cb0a7c3a10da33f2,11001100,4,512,1,0.88671875,0.275390625,0.111328125,2.1794527566526085
qmask_cbd8bcbf0db11c8c,00110010,3,512,1,0.994140625,0.275390625,0.228515625,0.56917882052948698
qmask_cc0414ee182789c1,01111111,7,512,1,0.900390625,0.275390625,0.138671875,1.8462624935782515
qmask_cdd694ec938105ff,00011011,4,512,1,0.986328125,0.275390625,0.240234375,0.60143277677707374
qmask_d350d740bff94567,00010011,3,512,1,0.998046875,0.275390625,0.24609375,0.33258158009266481
qmask_d3a70a2b122bfec6,10110100,4,512,1,0.94921875,0.275390625,0.181640625,1.3166467327391729
qmask_d474d772a2156911,10111001,5,512,1,0.916015625,0.275390625,0.162109375,1.5691124954028055
qmask_d49846da5aa54e5e,01001011,4,512,1,0.974609375,0.275390625,0.193359375,1.053530539793428
qmask_d79394fce5af8530,11011111,7,512,1,0.81640625,0.275390625,0.060546875,2.8323452734039165
qmask_d7d102c2537b80f1,11100110,5,512,1,0.876953125,0.275390625,0.09765625,2.1797818765626289
qmask_d9d8505932b1a835,11000100,3,512,1,0.9296875,0.275390625,0.126953125,1.8323706289520487
qmask_ddc0ed6fecc12d09,11011011,6,512,1,0.830078125,0.275390625,0.076171875,2.6457590745412745
qmask_ddede699aac8de6a,11111010,6,512,1,0.822265625,0.275390625,0.06640625,2.7576583768823184
qmask_e003b3ec0121953b,11011001,5,512,1,0.85546875,0.275390625,0.083984375,2.5228032088489272
qmask_e217ee83fae37141,11110010,5,512,1,0.8671875,0.275390625,0.099609375,2.3185981143615209
qmask_e28959d82dee3e38,10001110,4,512,1,0.96484375,0.275390625,0.19921875,1.1350117406982463
qmask_e7b741d3e896dac1,01101010,4,512,1,0.9609375,0.275390625,0.181640625,1.2462513329228386
qmask_e8f30cbb6e37ce0d,10101011,5,512,1,0.939453125,0.275390625,0.17578125,1.3605309296399355
qmask_e907033eeed311b5,00101010,3,512,1,0.9921875,0.275390625,0.228515625,0.55255086207762361
qmask_ecc5bb9003043fc6,10000101,3,512,1,0.986328125,0.275390625,0.19921875,0.90451803582254797
qmask_ece46f8d3d79b53f,00011111,5,512,1,0.98046875,0.275390625,0.228515625,0.72125200406298973
qmask_ecfec3b493d7256a,01100110,4,512,1,0.982421875,0.275390625,0.185546875,1.1176070155052003
qmask_ed854a1bc1c21a23,01111011,6,512,1,0.916015625,0.275390625,0.158203125,1.6945942026795819
qmask_f61f977e6689b2ed,10001111,5,512,1,0.958984375,0.275390625,0.19140625,1.2225399481249042
qmask_f820e84b827bfd6b,10101101,5,512,1,0.931640625,0.275390625,0.1796875,1.41538690374
qmask_f9ff1c9f8ba69f2e,11100101,5,512,1,0.888671875,0.275390625,0.08203125,2.2606596538680606
qmask_fa363a52954060a1,10110110,5,512,1,0.9375,0.275390625,0.181640625,1.4138760174973868
qmask_fac74048988e3cbb,01010001,3,512,1,0.986328125,0.275390625,0.1953125,0.95548866616445594
qmask_fe024629e8134fa2,11110111,7,512,1,0.83984375,0.275390625,0.06640625,2.6393892535124905
qmask_fe9b859e1804ec08,00011010,3,512,1,0.990234375,0.275390625,0.2421875,0.55054267321247607
