mask_id,mask_bits,n_heads,n_P,n_B,n_E,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index
mask_85b84477d6b21991,0111100011001,7,2,4,1,candidate_pool_01,1,primary_heavy,n_heads_07,0
mask_88feb37e4997bcb0,1011100111000,7,2,5,0,candidate_pool_01,1,primary_heavy,n_heads_07,2
mask_392b59cd4fb2c2ba,0101110111100,8,1,7,0,candidate_pool_01,1,broad,n_heads_08,0
mask_625dbe9e05728352,1001111010101,8,1,6,1,candidate_pool_01,1,broad,n_heads_08,1
mask_69b8a0bd055bae3b,1110101110001,8,3,4,1,candidate_pool_01,1,primary_heavy,n_heads_08,1
mask_c321548a0a9a35ee,1010101001111,8,2,4,2,candidate_pool_01,1,primary_heavy,n_heads_08,0
mask_06701c9de64728ed,0101101101111,9,1,6,2,candidate_pool_01,1,broad,n_heads_09,1
mask_42c60001461509c6,0010111111011,9,1,6,2,candidate_pool_01,1,broad,n_heads_09,0
mask_4d3f046ece5f8214,1011111101100,9,2,7,0,candidate_pool_01,1,primary_heavy,n_heads_09,0
mask_c6f04107d7ae9b56,1111110110100,9,3,6,0,candidate_pool_01,1,primary_heavy,n_heads_09,1
mask_8f32af7db1011793,0101111111011,10,1,7,2,candidate_pool_01,1,broad,n_heads_10,0
mask_b0df0f5b22e4ad68,1000111111111,10,1,7,2,candidate_pool_01,1,broad,n_heads_10,1
mask_0279c47242fa6dc7,0111111101011,10,2,6,2,candidate_pool_01,1,primary_heavy,n_heads_10,1
mask_3cd97f4a74d408b8,1111111100101,10,3,6,1,candidate_pool_01,1,primary_heavy,n_heads_10,0
mask_b33d0e102bf3c5b1,0000101000110,4,0,3,1,candidate_pool_02,2,broad,n_heads_04,0
mask_d413f8231adbea75,0010000101001,4,1,2,1,candidate_pool_02,2,broad,n_heads_04,1
mask_4069015a4c8c7628,1010000001100,4,2,2,0,candidate_pool_02,2,primary_heavy,n_heads_04,0
mask_c7772d470875866f,1100000110000,4,2,2,0,candidate_pool_02,2,primary_heavy,n_heads_04,1
mask_4e88ec3f5ad705c7,0100111000010,5,1,3,1,candidate_pool_02,2,broad,n_heads_05,0
mask_ec49c3298816f83b,0001100100110,5,0,4,1,candidate_pool_02,2,broad,n_heads_05,1
mask_3c9ed4cc352cbb27,1101001100000,5,2,3,0,candidate_pool_02,2,primary_heavy,n_heads_05,0
mask_a0046e43df20ac57,1011000000110,5,2,2,1,candidate_pool_02,2,primary_heavy,n_heads_05,1
mask_68aec8aa3f42d376,0011010110010,6,1,4,1,candidate_pool_02,2,broad,n_heads_06,2
mask_7f3e113298d36180,1000110011001,6,1,4,1,candidate_pool_02,2,broad,n_heads_06,0
mask_dee58ca790a88f95,1000011001011,6,1,3,2,candidate_pool_02,2,broad,n_heads_06,1
mask_053a16108482e172,1010010110010,6,2,3,1,candidate_pool_02,2,primary_heavy,n_heads_06,2
mask_318be3c54bb72e0d,1100100100101,6,2,3,1,candidate_pool_02,2,primary_heavy,n_heads_06,0
mask_d2f4c8c3a0e382c0,1110010010010,6,3,2,1,candidate_pool_02,2,primary_heavy,n_heads_06,1
mask_857c4bc2555caab0,0100011111001,7,1,5,1,candidate_pool_02,2,broad,n_heads_07,0
mask_90268cfdee9c04e6,1000110101110,7,1,5,1,candidate_pool_02,2,broad,n_heads_07,2
mask_ae1e1d44660adb6e,0101101100110,7,1,5,1,candidate_pool_02,2,broad,n_heads_07,1
mask_6a56eb1c10f15cf8,1110110010010,7,3,3,1,candidate_pool_02,2,primary_heavy,n_heads_07,0
mask_ab59149b00e47e01,1110110010001,7,3,3,1,candidate_pool_02,2,primary_heavy,n_heads_07,1
mask_c36034d7c9cf0b25,1110000101101,7,3,3,1,candidate_pool_02,2,primary_heavy,n_heads_07,2
mask_20c5557cea9da719,1001111000111,8,1,5,2,candidate_pool_02,2,broad,n_heads_08,0
mask_d93f53a48a81e992,1001111001011,8,1,5,2,candidate_pool_02,2,broad,n_heads_08,1
mask_0adfe596cdffa062,1101011010011,8,2,4,2,candidate_pool_02,2,primary_heavy,n_heads_08,1
mask_267196af5474f7ae,1110111011000,8,3,5,0,candidate_pool_02,2,primary_heavy,n_heads_08,0
mask_b1fa83aa43509c12,0101111001111,9,1,6,2,candidate_pool_02,2,broad,n_heads_09,1
mask_e6f352bcc8504201,0101110111011,9,1,6,2,candidate_pool_02,2,broad,n_heads_09,0
mask_71b87a0bd7ca6ee1,0110111010111,9,2,5,2,candidate_pool_02,2,primary_heavy,n_heads_09,1
mask_8539d49577e1ed9d,1111101110010,9,3,5,1,candidate_pool_02,2,primary_heavy,n_heads_09,0
mask_1d9e3422b50673a4,0011111111101,10,1,8,1,candidate_pool_02,2,broad,n_heads_10,0
mask_d0336d7c13e3ff56,0011111110111,10,1,7,2,candidate_pool_02,2,broad,n_heads_10,1
mask_2c9efa6ba7e1581f,1110111001111,10,3,5,2,candidate_pool_02,2,primary_heavy,n_heads_10,0
mask_d9a88a957c928602,0111101101111,10,2,6,2,candidate_pool_02,2,primary_heavy,n_heads_10,1
mask_a702edc60d5a8139,0000001010101,4,0,3,1,candidate_pool_03,3,broad,n_heads_04,0
mask_b0a4335ce26e22f0,0101110000000,4,1,3,0,candidate_pool_03,3,broad,n_heads_04,1
mask_438eb8e7551c3dd4,0111010000000,4,2,2,0,candidate_pool_03,3,primary_heavy,n_heads_04,1
mask_48512872c4f2d5bd,0111000000001,4,2,1,1,candidate_pool_03,3,primary_heavy,n_heads_04,0
mask_aedb2c503c8eced2,0001100110100,5,0,5,0,candidate_pool_03,3,broad,n_heads_05,1
mask_b44b28fb22bc4dc8,0001110000101,5,0,4,1,candidate_pool_03,3,broad,n_heads_05,0
mask_5b90a18db67578c0,1011000010001,5,2,2,1,candidate_pool_03,3,primary_heavy,n_heads_05,0
mask_9adcd6a8e2d813f5,1101100000001,5,2,2,1,candidate_pool_03,3,primary_heavy,n_heads_05,1
mask_25fa34fa11b9dfa9,0101001011001,6,1,4,1,candidate_pool_03,3,broad,n_heads_06,2
mask_7a2a9f846e50a9dd,0101000111001,6,1,4,1,candidate_pool_03,3,broad,n_heads_06,1
mask_908579f4d41ade60,0011100001110,6,1,4,1,candidate_pool_03,3,broad,n_heads_06,0
mask_4887f05639551759,0110101101000,6,2,4,0,candidate_pool_03,3,primary_heavy,n_heads_06,2
mask_a1eb01e7a7c4e9be,1101000100110,6,2,3,1,candidate_pool_03,3,primary_heavy,n_heads_06,0
mask_dc2e11f8d6ea9e67,1100111010000,6,2,4,0,candidate_pool_03,3,primary_heavy,n_heads_06,1
mask_dc6c2cd7cadbb670,0100111011100,7,1,6,0,candidate_pool_03,3,broad,n_heads_07,2
mask_ee8067c85af66520,0011001001111,7,1,4,2,candidate_pool_03,3,broad,n_heads_07,0
mask_f5ffaba1b0f7246e,0011010110110,7,1,5,1,candidate_pool_03,3,broad,n_heads_07,1
mask_0f1c886d2bd569f0,1010010111100,7,2,5,0,candidate_pool_03,3,primary_heavy,n_heads_07,1
mask_30716df5e75daa97,1010011010110,7,2,4,1,candidate_pool_03,3,primary_heavy,n_heads_07,2
mask_db4ced2a93ad8780,1010100110011,7,2,3,2,candidate_pool_03,3,primary_heavy,n_heads_07,0
mask_384a80f180c950e1,0011111100110,8,1,6,1,candidate_pool_03,3,broad,n_heads_08,0
mask_fdaa260e90039f39,1001110110011,8,1,5,2,candidate_pool_03,3,broad,n_heads_08,1
mask_7ffec6cebc7147bc,0111110110001,8,2,5,1,candidate_pool_03,3,primary_heavy,n_heads_08,0
mask_8e19964bc0ea5bd6,1100111100101,8,2,5,1,candidate_pool_03,3,primary_heavy,n_heads_08,1
mask_510a1a5f1a6a36a9,0001111111101,9,0,8,1,candidate_pool_03,3,broad,n_heads_09,1
mask_869d66d61d829aa3,0010011111111,9,1,6,2,candidate_pool_03,3,broad,n_heads_09,0
mask_2b83958421bb5cda,0111101110110,9,2,6,1,candidate_pool_03,3,primary_heavy,n_heads_09,0
mask_e3bfff07ca1cabef,1101111011100,9,2,7,0,candidate_pool_03,3,primary_heavy,n_heads_09,1
mask_0fb6d9bf1421fa6c,0011111111011,10,1,7,2,candidate_pool_03,3,broad,n_heads_10,1
mask_f22d93db3ad45aa7,1001111110111,10,1,7,2,candidate_pool_03,3,broad,n_heads_10,0
mask_66e7ba4230023a63,1111010101111,10,3,5,2,candidate_pool_03,3,primary_heavy,n_heads_10,0
mask_ef5c55a63fd9a61d,1011110011111,10,2,6,2,candidate_pool_03,3,primary_heavy,n_heads_10,1
mask_f0c601118b39fe23,0001010011000,4,0,4,0,candidate_pool_04,4,broad,n_heads_04,0
mask_f9b9a5353aeba653,0001100100010,4,0,3,1,candidate_pool_04,4,broad,n_heads_04,1
mask_5190866506d2856d,0110000010001,4,2,1,1,candidate_pool_04,4,primary_heavy,n_heads_04,1
mask_d1786933297085c0,1010001000001,4,2,1,1,candidate_pool_04,4,primary_heavy,n_heads_04,0
mask_6b607c9d9ebed276,0000111001010,5,0,4,1,candidate_pool_04,4,broad,n_heads_05,1
mask_d9a16613cc73af42,0101110000001,5,1,3,1,candidate_pool_04,4,broad,n_heads_05,0
mask_404aeacce5dd470d,0110000110001,5,2,2,1,candidate_pool_04,4,primary_heavy,n_heads_05,1
mask_5e55c5762af6b0d5,0110100010001,5,2,2,1,candidate_pool_04,4,primary_heavy,n_heads_05,0
mask_76eefe00ea7f7098,0101001101100,6,1,5,0,candidate_pool_04,4,broad,n_heads_06,1
mask_e8e5e157d6e5049e,0100001101101,6,1,4,1,candidate_pool_04,4,broad,n_heads_06,0
mask_ee5fb6904843b482,1000011101100,6,1,5,0,candidate_pool_04,4,broad,n_heads_06,2
mask_08ecbaf1273b839d,0110101000011,6,2,2,2,candidate_pool_04,4,primary_heavy,n_heads_06,0
mask_5d6868f3c7cf99b3,1010100010110,6,2,3,1,candidate_pool_04,4,primary_heavy,n_heads_06,1
mask_8f5eca4cbcfcb5db,1010010011001,6,2,3,1,candidate_pool_04,4,primary_heavy,n_heads_06,2
mask_7fb6ffeb6bd8fc1f,1000110110110,7,1,5,1,candidate_pool_04,4,broad,n_heads_07,0
mask_93f84412f1b2de39,0011111101000,7,1,6,0,candidate_pool_04,4,broad,n_heads_07,1
mask_a70ae2b6886df911,0010111110001,7,1,5,1,candidate_pool_04,4,broad,n_heads_07,2
mask_8831b2c38466a549,1100011101010,7,2,4,1,candidate_pool_04,4,primary_heavy,n_heads_07,1
mask_8eaaf64cc1220873,1011110001010,7,2,4,1,candidate_pool_04,4,primary_heavy,n_heads_07,0
mask_ff0a498847885133,1011100011010,7,2,4,1,candidate_pool_04,4,primary_heavy,n_heads_07,2
mask_236220af5313649a,0100100111111,8,1,5,2,candidate_pool_04,4,broad,n_heads_08,1
mask_a26e5c6ddb2404bd,0101101010111,8,1,5,2,candidate_pool_04,4,broad,n_heads_08,0
mask_8b7737474604b389,1010111110010,8,2,5,1,candidate_pool_04,4,primary_heavy,n_heads_08,1
mask_d661254b6d532a93,1110101011010,8,3,4,1,candidate_pool_04,4,primary_heavy,n_heads_08,0
mask_6d2e3876c8f68db8,1001111111100,9,1,8,0,candidate_pool_04,4,broad,n_heads_09,1
mask_e3d966acffab63d3,0000111111111,9,0,7,2,candidate_pool_04,4,broad,n_heads_09,0
mask_23526c3b8294fcb7,1101111001110,9,2,6,1,candidate_pool_04,4,primary_heavy,n_heads_09,0
mask_3f42ad7cb49d164c,0110111100111,9,2,5,2,candidate_pool_04,4,primary_heavy,n_heads_09,1
mask_707fcddd05f279f6,0101111101111,10,1,7,2,candidate_pool_04,4,broad,n_heads_10,1
mask_e9f121c635b9e306,0010111111111,10,1,7,2,candidate_pool_04,4,broad,n_heads_10,0
mask_cafa56ef6c77bde9,1111101110011,10,3,5,2,candidate_pool_04,4,primary_heavy,n_heads_10,0
mask_dc190fdfa9807171,1110011110111,10,3,5,2,candidate_pool_04,4,primary_heavy,n_heads_10,1
mask_9781274f8ee1fcdf,0101100001000,4,1,3,0,candidate_pool_05,5,broad,n_heads_04,1
mask_f2e0ea8fb5aced9f,0001100000110,4,0,3,1,candidate_pool_05,5,broad,n_heads_04,0
mask_0ea1a19911258943,0110101000000,4,2,2,0,candidate_pool_05,5,primary_heavy,n_heads_04,1
mask_de24099fc59a002a,1010010000100,4,2,2,0,candidate_pool_05,5,primary_heavy,n_heads_04,0
mask_733a12c308c35650,0011000010101,5,1,3,1,candidate_pool_05,5,broad,n_heads_05,1
mask_8f9a3d833faba0f0,0010101100010,5,1,3,1,candidate_pool_05,5,broad,n_heads_05,0
mask_622d100078295a52,0110001010001,5,2,2,1,candidate_pool_05,5,primary_heavy,n_heads_05,1
mask_f0bc7dbe5565770b,1100101000010,5,2,2,1,candidate_pool_05,5,primary_heavy,n_heads_05,0
mask_25aad795bfaf26cc,0100010111010,6,1,4,1,candidate_pool_05,5,broad,n_heads_06,2
mask_89894a3de9800e4f,0100100011110,6,1,4,1,candidate_pool_05,5,broad,n_heads_06,1
mask_bb34cb2eaf4b5d75,0101001011100,6,1,5,0,candidate_pool_05,5,broad,n_heads_06,0
mask_70032bddd368aae7,1100100001011,6,2,2,2,candidate_pool_05,5,primary_heavy,n_heads_06,2
mask_9ada32a4bff7daa9,0110011001100,6,2,4,0,candidate_pool_05,5,primary_heavy,n_heads_06,0
mask_a1583d68d1b5ac36,1101000100011,6,2,2,2,candidate_pool_05,5,primary_heavy,n_heads_06,1
mask_638cefc8ffcf604a,0100101110011,7,1,4,2,candidate_pool_05,5,broad,n_heads_07,2
mask_d46389ced1402b06,0011100101101,7,1,5,1,candidate_pool_05,5,broad,n_heads_07,0
mask_f87b6c1f9dbae6a0,0100100101111,7,1,4,2,candidate_pool_05,5,broad,n_heads_07,1
mask_62191f28479b805a,1110111000010,7,3,3,1,candidate_pool_05,5,primary_heavy,n_heads_07,2
mask_ae737f6731edb34d,1010010101110,7,2,4,1,candidate_pool_05,5,primary_heavy,n_heads_07,0
mask_f5d21a1898de9318,1011000111100,7,2,5,0,candidate_pool_05,5,primary_heavy,n_heads_07,1
mask_f0c07bdf1eb92157,0100011111110,8,1,6,1,candidate_pool_05,5,broad,n_heads_08,1
mask_fdeec4fb4b923420,0101101001111,8,1,5,2,candidate_pool_05,5,broad,n_heads_08,0
mask_1abd41f1a83adf2a,1110010100111,8,3,3,2,candidate_pool_05,5,primary_heavy,n_heads_08,0
mask_762a6523a5ece970,0111110001110,8,2,5,1,candidate_pool_05,5,primary_heavy,n_heads_08,1
mask_3895d99325d254e9,0011101110111,9,1,6,2,candidate_pool_05,5,broad,n_heads_09,1
mask_df9ab984d1b9e9f4,1000101111111,9,1,6,2,candidate_pool_05,5,broad,n_heads_09,0
mask_22c097f7c153bb13,1110110101011,9,3,4,2,candidate_pool_05,5,primary_heavy,n_heads_09,1
mask_439dcebfa10ec4e4,0110011111110,9,2,6,1,candidate_pool_05,5,primary_heavy,n_heads_09,0
mask_111b2c86496d6209,1001111111110,10,1,8,1,candidate_pool_05,5,broad,n_heads_10,0
mask_c2c23ea606b0481a,1001011111111,10,1,7,2,candidate_pool_05,5,broad,n_heads_10,1
mask_290a3cb1caf906c3,1011110111110,10,2,7,1,candidate_pool_05,5,primary_heavy,n_heads_10,0
mask_cf672502900b1ca1,1011111101011,10,2,6,2,candidate_pool_05,5,primary_heavy,n_heads_10,1
mask_24aa69bed4ef8bfe,0000011010100,4,0,4,0,candidate_pool_06,6,broad,n_heads_04,0
mask_c9523b88300a64c5,1001000001010,4,1,2,1,candidate_pool_06,6,broad,n_heads_04,1
mask_25276dd47f8ef77c,1100100000100,4,2,2,0,candidate_pool_06,6,primary_heavy,n_heads_04,0
mask_72750b59b18d6c0c,0110100000100,4,2,2,0,candidate_pool_06,6,primary_heavy,n_heads_04,1
mask_2322491b9dd809d6,1000101100001,5,1,3,1,candidate_pool_06,6,broad,n_heads_05,1
mask_4dc179e3bed83994,0100011001100,5,1,4,0,candidate_pool_06,6,broad,n_heads_05,0
mask_0cbfd8c3e3987d54,1010000101010,5,2,2,1,candidate_pool_06,6,primary_heavy,n_heads_05,0
mask_382e0bf880e4af69,1101101000000,5,2,3,0,candidate_pool_06,6,primary_heavy,n_heads_05,1
mask_46bb144591a6ff63,0101000001111,6,1,3,2,candidate_pool_06,6,broad,n_heads_06,1
mask_b6d6b292842a5d66,0011000111001,6,1,4,1,candidate_pool_06,6,broad,n_heads_06,0
mask_bf6676c8cf2328fe,0011001101010,6,1,4,1,candidate_pool_06,6,broad,n_heads_06,2
mask_59ac3ea373ffb409,0111010000011,6,2,2,2,candidate_pool_06,6,primary_heavy,n_heads_06,1
mask_8a4903df460893e2,1101011100000,6,2,4,0,candidate_pool_06,6,primary_heavy,n_heads_06,2
mask_f16ce08b0ff70796,1010110010001,6,2,3,1,candidate_pool_06,6,primary_heavy,n_heads_06,0
mask_834a6ea68547fc89,0100011001111,7,1,4,2,candidate_pool_06,6,broad,n_heads_07,0
mask_9074ffe6e76859ab,0101110100011,7,1,4,2,candidate_pool_06,6,broad,n_heads_07,2
mask_f2b097d9ab973b9b,0101111110000,7,1,6,0,candidate_pool_06,6,broad,n_heads_07,1
mask_8da4b6178fa2b73e,1010001011101,7,2,4,1,candidate_pool_06,6,primary_heavy,n_heads_07,0
mask_bcf00f575657ab57,1101010100101,7,2,4,1,candidate_pool_06,6,primary_heavy,n_heads_07,1
mask_c22a533faf194bc5,1010001110110,7,2,4,1,candidate_pool_06,6,primary_heavy,n_heads_07,2
mask_30a6028bf95dd005,0001111001111,8,0,6,2,candidate_pool_06,6,broad,n_heads_08,1
mask_a63bdf91a6b6b869,1001011011101,8,1,6,1,candidate_pool_06,6,broad,n_heads_08,0
mask_704e0264140b05ba,1100011011110,8,2,5,1,candidate_pool_06,6,primary_heavy,n_heads_08,1
mask_ad8e51343f6afbab,0110101101101,8,2,5,1,candidate_pool_06,6,primary_heavy,n_heads_08,0
mask_5209887ff03654c4,1001010111111,9,1,6,2,candidate_pool_06,6,broad,n_heads_09,1
mask_d27ab5b97e7881b1,0101111101110,9,1,7,1,candidate_pool_06,6,broad,n_heads_09,0
mask_ba28cb4fde59866a,1011010111101,9,2,6,1,candidate_pool_06,6,primary_heavy,n_heads_09,0
mask_e8682f72515acb06,1111110010011,9,3,4,2,candidate_pool_06,6,primary_heavy,n_heads_09,1
mask_9d03b54ad45d1a11,1001111111011,10,1,7,2,candidate_pool_06,6,broad,n_heads_10,1
mask_b42f1f770ee4852b,1001101111111,10,1,7,2,candidate_pool_06,6,broad,n_heads_10,0
mask_5bf7af84e459f7ba,1110111101101,10,3,6,1,candidate_pool_06,6,primary_heavy,n_heads_10,1
mask_d278c50dbd98b217,0111111101101,10,2,7,1,candidate_pool_06,6,primary_heavy,n_heads_10,0
mask_3cd13f0b09b38224,0100100010010,4,1,2,1,candidate_pool_07,7,broad,n_heads_04,1
mask_f395e84fb1153ac4,0001000101001,4,0,3,1,candidate_pool_07,7,broad,n_heads_04,0
mask_6c3e3315afb6fb8c,1011000000010,4,2,1,1,candidate_pool_07,7,primary_heavy,n_heads_04,1
mask_73324c4014b4a4c2,1010001010000,4,2,2,0,candidate_pool_07,7,primary_heavy,n_heads_04,0
mask_13bde25a1f9e1093,0101000101010,5,1,3,1,candidate_pool_07,7,broad,n_heads_05,0
mask_83fe021aaca96bf0,1001100100100,5,1,4,0,candidate_pool_07,7,broad,n_heads_05,1
mask_c9688ac3f4d96cac,1101000100001,5,2,2,1,candidate_pool_07,7,primary_heavy,n_heads_05,0
mask_d4de593b7cc70d8f,0111000001100,5,2,3,0,candidate_pool_07,7,primary_heavy,n_heads_05,1
mask_52536938b0d3c559,0101010100101,6,1,4,1,candidate_pool_07,7,broad,n_heads_06,0
mask_aea069a826f0a096,0011010101001,6,1,4,1,candidate_pool_07,7,broad,n_heads_06,1
mask_be0515fb61fc8e18,0010100111010,6,1,4,1,candidate_pool_07,7,broad,n_heads_06,2
mask_21e5e4333c6fc40a,1100001111000,6,2,4,0,candidate_pool_07,7,primary_heavy,n_heads_06,2
mask_7f24cc1e43cc6a20,0111001001001,6,2,3,1,candidate_pool_07,7,primary_heavy,n_heads_06,1
mask_ca31fbfa51703440,1100010011001,6,2,3,1,candidate_pool_07,7,primary_heavy,n_heads_06,0
mask_1071d55a6118c541,0011100101011,7,1,4,2,candidate_pool_07,7,broad,n_heads_07,1
mask_89f636ee152a5c54,0101001110101,7,1,5,1,candidate_pool_07,7,broad,n_heads_07,0
mask_db49e87b0dddbc80,1000101011110,7,1,5,1,candidate_pool_07,7,broad,n_heads_07,2
mask_5d9ff63fcd689a2f,0111101010010,7,2,4,1,candidate_pool_07,7,primary_heavy,n_heads_07,1
mask_80c3a0633db3b3e5,0110111100010,7,2,4,1,candidate_pool_07,7,primary_heavy,n_heads_07,2
mask_c4774bd021c06295,1010111000110,7,2,4,1,candidate_pool_07,7,primary_heavy,n_heads_07,0
mask_57d082e10f160b56,0010101111101,8,1,6,1,candidate_pool_07,7,broad,n_heads_08,0
mask_69b31d9c3a76ba45,0011010111110,8,1,6,1,candidate_pool_07,7,broad,n_heads_08,1
mask_2261c8e54842bff6,1010010111110,8,2,5,1,candidate_pool_07,7,primary_heavy,n_heads_08,1
mask_d43daec0a2f27dc1,1010111111000,8,2,6,0,candidate_pool_07,7,primary_heavy,n_heads_08,0
mask_7b086f967d1f6c45,0101011111011,9,1,6,2,candidate_pool_07,7,broad,n_heads_09,0
mask_897eaef6989d8277,0011111010111,9,1,6,2,candidate_pool_07,7,broad,n_heads_09,1
mask_66a1456a9ed6a190,1110111110100,9,3,6,0,candidate_pool_07,7,primary_heavy,n_heads_09,0
mask_dcead7d80876d41f,1110111011010,9,3,5,1,candidate_pool_07,7,primary_heavy,n_heads_09,1
mask_86cee7aec23aade6,1001111101111,10,1,7,2,candidate_pool_07,7,broad,n_heads_10,1
mask_8b4aadeb70824cb3,0011101111111,10,1,7,2,candidate_pool_07,7,broad,n_heads_10,0
mask_9401c6bc69ed4d22,1110101110111,10,3,5,2,candidate_pool_07,7,primary_heavy,n_heads_10,1
mask_e28119cc1bd5501f,1111001011111,10,3,5,2,candidate_pool_07,7,primary_heavy,n_heads_10,0
mask_d71fb8f090c52558,0001110001000,4,0,4,0,candidate_pool_08,8,broad,n_heads_04,1
