measurement_order,mask_id,mask_bits,n_heads,n_P,n_B,n_E
70,mask_2666ee9c2c7a77ee,1110111001011,9,3,4,2
71,mask_bf505143d0bef8b7,0110010110000,5,2,3,0
72,mask_4be08aaaaf192de6,1111001110001,8,3,4,1
73,mask_62cf7f86323effba,0001110110000,5,0,5,0
74,mask_9899c78f1abc5e0b,1100100011100,6,2,4,0
75,mask_bfb2c89a939ce8d5,0100101001000,4,1,3,0
76,mask_c0bdddd8059874b4,1011101100110,8,2,5,1
77,mask_a67dbd270e3ee0a5,0111111110011,10,2,6,2
78,mask_44e67a0d8755dfaa,1010000000010,3,2,0,1
79,mask_fe420d1b024121ed,1000000100010,3,1,1,1
80,mask_5b120006d99e6542,0000010101011,5,0,3,2
81,mask_24ef98bb57ce61e3,1001001111100,7,1,6,0
82,mask_062463d8bb348353,0000001011010,4,0,3,1
83,mask_ecea8b97df3f9443,1000000000001,2,1,0,1
84,mask_25e3dbe66456425f,1001100010011,6,1,3,2
85,mask_ad8bb820d41ef34a,0101111111111,11,1,8,2
86,mask_2857372149b5e2f5,0001100111110,7,0,6,1
87,mask_53563708a238f52a,0001000000001,2,0,1,1
88,mask_55cf1d64dd8722f9,1111000000100,5,3,2,0
89,mask_4b5191839c389d9f,1010010010010,5,2,2,1
90,mask_5686e4f58572d57d,1110110110100,8,3,5,0
91,mask_b81f21523ca823af,0011010011110,7,1,5,1
92,mask_698c44cf9fb74373,1110000010011,6,3,1,2
93,mask_493dc023e137b563,0000001111011,6,0,4,2
94,mask_e271c0e5b7ad5dba,1000010000000,2,1,1,0
95,mask_5f28f7710d194185,1001111011001,8,1,6,1
96,mask_6154675eaa897d52,0010101000110,5,1,3,1
97,mask_421a3153a506d13a,0010101101000,5,1,4,0
98,mask_a598c6a2e6cf46f0,1100000000101,4,2,1,1
99,mask_28a680e7a681579b,1011011000011,7,2,3,2
100,mask_d1097cf14abec536,1001001010111,7,1,4,2
101,mask_79b35ccf95cd0c50,1101111000000,6,2,4,0
102,mask_536ee13077645711,0001011100101,6,0,5,1
103,mask_a4c3fadde0ef6bdd,0011000101001,5,1,3,1
104,mask_3e48965a45f779d9,0001011011100,6,0,6,0
105,mask_bcb7772444c48db0,1010010011111,8,2,4,2
106,mask_ab57b2b3cdd33c04,0111111111110,11,2,8,1
107,mask_621ee863f0319aee,0010010000011,4,1,1,2
108,mask_1aef01556b331e17,0001000000111,4,0,2,2
109,mask_5176ff845b46c29d,1100100101011,7,2,3,2
110,mask_8edbe5b080edcccb,1001000110000,4,1,3,0
111,mask_22b564049955e657,1110010101101,8,3,4,1
112,mask_63fad82facb04007,0000010110001,4,0,3,1
113,mask_db216e1ef88599a0,0010111110101,8,1,6,1
114,mask_1fc725bdf9474596,0111001111100,8,2,6,0
115,mask_d599ed802cc1fcf1,0001110111011,8,0,6,2
116,mask_2dc7da9860b4128f,0101010101110,7,1,5,1
117,mask_49a1989af3b19a0f,0000101110100,5,0,5,0
118,mask_0a6a05f29569ae3d,1110011010010,7,3,3,1
119,mask_7f9ac1f405b6479b,1001100101011,7,1,4,2
120,mask_1019c3f7eec5d612,0000101011010,5,0,4,1
121,mask_897f23c50092cc57,1111101110111,11,3,6,2
122,mask_786fce034f804312,0111100000001,5,2,2,1
123,mask_9a7d4d3e2c7378d3,0100010000100,3,1,2,0
124,mask_e35af55c5d063328,0110001110000,5,2,3,0
125,mask_a21222b1ca7a2eac,0011111111100,9,1,8,0
126,mask_0718f0cf08e8279f,0100001000010,3,1,1,1
127,mask_e9d1bc8423b1b1ab,1111111001000,8,3,5,0
128,mask_f7afe52928346f2f,0000100010111,5,0,3,2
129,mask_7cbbf28d3c6f4210,1101101110001,8,2,5,1
130,mask_c97894777afcc99f,0100000011011,5,1,2,2
131,mask_6e233139c0727875,0111001011111,9,2,5,2
132,mask_ee6496a2b75b5752,0101010110000,5,1,4,0
133,mask_bebfb5cf89f39364,1011111101010,9,2,6,1
134,mask_d484d5586d46cab0,0000000100110,3,0,2,1
135,mask_e50eb6ec6c736e51,1010000100011,5,2,1,2
136,mask_a8c021b8ce23ea18,0100111100111,8,1,5,2
137,mask_98c8a6663651403f,1000110001001,5,1,3,1
138,mask_5e539fd4fb4f30e0,1101100000100,5,2,3,0
139,mask_542e3942e8083d7b,0000100101100,4,0,4,0
140,mask_f0d425194ba71d2a,1110000001010,5,3,1,1
141,mask_798fd7b7b8823049,0001110110010,6,0,5,1
142,mask_1d0cf62f9f8f8c9e,1111001100011,8,3,3,2
143,mask_5f82203e5411cea2,0001011100111,7,0,5,2
144,mask_75e2a232004a3ec9,1000101010110,6,1,4,1
145,mask_79e5fe2e8a8945fa,1010010111000,6,2,4,0
146,mask_a9eee521016fc345,1110000111000,6,3,3,0
147,mask_de8cae8cd26a8257,0011110110111,9,1,6,2
148,mask_e43b131d21adc393,0010001001111,6,1,3,2
149,mask_232bccc803d574c3,1110111110101,10,3,6,1
150,mask_bb311756d276f058,0000001000011,3,0,1,2
151,mask_8eb247c7f2a1e88a,0001111001101,7,0,6,1
152,mask_53dd381a5d9860fa,1010011000101,6,2,3,1
153,mask_09bb221bb3e0c69a,0110111001011,8,2,4,2
154,mask_2994bb881ee1574a,0011100001100,5,1,4,0
155,mask_c72024320345a4b0,0001001000000,2,0,2,0
156,mask_86100bcd048a4056,0011100100001,5,1,3,1
157,mask_039ff17d895de859,0101011101101,8,1,6,1
158,mask_75509ff459ef67a5,1000000101100,4,1,3,0
159,mask_764addf2adf64fbd,0111000111101,8,2,5,1
160,mask_360e3e2aba762bce,1101111111111,12,2,8,2
