measurement_order,mask_id,mask_bits,n_heads,n_P,n_B,n_E,bank,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index
95.0,mask_5f28f7710d194185,1001111011001,8,1,6,1,calibration,,,,,
96.0,mask_6154675eaa897d52,0010101000110,5,1,3,1,calibration,,,,,
97.0,mask_421a3153a506d13a,0010101101000,5,1,4,0,calibration,,,,,
98.0,mask_a598c6a2e6cf46f0,1100000000101,4,2,1,1,calibration,,,,,
99.0,mask_28a680e7a681579b,1011011000011,7,2,3,2,calibration,,,,,
100.0,mask_d1097cf14abec536,1001001010111,7,1,4,2,calibration,,,,,
101.0,mask_79b35ccf95cd0c50,1101111000000,6,2,4,0,calibration,,,,,
102.0,mask_536ee13077645711,0001011100101,6,0,5,1,calibration,,,,,
103.0,mask_a4c3fadde0ef6bdd,0011000101001,5,1,3,1,calibration,,,,,
104.0,mask_3e48965a45f779d9,0001011011100,6,0,6,0,calibration,,,,,
105.0,mask_bcb7772444c48db0,1010010011111,8,2,4,2,calibration,,,,,
106.0,mask_ab57b2b3cdd33c04,0111111111110,11,2,8,1,calibration,,,,,
107.0,mask_621ee863f0319aee,0010010000011,4,1,1,2,calibration,,,,,
108.0,mask_1aef01556b331e17,0001000000111,4,0,2,2,calibration,,,,,
109.0,mask_5176ff845b46c29d,1100100101011,7,2,3,2,calibration,,,,,
110.0,mask_8edbe5b080edcccb,1001000110000,4,1,3,0,calibration,,,,,
111.0,mask_22b564049955e657,1110010101101,8,3,4,1,calibration,,,,,
112.0,mask_63fad82facb04007,0000010110001,4,0,3,1,calibration,,,,,
113.0,mask_db216e1ef88599a0,0010111110101,8,1,6,1,calibration,,,,,
114.0,mask_1fc725bdf9474596,0111001111100,8,2,6,0,calibration,,,,,
115.0,mask_d599ed802cc1fcf1,0001110111011,8,0,6,2,calibration,,,,,
116.0,mask_2dc7da9860b4128f,0101010101110,7,1,5,1,calibration,,,,,
117.0,mask_49a1989af3b19a0f,0000101110100,5,0,5,0,calibration,,,,,
118.0,mask_0a6a05f29569ae3d,1110011010010,7,3,3,1,calibration,,,,,
119.0,mask_7f9ac1f405b6479b,1001100101011,7,1,4,2,calibration,,,,,
120.0,mask_1019c3f7eec5d612,0000101011010,5,0,4,1,calibration,,,,,
121.0,mask_897f23c50092cc57,1111101110111,11,3,6,2,calibration,,,,,
122.0,mask_786fce034f804312,0111100000001,5,2,2,1,calibration,,,,,
123.0,mask_9a7d4d3e2c7378d3,0100010000100,3,1,2,0,calibration,,,,,
124.0,mask_e35af55c5d063328,0110001110000,5,2,3,0,calibration,,,,,
125.0,mask_a21222b1ca7a2eac,0011111111100,9,1,8,0,calibration,,,,,
126.0,mask_0718f0cf08e8279f,0100001000010,3,1,1,1,calibration,,,,,
127.0,mask_e9d1bc8423b1b1ab,1111111001000,8,3,5,0,calibration,,,,,
128.0,mask_f7afe52928346f2f,0000100010111,5,0,3,2,calibration,,,,,
129.0,mask_7cbbf28d3c6f4210,1101101110001,8,2,5,1,calibration,,,,,
130.0,mask_c97894777afcc99f,0100000011011,5,1,2,2,calibration,,,,,
131.0,mask_6e233139c0727875,0111001011111,9,2,5,2,calibration,,,,,
132.0,mask_ee6496a2b75b5752,0101010110000,5,1,4,0,calibration,,,,,
133.0,mask_bebfb5cf89f39364,1011111101010,9,2,6,1,calibration,,,,,
134.0,mask_d484d5586d46cab0,0000000100110,3,0,2,1,calibration,,,,,
135.0,mask_e50eb6ec6c736e51,1010000100011,5,2,1,2,calibration,,,,,
136.0,mask_a8c021b8ce23ea18,0100111100111,8,1,5,2,calibration,,,,,
137.0,mask_98c8a6663651403f,1000110001001,5,1,3,1,calibration,,,,,
138.0,mask_5e539fd4fb4f30e0,1101100000100,5,2,3,0,calibration,,,,,
139.0,mask_542e3942e8083d7b,0000100101100,4,0,4,0,calibration,,,,,
140.0,mask_f0d425194ba71d2a,1110000001010,5,3,1,1,calibration,,,,,
141.0,mask_798fd7b7b8823049,0001110110010,6,0,5,1,calibration,,,,,
142.0,mask_1d0cf62f9f8f8c9e,1111001100011,8,3,3,2,calibration,,,,,
143.0,mask_5f82203e5411cea2,0001011100111,7,0,5,2,calibration,,,,,
144.0,mask_75e2a232004a3ec9,1000101010110,6,1,4,1,calibration,,,,,
145.0,mask_79e5fe2e8a8945fa,1010010111000,6,2,4,0,calibration,,,,,
146.0,mask_a9eee521016fc345,1110000111000,6,3,3,0,calibration,,,,,
147.0,mask_de8cae8cd26a8257,0011110110111,9,1,6,2,calibration,,,,,
148.0,mask_e43b131d21adc393,0010001001111,6,1,3,2,calibration,,,,,
149.0,mask_232bccc803d574c3,1110111110101,10,3,6,1,calibration,,,,,
150.0,mask_bb311756d276f058,0000001000011,3,0,1,2,calibration,,,,,
151.0,mask_8eb247c7f2a1e88a,0001111001101,7,0,6,1,calibration,,,,,
152.0,mask_53dd381a5d9860fa,1010011000101,6,2,3,1,calibration,,,,,
153.0,mask_09bb221bb3e0c69a,0110111001011,8,2,4,2,calibration,,,,,
154.0,mask_2994bb881ee1574a,0011100001100,5,1,4,0,calibration,,,,,
155.0,mask_c72024320345a4b0,0001001000000,2,0,2,0,calibration,,,,,
156.0,mask_86100bcd048a4056,0011100100001,5,1,3,1,calibration,,,,,
157.0,mask_039ff17d895de859,0101011101101,8,1,6,1,calibration,,,,,
158.0,mask_75509ff459ef67a5,1000000101100,4,1,3,0,calibration,,,,,
159.0,mask_764addf2adf64fbd,0111000111101,8,2,5,1,calibration,,,,,
160.0,mask_360e3e2aba762bce,1101111111111,12,2,8,2,calibration,,,,,
,mask_a44ebad514cc6a03,0010100000011,4,1,1,2,candidate,candidate_pool_00,0.0,broad,n_heads_04,1.0
,mask_ffe0389c017216d1,1000001100001,4,1,2,1,candidate,candidate_pool_00,0.0,broad,n_heads_04,0.0
,mask_7c8b926f287bec49,1100001001000,4,2,2,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_04,1.0
,mask_b611eb15c1cbe033,1010010001000,4,2,2,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_04,0.0
,mask_2a1ac7c246d39381,0010001000111,5,1,2,2,candidate,candidate_pool_00,0.0,broad,n_heads_05,1.0
,mask_c0d0984f7496e96b,0010000110110,5,1,3,1,candidate,candidate_pool_00,0.0,broad,n_heads_05,0.0
,mask_56ee0c60e1cde4b8,1100000011100,5,2,3,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_05,0.0
,mask_714aefc72a94a0e9,1100001110000,5,2,3,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_05,1.0
,mask_5bc08165dcaa24e1,1000000011111,6,1,3,2,candidate,candidate_pool_00,0.0,broad,n_heads_06,1.0
,mask_80a919744b6bf885,0011000101101,6,1,4,1,candidate,candidate_pool_00,0.0,broad,n_heads_06,2.0
,mask_d1688cbf27ef2af4,1001001000111,6,1,3,2,candidate,candidate_pool_00,0.0,broad,n_heads_06,0.0
,mask_153f1c2a9e066490,1110010110000,6,3,3,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_06,1.0
,mask_1e1088beec645b87,0111001010001,6,2,3,1,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_06,2.0
,mask_bfa108de38e6d58f,1100010011100,6,2,4,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_06,0.0
,mask_02e4a5b0e632441b,0100001111110,7,1,5,1,candidate,candidate_pool_00,0.0,broad,n_heads_07,1.0
,mask_1d6d3f9f5c61b0fa,1000111001110,7,1,5,1,candidate,candidate_pool_00,0.0,broad,n_heads_07,2.0
,mask_46ec7d95f82c114c,1000000111111,7,1,4,2,candidate,candidate_pool_00,0.0,broad,n_heads_07,0.0
,mask_a096a397a7d70275,1011011011000,7,2,5,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_07,0.0
,mask_b4970ee8a8f769c1,1100100011101,7,2,4,1,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_07,2.0
,mask_b55f4fdddb0ed7df,1110101101000,7,3,4,0,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_07,1.0
,mask_502a955fb93e65d9,0010110111101,8,1,6,1,candidate,candidate_pool_00,0.0,broad,n_heads_08,0.0
,mask_883cd27fbedf8582,1001011001111,8,1,5,2,candidate,candidate_pool_00,0.0,broad,n_heads_08,1.0
,mask_64bfd680054dd7d1,0111110100110,8,2,5,1,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_08,1.0
,mask_c8c6cee6a74a48ae,0111110110010,8,2,5,1,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_08,0.0
,mask_5b752f5ac0d1c4e3,0011101111011,9,1,6,2,candidate,candidate_pool_00,0.0,broad,n_heads_09,1.0
,mask_af608dfaba891fc2,0101111111100,9,1,8,0,candidate,candidate_pool_00,0.0,broad,n_heads_09,0.0
,mask_c5621894f29d5b43,0111010011111,9,2,5,2,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_09,0.0
,mask_ff6985d2961f695d,1011111100101,9,2,6,1,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_09,1.0
,mask_0e613a7552299eed,0101111011111,10,1,7,2,candidate,candidate_pool_00,0.0,broad,n_heads_10,1.0
,mask_818493500a9903d5,0011111111110,10,1,8,1,candidate,candidate_pool_00,0.0,broad,n_heads_10,0.0
,mask_1ac89476f4e553f7,0111011111101,10,2,7,1,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_10,1.0
,mask_bfb9e14f899fd7d3,1101011101111,10,2,6,2,candidate,candidate_pool_00,0.0,primary_heavy,n_heads_10,0.0
,mask_28f76a93a72310a5,1000100010001,4,1,2,1,candidate,candidate_pool_01,1.0,broad,n_heads_04,0.0
,mask_6643e693560431f7,0000011000011,4,0,2,2,candidate,candidate_pool_01,1.0,broad,n_heads_04,1.0
,mask_3507ab216f864cbe,1101001000000,4,2,2,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_04,1.0
,mask_d34cab07e9bf4ded,1100100100000,4,2,2,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_04,0.0
,mask_16dc2167f216f5a8,1000100011100,5,1,4,0,candidate,candidate_pool_01,1.0,broad,n_heads_05,0.0
,mask_3b86851daac9b820,0000010100111,5,0,3,2,candidate,candidate_pool_01,1.0,broad,n_heads_05,1.0
,mask_261f2ebd1f8a4eaa,1010001010100,5,2,3,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_05,0.0
,mask_f78efa18c25e46d0,1101011000000,5,2,3,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_05,1.0
,mask_596039cbd449516b,0100010011011,6,1,3,2,candidate,candidate_pool_01,1.0,broad,n_heads_06,1.0
,mask_6377c5f877751766,1001001010011,6,1,3,2,candidate,candidate_pool_01,1.0,broad,n_heads_06,2.0
,mask_74077575feeaaa77,0101011001001,6,1,4,1,candidate,candidate_pool_01,1.0,broad,n_heads_06,0.0
,mask_29da43b5474a3359,0110010100011,6,2,2,2,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_06,0.0
,mask_304d12adafdb81c3,1110000101001,6,3,2,1,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_06,2.0
,mask_e086f0d0e52f4d73,0110001110010,6,2,3,1,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_06,1.0
,mask_0996d9ce9b8fc03f,0010001110111,7,1,4,2,candidate,candidate_pool_01,1.0,broad,n_heads_07,0.0
,mask_6dc3d8bfeadef35d,0011101010110,7,1,5,1,candidate,candidate_pool_01,1.0,broad,n_heads_07,1.0
,mask_d4041af54a719d70,1000011111010,7,1,5,1,candidate,candidate_pool_01,1.0,broad,n_heads_07,2.0
,mask_76f706be2ab175f0,1110100010110,7,3,3,1,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_07,1.0
,mask_85b84477d6b21991,0111100011001,7,2,4,1,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_07,0.0
,mask_88feb37e4997bcb0,1011100111000,7,2,5,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_07,2.0
,mask_392b59cd4fb2c2ba,0101110111100,8,1,7,0,candidate,candidate_pool_01,1.0,broad,n_heads_08,0.0
,mask_625dbe9e05728352,1001111010101,8,1,6,1,candidate,candidate_pool_01,1.0,broad,n_heads_08,1.0
,mask_69b8a0bd055bae3b,1110101110001,8,3,4,1,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_08,1.0
,mask_c321548a0a9a35ee,1010101001111,8,2,4,2,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_08,0.0
,mask_06701c9de64728ed,0101101101111,9,1,6,2,candidate,candidate_pool_01,1.0,broad,n_heads_09,1.0
,mask_42c60001461509c6,0010111111011,9,1,6,2,candidate,candidate_pool_01,1.0,broad,n_heads_09,0.0
,mask_4d3f046ece5f8214,1011111101100,9,2,7,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_09,0.0
,mask_c6f04107d7ae9b56,1111110110100,9,3,6,0,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_09,1.0
,mask_8f32af7db1011793,0101111111011,10,1,7,2,candidate,candidate_pool_01,1.0,broad,n_heads_10,0.0
,mask_b0df0f5b22e4ad68,1000111111111,10,1,7,2,candidate,candidate_pool_01,1.0,broad,n_heads_10,1.0
,mask_0279c47242fa6dc7,0111111101011,10,2,6,2,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_10,1.0
,mask_3cd97f4a74d408b8,1111111100101,10,3,6,1,candidate,candidate_pool_01,1.0,primary_heavy,n_heads_10,0.0
,mask_b33d0e102bf3c5b1,0000101000110,4,0,3,1,candidate,candidate_pool_02,2.0,broad,n_heads_04,0.0
,mask_d413f8231adbea75,0010000101001,4,1,2,1,candidate,candidate_pool_02,2.0,broad,n_heads_04,1.0
,mask_4069015a4c8c7628,1010000001100,4,2,2,0,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_04,0.0
,mask_c7772d470875866f,1100000110000,4,2,2,0,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_04,1.0
,mask_4e88ec3f5ad705c7,0100111000010,5,1,3,1,candidate,candidate_pool_02,2.0,broad,n_heads_05,0.0
,mask_ec49c3298816f83b,0001100100110,5,0,4,1,candidate,candidate_pool_02,2.0,broad,n_heads_05,1.0
,mask_3c9ed4cc352cbb27,1101001100000,5,2,3,0,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_05,0.0
,mask_a0046e43df20ac57,1011000000110,5,2,2,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_05,1.0
,mask_68aec8aa3f42d376,0011010110010,6,1,4,1,candidate,candidate_pool_02,2.0,broad,n_heads_06,2.0
,mask_7f3e113298d36180,1000110011001,6,1,4,1,candidate,candidate_pool_02,2.0,broad,n_heads_06,0.0
,mask_dee58ca790a88f95,1000011001011,6,1,3,2,candidate,candidate_pool_02,2.0,broad,n_heads_06,1.0
,mask_053a16108482e172,1010010110010,6,2,3,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_06,2.0
,mask_318be3c54bb72e0d,1100100100101,6,2,3,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_06,0.0
,mask_d2f4c8c3a0e382c0,1110010010010,6,3,2,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_06,1.0
,mask_857c4bc2555caab0,0100011111001,7,1,5,1,candidate,candidate_pool_02,2.0,broad,n_heads_07,0.0
,mask_90268cfdee9c04e6,1000110101110,7,1,5,1,candidate,candidate_pool_02,2.0,broad,n_heads_07,2.0
,mask_ae1e1d44660adb6e,0101101100110,7,1,5,1,candidate,candidate_pool_02,2.0,broad,n_heads_07,1.0
,mask_6a56eb1c10f15cf8,1110110010010,7,3,3,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_07,0.0
,mask_ab59149b00e47e01,1110110010001,7,3,3,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_07,1.0
,mask_c36034d7c9cf0b25,1110000101101,7,3,3,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_07,2.0
,mask_20c5557cea9da719,1001111000111,8,1,5,2,candidate,candidate_pool_02,2.0,broad,n_heads_08,0.0
,mask_d93f53a48a81e992,1001111001011,8,1,5,2,candidate,candidate_pool_02,2.0,broad,n_heads_08,1.0
,mask_0adfe596cdffa062,1101011010011,8,2,4,2,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_08,1.0
,mask_267196af5474f7ae,1110111011000,8,3,5,0,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_08,0.0
,mask_b1fa83aa43509c12,0101111001111,9,1,6,2,candidate,candidate_pool_02,2.0,broad,n_heads_09,1.0
,mask_e6f352bcc8504201,0101110111011,9,1,6,2,candidate,candidate_pool_02,2.0,broad,n_heads_09,0.0
,mask_71b87a0bd7ca6ee1,0110111010111,9,2,5,2,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_09,1.0
,mask_8539d49577e1ed9d,1111101110010,9,3,5,1,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_09,0.0
,mask_1d9e3422b50673a4,0011111111101,10,1,8,1,candidate,candidate_pool_02,2.0,broad,n_heads_10,0.0
,mask_d0336d7c13e3ff56,0011111110111,10,1,7,2,candidate,candidate_pool_02,2.0,broad,n_heads_10,1.0
,mask_2c9efa6ba7e1581f,1110111001111,10,3,5,2,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_10,0.0
,mask_d9a88a957c928602,0111101101111,10,2,6,2,candidate,candidate_pool_02,2.0,primary_heavy,n_heads_10,1.0
,mask_a702edc60d5a8139,0000001010101,4,0,3,1,candidate,candidate_pool_03,3.0,broad,n_heads_04,0.0
,mask_b0a4335ce26e22f0,0101110000000,4,1,3,0,candidate,candidate_pool_03,3.0,broad,n_heads_04,1.0
,mask_438eb8e7551c3dd4,0111010000000,4,2,2,0,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_04,1.0
,mask_48512872c4f2d5bd,0111000000001,4,2,1,1,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_04,0.0
,mask_aedb2c503c8eced2,0001100110100,5,0,5,0,candidate,candidate_pool_03,3.0,broad,n_heads_05,1.0
,mask_b44b28fb22bc4dc8,0001110000101,5,0,4,1,candidate,candidate_pool_03,3.0,broad,n_heads_05,0.0
,mask_5b90a18db67578c0,1011000010001,5,2,2,1,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_05,0.0
,mask_9adcd6a8e2d813f5,1101100000001,5,2,2,1,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_05,1.0
,mask_25fa34fa11b9dfa9,0101001011001,6,1,4,1,candidate,candidate_pool_03,3.0,broad,n_heads_06,2.0
,mask_7a2a9f846e50a9dd,0101000111001,6,1,4,1,candidate,candidate_pool_03,3.0,broad,n_heads_06,1.0
,mask_908579f4d41ade60,0011100001110,6,1,4,1,candidate,candidate_pool_03,3.0,broad,n_heads_06,0.0
,mask_4887f05639551759,0110101101000,6,2,4,0,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_06,2.0
,mask_a1eb01e7a7c4e9be,1101000100110,6,2,3,1,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_06,0.0
,mask_dc2e11f8d6ea9e67,1100111010000,6,2,4,0,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_06,1.0
,mask_dc6c2cd7cadbb670,0100111011100,7,1,6,0,candidate,candidate_pool_03,3.0,broad,n_heads_07,2.0
,mask_ee8067c85af66520,0011001001111,7,1,4,2,candidate,candidate_pool_03,3.0,broad,n_heads_07,0.0
,mask_f5ffaba1b0f7246e,0011010110110,7,1,5,1,candidate,candidate_pool_03,3.0,broad,n_heads_07,1.0
,mask_0f1c886d2bd569f0,1010010111100,7,2,5,0,candidate,candidate_pool_03,3.0,primary_heavy,n_heads_07,1.0
