prompt_id,split,template_id,structure,io_name,s_name,prompt,answer,counterfactual_answer,answer_token_id,counterfactual_token_id
prompt_a0853a8100d55cce,reference,abba_office,ABBA,Ryan,Susan,"While Ryan and Susan worked in the office, Susan passed a blue folder to",Ryan,Susan,6047,14919
prompt_a4be66e1abb8d8ca,reference,abba_office,ABBA,Susan,Patricia,"While Susan and Patricia worked in the office, Patricia passed a blue folder to",Susan,Patricia,14919,30223
prompt_a713d8fcc26c643f,reference,abba_office,ABBA,Benjamin,Ryan,"While Benjamin and Ryan worked in the office, Ryan passed a blue folder to",Benjamin,Ryan,14533,6047
prompt_b144730f5c86c949,reference,abba_office,ABBA,Michelle,Patricia,"While Michelle and Patricia worked in the office, Patricia passed a blue folder to",Michelle,Patricia,16738,30223
prompt_b6dfcb813ca4f48a,reference,abba_office,ABBA,Donna,Anthony,"While Donna and Anthony worked in the office, Anthony passed a blue folder to",Donna,Anthony,29216,9953
prompt_b908d9d0a761d482,reference,abba_office,ABBA,Jason,Donna,"While Jason and Donna worked in the office, Donna passed a blue folder to",Jason,Donna,8982,29216
prompt_bb71b8a060c89217,reference,abba_office,ABBA,Ruth,Donna,"While Ruth and Donna worked in the office, Donna passed a blue folder to",Ruth,Donna,22132,29216
prompt_bbb15d1d930a3422,reference,abba_office,ABBA,Carol,Jason,"While Carol and Jason worked in the office, Jason passed a blue folder to",Carol,Jason,5074,8982
prompt_be1c9480150b381f,reference,abba_office,ABBA,Patricia,Ryan,"While Patricia and Ryan worked in the office, Ryan passed a blue folder to",Patricia,Ryan,30223,6047
prompt_c11d05058efbd470,reference,abba_office,ABBA,Anthony,Ruth,"While Anthony and Ruth worked in the office, Ruth passed a blue folder to",Anthony,Ruth,9953,22132
prompt_c4267f0b23544f67,reference,abba_office,ABBA,Michelle,Ryan,"While Michelle and Ryan worked in the office, Ryan passed a blue folder to",Michelle,Ryan,16738,6047
prompt_c8fd82969ec8111c,reference,abba_office,ABBA,Patricia,Anthony,"While Patricia and Anthony worked in the office, Anthony passed a blue folder to",Patricia,Anthony,30223,9953
prompt_cff99c0896df77ac,reference,abba_office,ABBA,Carol,Sandra,"While Carol and Sandra worked in the office, Sandra passed a blue folder to",Carol,Sandra,5074,32464
prompt_d22d80d4779121ca,reference,abba_office,ABBA,Amy,Susan,"While Amy and Susan worked in the office, Susan passed a blue folder to",Amy,Susan,14235,14919
prompt_d30c2637bb0b0afa,reference,abba_office,ABBA,Benjamin,Ruth,"While Benjamin and Ruth worked in the office, Ruth passed a blue folder to",Benjamin,Ruth,14533,22132
prompt_d316ee9bed87a646,reference,abba_office,ABBA,Susan,Sandra,"While Susan and Sandra worked in the office, Sandra passed a blue folder to",Susan,Sandra,14919,32464
prompt_e5ba3bd0025d99cb,reference,abba_office,ABBA,Sandra,Patricia,"While Sandra and Patricia worked in the office, Patricia passed a blue folder to",Sandra,Patricia,32464,30223
prompt_e5d7a2292fdc6c00,reference,abba_office,ABBA,Jason,Ruth,"While Jason and Ruth worked in the office, Ruth passed a blue folder to",Jason,Ruth,8982,22132
prompt_e8c89b156e5e589c,reference,abba_office,ABBA,Ryan,Jason,"While Ryan and Jason worked in the office, Jason passed a blue folder to",Ryan,Jason,6047,8982
prompt_ed244ada7b2540b6,reference,abba_office,ABBA,Ryan,Benjamin,"While Ryan and Benjamin worked in the office, Benjamin passed a blue folder to",Ryan,Benjamin,6047,14533
prompt_f1c298ae66405f07,reference,abba_office,ABBA,Jason,Frances,"While Jason and Frances worked in the office, Frances passed a blue folder to",Jason,Frances,8982,27025
prompt_f5d575253296a481,reference,abba_office,ABBA,Helen,Amy,"While Helen and Amy worked in the office, Amy passed a blue folder to",Helen,Amy,22695,14235
prompt_fa26897d6b1972f9,reference,abba_office,ABBA,Anthony,Susan,"While Anthony and Susan worked in the office, Susan passed a blue folder to",Anthony,Susan,9953,14919
prompt_fd73311396d12416,reference,abba_office,ABBA,Nancy,Jason,"While Nancy and Jason worked in the office, Jason passed a blue folder to",Nancy,Jason,18496,8982
prompt_fe9931162bbbfd17,reference,abba_office,ABBA,Patricia,Ruth,"While Patricia and Ruth worked in the office, Ruth passed a blue folder to",Patricia,Ruth,30223,22132
prompt_0521ccb1e9a47682,reference,abba_park,ABBA,Patricia,Helen,"After Patricia and Helen visited the park, Helen handed a folded map to",Patricia,Helen,30223,22695
prompt_0f1ba4d7a35689fa,reference,abba_park,ABBA,Pamela,Carol,"After Pamela and Carol visited the park, Carol handed a folded map to",Pamela,Carol,43341,5074
prompt_0f2b3bff2ad716cf,reference,abba_park,ABBA,Patricia,Sandra,"After Patricia and Sandra visited the park, Sandra handed a folded map to",Patricia,Sandra,30223,32464
prompt_0fae608419574fa0,reference,abba_park,ABBA,Benjamin,Carol,"After Benjamin and Carol visited the park, Carol handed a folded map to",Benjamin,Carol,14533,5074
prompt_184d17c6c51fcc8f,reference,abba_park,ABBA,Ryan,Michelle,"After Ryan and Michelle visited the park, Michelle handed a folded map to",Ryan,Michelle,6047,16738
prompt_18e1f589ceaa95dd,reference,abba_park,ABBA,Patricia,Carol,"After Patricia and Carol visited the park, Carol handed a folded map to",Patricia,Carol,30223,5074
prompt_1954d77229f2452c,reference,abba_park,ABBA,Carol,Benjamin,"After Carol and Benjamin visited the park, Benjamin handed a folded map to",Carol,Benjamin,5074,14533
prompt_1a824952230f02b9,reference,abba_park,ABBA,Helen,Anthony,"After Helen and Anthony visited the park, Anthony handed a folded map to",Helen,Anthony,22695,9953
prompt_2009629a5c43fe66,reference,abba_park,ABBA,Donna,Benjamin,"After Donna and Benjamin visited the park, Benjamin handed a folded map to",Donna,Benjamin,29216,14533
prompt_230fe556e05d61e7,reference,abba_park,ABBA,Amy,Pamela,"After Amy and Pamela visited the park, Pamela handed a folded map to",Amy,Pamela,14235,43341
prompt_255539b4d84e3664,reference,abba_park,ABBA,Donna,Pamela,"After Donna and Pamela visited the park, Pamela handed a folded map to",Donna,Pamela,29216,43341
prompt_27f28e726f86c24b,reference,abba_park,ABBA,Ryan,Frances,"After Ryan and Frances visited the park, Frances handed a folded map to",Ryan,Frances,6047,27025
prompt_2a225c0850a06d46,reference,abba_park,ABBA,Ryan,Donna,"After Ryan and Donna visited the park, Donna handed a folded map to",Ryan,Donna,6047,29216
prompt_2a6622828b6fe761,reference,abba_park,ABBA,Helen,Frances,"After Helen and Frances visited the park, Frances handed a folded map to",Helen,Frances,22695,27025
prompt_332a1162056fc9e6,reference,abba_park,ABBA,Nancy,Jason,"After Nancy and Jason visited the park, Jason handed a folded map to",Nancy,Jason,18496,8982
prompt_380bd438b6186af7,reference,abba_park,ABBA,Ruth,Nancy,"After Ruth and Nancy visited the park, Nancy handed a folded map to",Ruth,Nancy,22132,18496
prompt_3bddd6dfc055178e,reference,abba_park,ABBA,Nancy,Patricia,"After Nancy and Patricia visited the park, Patricia handed a folded map to",Nancy,Patricia,18496,30223
prompt_3da015403dbe97a3,reference,abba_park,ABBA,Donna,Helen,"After Donna and Helen visited the park, Helen handed a folded map to",Donna,Helen,29216,22695
prompt_3f92f623b0f8aac2,reference,abba_park,ABBA,Benjamin,Donna,"After Benjamin and Donna visited the park, Donna handed a folded map to",Benjamin,Donna,14533,29216
prompt_46951dae7ed2ed96,reference,abba_park,ABBA,Jason,Carol,"After Jason and Carol visited the park, Carol handed a folded map to",Jason,Carol,8982,5074
prompt_47c8e148808e697b,reference,abba_park,ABBA,Michelle,Frances,"After Michelle and Frances visited the park, Frances handed a folded map to",Michelle,Frances,16738,27025
prompt_48c795f19c74cde3,reference,abba_park,ABBA,Susan,Michelle,"After Susan and Michelle visited the park, Michelle handed a folded map to",Susan,Michelle,14919,16738
prompt_529892f98335208d,reference,abba_park,ABBA,Jason,Benjamin,"After Jason and Benjamin visited the park, Benjamin handed a folded map to",Jason,Benjamin,8982,14533
prompt_57a8b543c280b044,reference,abba_park,ABBA,Anthony,Patricia,"After Anthony and Patricia visited the park, Patricia handed a folded map to",Anthony,Patricia,9953,30223
prompt_5c174788d07b2ad5,reference,abba_park,ABBA,Pamela,Nancy,"After Pamela and Nancy visited the park, Nancy handed a folded map to",Pamela,Nancy,43341,18496
prompt_5d89f4387fe70c7f,reference,abba_park,ABBA,Jason,Sandra,"After Jason and Sandra visited the park, Sandra handed a folded map to",Jason,Sandra,8982,32464
prompt_62f54bb276367ca1,reference,abba_park,ABBA,Amy,Nancy,"After Amy and Nancy visited the park, Nancy handed a folded map to",Amy,Nancy,14235,18496
prompt_6d98901b1890cf40,reference,abba_park,ABBA,Donna,Amy,"After Donna and Amy visited the park, Amy handed a folded map to",Donna,Amy,29216,14235
prompt_6da002ea69fad8e5,reference,abba_park,ABBA,Ryan,Jason,"After Ryan and Jason visited the park, Jason handed a folded map to",Ryan,Jason,6047,8982
prompt_6f6d2143a319f8f3,reference,abba_park,ABBA,Pamela,Donna,"After Pamela and Donna visited the park, Donna handed a folded map to",Pamela,Donna,43341,29216
prompt_72f78b8e9547db6f,reference,abba_park,ABBA,Anthony,Carol,"After Anthony and Carol visited the park, Carol handed a folded map to",Anthony,Carol,9953,5074
prompt_75731f459df85eef,reference,abba_park,ABBA,Carol,Patricia,"After Carol and Patricia visited the park, Patricia handed a folded map to",Carol,Patricia,5074,30223
prompt_79ef0b47409ac1f5,reference,abba_park,ABBA,Benjamin,Amy,"After Benjamin and Amy visited the park, Amy handed a folded map to",Benjamin,Amy,14533,14235
prompt_838a265161798e6f,reference,abba_park,ABBA,Sandra,Pamela,"After Sandra and Pamela visited the park, Pamela handed a folded map to",Sandra,Pamela,32464,43341
prompt_8714df8ac6cf6674,reference,abba_park,ABBA,Sandra,Frances,"After Sandra and Frances visited the park, Frances handed a folded map to",Sandra,Frances,32464,27025
prompt_94a7bc846241d42f,reference,abba_park,ABBA,Pamela,Helen,"After Pamela and Helen visited the park, Helen handed a folded map to",Pamela,Helen,43341,22695
prompt_951c6ceb9219d793,reference,abba_park,ABBA,Nancy,Sandra,"After Nancy and Sandra visited the park, Sandra handed a folded map to",Nancy,Sandra,18496,32464
prompt_96e435eac1688d0f,reference,abba_park,ABBA,Sandra,Amy,"After Sandra and Amy visited the park, Amy handed a folded map to",Sandra,Amy,32464,14235
prompt_98c9c57ad1d278dc,reference,abba_park,ABBA,Benjamin,Ryan,"After Benjamin and Ryan visited the park, Ryan handed a folded map to",Benjamin,Ryan,14533,6047
prompt_991e5f89fb18d03c,reference,abba_park,ABBA,Susan,Ruth,"After Susan and Ruth visited the park, Ruth handed a folded map to",Susan,Ruth,14919,22132
prompt_9a04218af374e531,reference,abba_park,ABBA,Susan,Nancy,"After Susan and Nancy visited the park, Nancy handed a folded map to",Susan,Nancy,14919,18496
