prompt_id,bank,family_id,selection_rank_within_cell,selection_sha256
qseq_4499d2fd1f6ef4c3,reference,length_32_gap_16,11,3502bdcddedaf7d4e5b6df06eb2ceb5aa4f9662a112099c3643d8715a9eb6e16
qseq_bf285f5d2669e5de,reference,length_32_gap_16,12,41cd0a60d3a5880278e0c3a0d6dfac13e092a5086acf379847200483f122ce47
qseq_79e8d3e19c129682,reference,length_32_gap_16,13,44949e5a08e3d2b0c7dbbf5fcaf8ae17dc0c83e8a5ee9336c4a8760030f1334d
qseq_d724254ba3e69e76,reference,length_32_gap_16,14,46f2766bd44c1f7303818bcaf6ae516e69f7fdc40e679127a2be3e1dc209124a
qseq_f609ed638186c494,reference,length_32_gap_16,15,4f170c02269cbb349159ad7e4ca4255956773a507d004dafd69790aa14a5069d
qseq_1ddc0b729f8a4733,reference,length_32_gap_16,16,550a1b8dcaef20a98129cde0250bb02b62075ad628873c76aa0ff74ec3f16cde
qseq_c5cd91c6dc32dedc,reference,length_32_gap_16,17,5754f94cd32905f42c5d639252e8ac08517e8d9320717c9c5c3d8def6fb9be8a
qseq_a240d4f6739b8be8,reference,length_32_gap_16,18,5ef2719967f727a840b16623e70fb7c2ad7702278b9f8eaf285beb986406fb94
qseq_50891c4fef517f64,reference,length_32_gap_16,19,5f8fa8e307bda17f68b1c8d0850a18bc2a8748c3841ed55ac105467a8aca7b1e
qseq_38eddfdb8da749f5,reference,length_32_gap_16,20,61b7e4f9eae8440aa7a292e655b597250cec75bf68aa75464d03050e5027b04c
qseq_230f2c847e1451d9,reference,length_32_gap_16,21,6462ab99598a4d9ee21ef5e9bd8c1b6ac11434289ea71511d5995ea23d544e56
qseq_288da7bfe0f4ed6d,reference,length_32_gap_16,22,718d53eee474a8a6122bc69a8c1ed1502f9e117568b86d4fedf6acf8a01aef5e
qseq_ea22065eb9e64224,reference,length_32_gap_16,23,7499f85c41599b0a383d8f7711d5e6c0979a03c36e8d52ddeb1143dbbef7d009
qseq_fa40cc0236f2a328,reference,length_32_gap_16,24,801fc8a2a8064508f67ccad0998568e9a1db65580fe0a03f9ffc3f36a3b4dfc1
qseq_f7496eb58edf7cd7,reference,length_32_gap_16,25,828f37d183ef05a40357a18d4aa288361c4f98e2feb3b7c4e454e38e36c7592e
qseq_0c97510b913ce0d3,reference,length_32_gap_16,26,83fdc248dd7dbad798b22d42d24d781c9c25bf633d24f9ac1878f41f5d2648df
qseq_fb92bca47980139c,reference,length_32_gap_16,27,85c62a173e95a19bd760ee5bb6534f77695b374754edcd4f47af8337e468369a
qseq_aeb3a635c78a59f8,reference,length_32_gap_16,28,9005325d415609435eee83cb15807ec56af87a32959d125c5333fa45ebd0f824
qseq_04dc3aad78b9533a,reference,length_32_gap_16,29,93e99c3fe5a3027e5f946f657abf3a42e03ffc9786e888f7b95c1e840b554405
qseq_b06f6397e23a619d,reference,length_32_gap_16,30,93fcd676e608d6424c40b22f32e7c6a81e63bf98b15b852c2849d18887b076de
qseq_49379330daa373d0,reference,length_32_gap_16,31,9fc5bf911ac938832103d77f0ee29a98e05952ef3c79c14e276144f0dfe32f35
qseq_c0f34c9efd0fb93c,reference,length_32_gap_16,32,a22a53eff1fd93ec2c4671bfc9d8e81ae135b836686b701ec519aad15e665dcd
qseq_9cf91c7df5403072,reference,length_64_gap_8,1,0340b9878224b7f59c274d90dcc54beadc8d8431785d1845c992aaf0403c895b
qseq_57bc392cd8f8eeb2,reference,length_64_gap_8,2,0741f7844787e51d1003ac843bf554c917dbadf48694c37ce23c53d677e55276
qseq_89b84c854060feda,reference,length_64_gap_8,3,0aafb45d9cf11af91f8386af36d5bab02af5873e76c385fcc647d5d16661376b
qseq_df851a6a8edb076e,reference,length_64_gap_8,4,346af6fbd5a435a6d23ba5fd15a400cfaa1b1585e5d0175296d7ecb2ddc181ec
qseq_89c4abbe77b3947a,reference,length_64_gap_8,5,37da649627f7da2484a4486414a3691d0e6bdc88d9313e3b2941571371853925
qseq_79753948d175d1f1,reference,length_64_gap_8,6,38f0fe1085d746e176d7d346fd8baec2ef36b2d0364b3e20a50d1c82add22fdc
qseq_f7760cb5550ebb57,reference,length_64_gap_8,7,406d35991d8eb08c32057e0f90ab831ad7437ab57fcea369a5aa3a38aa1dedee
qseq_973922b0ab1aab94,reference,length_64_gap_8,8,41ecd4d457feeebd1d5852688192172b174b97b860c2856fca11444eb824e23f
qseq_54f3595d3c46f78c,reference,length_64_gap_8,9,452393f7ba40d0c973aca27f2bd638abbeafc7f53ec24d7d513a51294fb2a5a4
qseq_8a3c2b71452177cb,reference,length_64_gap_8,10,4e792ad746677a08ebdc08856b403ea5363d1c06e69287894107cafdb8cb50bd
qseq_faaaa895698d45b2,reference,length_64_gap_8,11,50d24b507f421f49f467942671e80653d857ceef0a3ed3bd4946ae9a2f09b7ae
qseq_62dbb0162df06ac7,reference,length_64_gap_8,12,50f7b8fcfd70772eeca2dce980ccdc258ce64e67a6b3fec74cf13bd8c690761d
qseq_7f43477fabaa2e45,reference,length_64_gap_8,13,55a260dac876ee636af3708834967267dd2eb59c76b2f30171ea93baabd60ba3
qseq_d94b68896b11bd04,reference,length_64_gap_8,14,6385f25737562eee17c09379f0a38b32dffa6334f681f5d5cbad90b93d0c2f6a
qseq_f8ae93672dffbc2a,reference,length_64_gap_8,15,679fd215b8b9f0190d6d1b5032dda84797b82b78e4ac79a391eda98f8dd451f6
qseq_188c5a79715e9247,reference,length_64_gap_8,16,694b4f7e2914d78e67d0b81840088f1dee4cb526d96e7863e0471d0157d2bff3
qseq_7af1d2db214c655d,reference,length_64_gap_8,17,6f78751092e19a1746671f28deb3a000a0495e3baabc80e07c8f66769474eb0c
qseq_89813d52f40fee82,reference,length_64_gap_8,18,7095ee41b80cbbe5653a09bad8d0e80bdf067465e4ee13b23e687a351ed9dba6
qseq_09ffb64433201cbd,reference,length_64_gap_8,19,722983fd054ad7567c2b3c73de43ab755686a8ad473934a874fede0c2cace746
qseq_76d5fa2de391830c,reference,length_64_gap_8,20,735fcc6138bb5702fd13531bb041fb75baa308f4633f3a9c62d28be1d2bac2ab
qseq_b57e34665e3140e3,reference,length_64_gap_8,21,755639dcd697f3c38bfaf219828e2edb3d7c9a63763dbe86d9f6b25aeccabfcc
qseq_5dd6895a3653a841,reference,length_64_gap_8,22,77d0f5d3ca1e07ef5e265531b84a33cb50e2d5faa7a3297524d7f7bbaa8aceb2
qseq_087ca1d6e771ee9b,reference,length_64_gap_8,23,7f0bf1c020dd158b811de32148ba0b04611d9e9e1b26a94631445d847600ba0c
qseq_1e03ac900e787c6c,reference,length_64_gap_8,24,813d4e2982fd447183c834233b6d4bc558aaebaef6a6d59bb7afdec774975c65
qseq_ed58a0a36995b486,reference,length_64_gap_8,25,856498b490b7e089e5280c7859f14520ac5f542fb0f1b1e482d20a89c240d5bf
qseq_63a40d188d3efa74,reference,length_64_gap_8,26,98c68833b2eec4861d8bb6763e6cd1d661d06303092521300f8cdd2df4ce46db
qseq_f0cd4c69bb760b69,reference,length_64_gap_8,27,9920cffb90557f000af5874ec3298dfac9121124b2833b655fa45592ce58931b
qseq_a51d7c0b2edddfea,reference,length_64_gap_8,28,9ca29089bb0197ce2485108b03b868902af85970904763d85f022eba6f371563
qseq_8ab451405f6fcde8,reference,length_64_gap_8,29,9ec87a3513f61f38d56e0c3ee0f8b27e736307207effbe78d8a449ecd1f4a2af
qseq_d78e0d998754d866,reference,length_64_gap_8,30,af69aa51e837cadd0618b84b502e3ae13ddee346f54aa7afef6aa98ca0ad3abe
qseq_34b6c6405c35b000,reference,length_64_gap_8,31,b010ce61ba63f2a8cd7510c24bcee0aaeb4a62fb285a6c83cd16b5a2edaa2faf
qseq_d39d9b258d40e54d,reference,length_64_gap_8,32,bbae712a18970615c54f4b39986898f48fc4f318d2303fa10175452b65c82e1d
qseq_c94f90844b180e60,reference,length_64_gap_16,1,01685fe161a934a44f7aa5170fd8673eeeb45d027285919d2eec13aba587b09c
qseq_a7d7fd3d3b6e760b,reference,length_64_gap_16,2,041e0831ae7c94f4bc30a52d8daf358618b90af39904d6547b5bf8c996cc3dc5
qseq_3f399b84a1ef1ee6,reference,length_64_gap_16,3,085b9cd14168db899d747774c93968b3143b028dc783f2c529d1c717affc3f3a
qseq_3120bc4df29f8b31,reference,length_64_gap_16,4,0a15b882c6da730ffe0dbee9663a3eff5ad05cace16392b02c9b55a8ff6b434e
qseq_0e99a75b8d4885c3,reference,length_64_gap_16,5,0ef9ffb300963f227e281a982146bd52b70165002b8ee3bab6015c2e8717ef97
qseq_2ae1dc00a6338e84,reference,length_64_gap_16,6,10921a8990c09bab57d3c15f4be1348f78470219abe2a9b82ad19a10350bf50d
qseq_70847dfb18b0368a,reference,length_64_gap_16,7,13dc4572e2c853fdc3643431bc436a301d2754f69388d583e9334e18485428fb
qseq_75e55ff690cd347d,reference,length_64_gap_16,8,1cb3b237973819149126d8cff63307df62d54733ba1f407d2a3ec400baf63601
qseq_f16ad1c98e79cb84,reference,length_64_gap_16,9,1efbd67da373d3fb70a918c26d52f461c3c24e39d57f49a68d891282e9327067
qseq_54374195497a2f5c,reference,length_64_gap_16,10,2bb9215ed8479ba9c8deb0fb1cabb1fcefe3d1905c414c76848b95427dd0c5ed
qseq_4e7f2988101d21e2,reference,length_64_gap_16,11,30eca29724ba50475e5c8a742b8da56432a7babfc0c9d9ec6c5e89f5fda71a9b
qseq_a08fbbcbc885546c,reference,length_64_gap_16,12,3cc54398036ec09635ced8d8a304185a3f2588dda451a7739ca757b87198d504
qseq_e4a24a0bf27866fb,reference,length_64_gap_16,13,3e129dca6d469f8a09bc9d5d0a033ca2922c1cae2be414bd3c42862b9fff49d6
qseq_e5e86fd0bba31bd6,reference,length_64_gap_16,14,4a381199075746d5a57579d82074e7afdff57e176e70b6eae143692e8d494e8a
qseq_8cd25c35d4690563,reference,length_64_gap_16,15,59cc988cc8f89ac317168308bb45a898cac09b48e5b6fda11b0bf7d0e138470d
qseq_8d74972448ca212b,reference,length_64_gap_16,16,62af50eb73805c51bd4837a3144ebc3f8116cd8476fa21fcfb09d27456723ea6
qseq_f91261156bd48b87,reference,length_64_gap_16,17,657363402c817fb6bc347a958f84ad4bae07e0feafe7c4d04f8b894c50b878ed
qseq_72e6c03245cf8d5a,reference,length_64_gap_16,18,68f622ce6c0a558bafadd2690c3cb1c5fdcec52d900922f9b285335b44afd54a
qseq_0ee5f5c5440d8dc9,reference,length_64_gap_16,19,6ab3867d61298c39972daf862c60967087e5ae4f57fe518deeb5794b43c576a2
qseq_f1308158a10fad02,reference,length_64_gap_16,20,6cbb1e2f87d46840b06ab455464dff9487b425d8b057eefd98b078f3a7fbbf2b
qseq_e5300e901e0da514,reference,length_64_gap_16,21,6e262a3055e7a8085d9f5c15246f1d7b861d1263efb09e0976a63b1630c72495
qseq_d565e5250fd29fe1,reference,length_64_gap_16,22,723acc92f5d49a83b5968f43db1255216bd2576d2976f418188b33ed8c5f1e05
qseq_74bd97941fa6cf60,reference,length_64_gap_16,23,781c3d9d76276ced4aca132656312ceeda0d1019a790c0de823e827c790c4fe6
qseq_fdf827389b7be482,reference,length_64_gap_16,24,798aea52e408cc890e78b3de8de7da2cecc9188d45b3ee9af771a017ba6b3c62
qseq_bd13bb963b55bbfb,reference,length_64_gap_16,25,7f4d8ed2b0b886fb9a062ea8ee0c82e440ddc8a6391f13cb8c14ab34c40474e4
qseq_02870c0794aeb993,reference,length_64_gap_16,26,80cab9ee59e778166aef2a54ab34ecb2f346ce90e82de1ae3f3aae60282f335f
qseq_77f74229f8d9d119,reference,length_64_gap_16,27,820c3160d7c88c829bff0c8fe37b9682f8407785c48a42282a4fdb30c892d295
qseq_afd4d68a74f4079d,reference,length_64_gap_16,28,86a9201e512e0047546460c5b6eb2f4c9259130ce4307248150a396c35a621bb
qseq_39555db551a55abf,reference,length_64_gap_16,29,8f1e192cd3f447b1e2257abbb1952f6c08c7b6c2c6d95971246657cda905cd43
qseq_0f72727a1eb90689,reference,length_64_gap_16,30,93f666d48346ae5fd2397dfebb5f6b6761bc9071a36bddd359099cf5fa053595
qseq_6e13103b96226f37,reference,length_64_gap_16,31,98c03d77b0533e74b7cf5b1d026687e1a1e870d29396abc7db38f3498cae80a1
qseq_e161ed639c4d600e,reference,length_64_gap_16,32,996f74e9195d9f869180bb0971609768d7ac5175081ac66acea04bee2d3d41d6
qseq_e5e6f337cce815f7,discovery,length_32_gap_8,1,0550265c490cb8409317a0ffabb562ad925964c1561048620702c0e2f6997e1e
qseq_fcfb46114029a636,discovery,length_32_gap_8,2,07b32655d27b786947962bad574fa8fadb51d3aa84ecf89076182899a2d8e655
qseq_f43a6bb644cccb59,discovery,length_32_gap_8,3,178714f7e79141deafeb993a9dc6889723b1426cf6954d96f0149c41d3729326
qseq_0330fe00e0c178e5,discovery,length_32_gap_8,4,1e96c7e15d4360babad2c785eb9c68b0aaf2e8294596f5617a576678bde45dfe
qseq_8d1a9c025cf49eb2,discovery,length_32_gap_8,5,2176041a6378d912b2881ae95586f417996a2c203523172e4b59c98d5a8e0dbb
qseq_4c44f581433f918d,discovery,length_32_gap_8,6,2cb2cb3bc11d1d2a260ceacca3b2dbaa642360e3c7e241e6f3b6895b48863031
qseq_5567d1bf104bc3ff,discovery,length_32_gap_8,7,325981095cdc3910b14e58f805686a39ce96b3af0d44e45c7e00e017333b9a13
qseq_cd507d0698d82174,discovery,length_32_gap_8,8,332ae3375fa96b421d38d6143873c2b0bcc48ba180910a95ba8b2cfecf576e40
qseq_1c49714972f76fe8,discovery,length_32_gap_8,9,3789ebb2f7e860b3e3542b7594f1c06924f28fe3fc0bda7efd9be73f010f90ba
qseq_0733d9be86bc0d85,discovery,length_32_gap_8,10,37e6c5b000209638e1f342a8ced7c8c2f9b9428a7a4b3846f762222baddbfc60
qseq_b16a5865702c4fd6,discovery,length_32_gap_8,11,38a03a73bb524ba3d78c481b38337e499d079cca9b10db154e5346c6672123a7
qseq_46b3fc29e791607b,discovery,length_32_gap_8,12,3906b2ef0ba6ae74cb4d615739f57dd5d2d294b298635db94b1101c25936df92
qseq_0998d692fe6e8948,discovery,length_32_gap_8,13,398165975138eb67a82e941c76bcbad356f65cd71b53804f39a7aa854b49eab6
qseq_1815f46a12ea3914,discovery,length_32_gap_8,14,3ea8188cb5fd7b8b97633361dec849f94f45009da637a09fc56426f527b1fa06
qseq_eaa9483b26e592f0,discovery,length_32_gap_8,15,3f9ee1b42c7e2dab4ebde1ef7370c947d3b4741f0454e7d9656286991e63517a
qseq_f014eb90c4a5f681,discovery,length_32_gap_8,16,40da55e1c66b35b5264eba5f65542c42a54158e12ec5382c57ea3750bc37ce9e
qseq_0a7e2dacb4c2d7b1,discovery,length_32_gap_8,17,4603beb28da68e0ab40894da445b1c94a0be9f531b295841470e9563414b8bd2
qseq_7fb118e07c10add4,discovery,length_32_gap_8,18,50fa2ab201fd45bf40106c7606ccd14fd969c2400e1bad2abf9681a8a64463d1
qseq_0645bf905553893a,discovery,length_32_gap_8,19,53a12848242f3154f0b658aabf7fe014148fe30f9344663a147860cacee7e6fa
qseq_c73b0ed761e41736,discovery,length_32_gap_8,20,5489c5220385f80461ebbd36aecffca43250a307466dad2efbb688a26ea95a33
qseq_1564947e581896de,discovery,length_32_gap_8,21,5d5af82ca2770a761e914fd752e045db0ccb612e80d8572fbfafc99c4186de26
qseq_324cc10ac5bbb357,discovery,length_32_gap_8,22,5ea3fbd3a5b790b04052004d064c1714049116f395a7c36098645bff35f3e470
qseq_4ad9db784f26993d,discovery,length_32_gap_8,23,6be020595647621934da26c00ff19540f2bcbd5bd674a9a97b3747dc6961a386
qseq_86157664d37ab17b,discovery,length_32_gap_8,24,7513746fe3000a18068f9aa60e625149e83e3870bb22705d6309cbdf4b41c91e
qseq_b530bc3036f5c320,discovery,length_32_gap_8,25,7537fdad3685a4d0f04f27213a87886a11c843315d66067f66a5d6d98f63221d
qseq_5c7f245b00f5178b,discovery,length_32_gap_8,26,86e7a8d4166fdafc6d06122d33d2137a4f7ec1b15a80389d8c60ad2642e66d41
qseq_a238cb1dff036d6f,discovery,length_32_gap_8,27,8cffb8d000dfb791969a8ad5a5fb74fb99ee57755e5a9c61d004a1bead68d382
qseq_c5a161d8292634f2,discovery,length_32_gap_8,28,9046981c916222850964f74dc5840359574d185f7611f0c60fe4e0766e9be20a
qseq_f66b6205a1b9a721,discovery,length_32_gap_8,29,914f1c31138804899e4d142f5d84457000e28b750c9bb28c62e79cc93dab8574
qseq_fbba0bc00cea36ac,discovery,length_32_gap_8,30,91709002a5dd30789e499c8bd7878a3270f864c304e0d1d228b70fd06cef9218
qseq_abae61f54686a756,discovery,length_32_gap_8,31,959f36d4f6a1fb020b2398a8f48d0b423c1bc0a8460fa3ae233e3afdde2fb2ef
qseq_f5e59c13a2034a59,discovery,length_32_gap_8,32,96454a315127bfe636af9a768ee2813039ffcaf6b9e22f1426521ef1f926cc0a
qseq_fa580676d11bab87,discovery,length_32_gap_16,1,025ea990bd51d6bd15ac81b7526ee62eb4604e8fba6c875c871451e37d498878
qseq_47369b5f2973a157,discovery,length_32_gap_16,2,0d7b58b6258d6b1f16c4abef022ce41d1fd2872d962bad97604e841d99f61308
qseq_92e7a5fcae7e835d,discovery,length_32_gap_16,3,0edc4f36855f85fb47209b855f205be8ae1969d7cdebe69a5669665759523e87
qseq_75a6d4a03efd3f02,discovery,length_32_gap_16,4,14dd084fc5206cc51a4467ea376cc02f3518a665a352dfcd7ed27e38bba609c2
qseq_247eb2621d1770c5,discovery,length_32_gap_16,5,19adba947a2d4922578cc0a688e832a0aa5c3bc927d64a19ae9510af6163aca7
qseq_6eec8980fc7cfd9a,discovery,length_32_gap_16,6,2280204095b5587de8dc17a23de439a03543fb3b919541db39722cc794878028
qseq_41665dccd7339885,discovery,length_32_gap_16,7,29df00bf589193937d59c95e0c993aeeab31a78601c7a1414d472a3fa44d11e5
qseq_cbe09d0597af3232,discovery,length_32_gap_16,8,2b24e4763544e4e3d31309a92bdcd4c7da5f845b75ae820da824437728d481ef
qseq_32c4803a1449a640,discovery,length_32_gap_16,9,2b2a3fef93a37e16e5f809851e7616140482934a4aa3c2214052051defd219a3
qseq_0cd39005eb0a4665,discovery,length_32_gap_16,10,3b7b95a92b8e89bb568ee2edcc5fc09d5f7e98bd603e6325b152b61a9627c97f
qseq_98d0e6b41dcca0ac,discovery,length_32_gap_16,11,3cd3824ef3fbf51b662d7693309545a3bb5fa40989aaaf93f96b0af02dbe7001
qseq_990ab221b58c59b3,discovery,length_32_gap_16,12,3f00edc3d48452832b9ce07b49e8dcae9f1d3b1dbc7c9c2068175a1ac7ff6b19
qseq_0d4777a632cd6dd5,discovery,length_32_gap_16,13,4291162b4a6827f0d555afa6c8920c76485d36cfbc796ec6633c94a256e56fcc
qseq_f03661014ca3328f,discovery,length_32_gap_16,14,43621b161d8ec8364699869be1c5e52c2ebe5390394443fda0044cc452632269
qseq_c810feb5c566c4e2,discovery,length_32_gap_16,15,4896f564a0400c8e64139bce508eaa108ed7134cb5af76f9e13b493c4f021339
qseq_af16c2098ccc3f6e,discovery,length_32_gap_16,16,4d4138a8d885d251721e1c788b89e9edec5d3f72edc083faad60ba43beb9c056
qseq_14dd76747856e661,discovery,length_32_gap_16,17,4e23a32255a9d604457bd5259fd9e93829939b13bb689646088ca1cbbf9ee795
qseq_61fe471f200ff0e2,discovery,length_32_gap_16,18,4ea156b0d0b30c27b30e799429bbb2db0e714925209d0a1af103fc060b382b71
qseq_4ebd5b0c8ff9eeec,discovery,length_32_gap_16,19,581f33a8f705231176541c11d224b703cd9137edec4a42cc1447479fc6c7efb2
qseq_96ff9ea0bd266bfc,discovery,length_32_gap_16,20,583d719bc5ff584d6ae2749b55dc02df11a8abd4827c20ebe1e8fba08c23a439
qseq_7f5a46c83fda9796,discovery,length_32_gap_16,21,584d4e8bdd0572cd9ac1602d4d89f99ee5cbbc10fd860323de2572afe7872f50
qseq_4a31f1c79d2d7104,discovery,length_32_gap_16,22,586b2f2632f6f1370789c0a83d1b4dc7906030f5f4e2cb23005d02bafb3d4c4b
qseq_02327ecde0142850,discovery,length_32_gap_16,23,60fc5752b823b28ba72e94f6e1e1a52c32f07da180fb5100ec716e9352f9db57
qseq_0d6e0d0fa04e391f,discovery,length_32_gap_16,24,616198f755c03464b28fdb3ade2a272a6401d164af1b283a99390096da964109
qseq_08d2031a89d8e782,discovery,length_32_gap_16,25,6699650aca968d3757baef6e870995ada132cf598c3296d886067195cfcdb941
qseq_19afcfc01943eb2d,discovery,length_32_gap_16,26,68f4e54e84a26801b0355c5c14995871c1705f830419728d136175a2c58e76d1
qseq_732eadfd5040cc5b,discovery,length_32_gap_16,27,6ede305ad95bf1354a258f78b65969c9f8c05424b05844292c6e330a6c1c74fa
qseq_d0dd013862c7f031,discovery,length_32_gap_16,28,704a3cf7e07baff9a1d94dff45f6e926b007a0fe9a656569bad4caddaaf6945a
qseq_4383e229f189ed95,discovery,length_32_gap_16,29,72b770396a4652996f24b7e1ab2f8cc57b7620d1734ec134e76218fd930ead35
qseq_c9057782d5898bb4,discovery,length_32_gap_16,30,7615381622847dbf1c886fade6248e647c69bd758f613554b2101a322c292b01
qseq_a6e58d238d1acb31,discovery,length_32_gap_16,31,7f68533789127d330a8dbcbcf02c0f278138ed9f882495cea79343fc7f39cd22
qseq_d7fb630ffba27065,discovery,length_32_gap_16,32,7ff9170d4c794b5d1e99e0ff3d3f63c2f27894931db1c9f9a5812fcf96fc4bd7
qseq_36233afc9d03f4fb,discovery,length_64_gap_8,1,03f21975eb4807e06e5cd2ef1031671160e64be9b094c91c5a960864c7dda639
