target_fraction,target,pool_id,query_id,mask_bits,n_heads,is_noop,actual_target_loss,n_test_prompts
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_849e90ce5ffd4bc1,00111010,4,false,0.929556266558393,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_84e1013c62ab0342,10110111,6,false,1.0383920776380364,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_92fdf63f6fed474e,00011001,3,false,0.8086501699281143,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_95b0a9234a9eee46,10101110,5,false,0.99357673082568,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_9a86a5949df1b42b,01001100,3,false,0.7402374803637031,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,00110110,4,false,0.6456308952074323,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_31a763e8bc0202e0,00101110,4,false,0.770101573141801,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_4f926e356a625a67,01111100,5,false,1.3422765611949217,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_7c849c67ebb1b4f9,10111111,7,false,1.437422730569324,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_8fc54aeb91caafc9,00111101,5,false,0.9756368710668539,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_af6d0dc69e3d9a78,00011110,4,false,0.8090025434207746,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_b996be105c0f3dda,10100110,4,false,0.7106461305847915,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_c76e2148877c5063,11010110,5,false,1.8374852105771424,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,qmask_e217ee83fae37141,11110010,5,false,1.8493777204748767,512
0.25,0.8634306868771091,qpool_0ffd30d33ad8dd0f,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_427363983d4a675f,11011110,6,false,2.36796199798664,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_55cbf5fefb67a9c9,10010100,3,false,0.6189391274342597,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_68ff8f889255b0e9,00001111,4,false,0.6382452418374669,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_8a9d405ad1968a90,11001000,3,false,1.5541969236551267,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_96b494b452b77f8e,01110100,4,false,0.9161125915088633,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_b02b2d5954d58371,01011000,3,false,0.98234252391876,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_bcbb878aab0fd0e6,10010101,4,false,0.6863674479095607,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,qmask_cb0a7c3a10da33f2,11001100,4,false,1.751050403114732,512
0.25,0.8634306868771091,qpool_169a31b6710ef111,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_330533bb35dfe50c,10001011,4,false,0.6993999890601117,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_7496171506cc1757,10011111,6,false,1.1947721594697214,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_81b5d6cd2a60bf37,11110101,6,false,2.0798760253428554,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_85812c22f52f55f2,10101111,6,false,1.0717756680542152,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_8ec53a11acfe0f00,11110110,6,false,2.0625931373674575,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_cbd8bcbf0db11c8c,00110010,3,false,0.6520122296101363,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_d474d772a2156911,10111001,5,false,1.2146018654730142,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,qmask_d49846da5aa54e5e,01001011,4,false,0.7723695901922838,512
0.25,0.8634306868771091,qpool_3bc403a0734a65bf,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_06e53efa12c0c89c,01010011,4,false,0.6966595657486323,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_5106913f39c2ea0e,01100101,4,false,0.771235539848476,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_58d4e1dd95e5c5b0,00111111,6,false,1.010033045120963,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_ac55e1313a50fb45,01101101,5,false,1.0751666681844654,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_b52a639547d6a0e9,10000111,4,false,0.5165819555331836,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_d3a70a2b122bfec6,10110100,4,false,0.8725454191044264,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_e28959d82dee3e38,10001110,4,false,0.7498358291040859,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,qmask_fe024629e8134fa2,11110111,7,false,2.1992855328549012,512
0.25,0.8634306868771091,qpool_4da0243bdf72a6cd,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_03e03e6bad3167c1,00110101,4,false,0.6652834937094667,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_22c3d94ed895c2d5,10010110,4,false,0.7032267540616886,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_581f449a19375ab8,00011100,3,false,0.7876833935538343,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_649dfffca1027d37,11101111,7,false,2.2243921696667712,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_88b9054a02247dd1,11000010,3,false,1.258837835153372,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_9cf9f1f53520f88b,01111010,5,false,1.317596987862089,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_af3070b33fa6727a,01000111,4,false,0.550823002787638,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,qmask_d9d8505932b1a835,11000100,3,false,1.3545848298836063,512
0.25,0.8634306868771091,qpool_59fb93108c625f9c,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_3b86e07f9bac3525,10001010,3,false,0.6412645477266778,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_494f47beb25cae41,11111001,6,false,2.3366889301923948,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_5febbac13cd7abee,00010110,3,false,0.5458939549689603,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_ba4de66f5ec66b86,01010110,4,false,0.7431988990788341,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_d79394fce5af8530,11011111,7,false,2.46964751784526,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_e003b3ec0121953b,11011001,5,false,2.128533561804943,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_f820e84b827bfd6b,10101101,5,false,0.9968311058164545,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,qmask_fa363a52954060a1,10110110,5,false,0.9588256832521438,512
0.25,0.8634306868771091,qpool_6c9ad557921d1966,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_14432725d56e8049,10011100,4,false,1.0297887798028569,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_323b67f1b27b5893,11111100,6,false,2.4205398902199704,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_39ecce4dbde1e7f4,11001001,4,false,1.693321051046496,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_527883050feb9009,11001011,5,false,1.7967676487992321,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_7f50455f5507bafe,10010011,4,false,0.6453025530045124,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_83013e5a4235b8ec,00010111,4,false,0.5418454929067593,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_a6bb6d75ba01c741,11010000,3,false,1.511000381636677,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,qmask_ddede699aac8de6a,11111010,6,false,2.3522012859120878,512
0.25,0.8634306868771091,qpool_70bc91001fd21361,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_4cc030241e0f1e44,01100010,3,false,0.6693930002375055,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_6d08de407943319e,11101101,6,false,2.1163715316183698,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_87c7efb1f0502cb1,01001101,4,false,0.8063807314770202,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_95e119f889d86d43,00111011,5,false,0.958911165394511,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_9a6bcdbfd54eac0e,10101001,4,false,0.889950460433738,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_aa927932235c699d,11011100,5,false,2.2210935039520336,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_ecfec3b493d7256a,01100110,4,false,0.7432607820574049,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,qmask_fac74048988e3cbb,01010001,3,false,0.6304445332484647,512
0.25,0.8634306868771091,qpool_7d29cbb2adc90870,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_3745eec79815ddf1,10011011,5,false,1.0618974315229934,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_58970516f324daa1,11011000,4,false,2.0195955354556645,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_5a3f155888c60ff4,10001001,3,false,0.6513362786531616,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_8a58e1cfc4f87182,11010001,4,false,1.65329182822461,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_9df5cd7b1d191d30,00001110,3,false,0.6347566248246039,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_a9284c314595341d,11001010,4,false,1.6608914286139225,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_c7c095a611af1783,00101100,3,false,0.7754829390132727,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,qmask_d350d740bff94567,00010011,3,false,0.5917039192750053,512
0.25,0.8634306868771091,qpool_a6ffe2b653ce5a24,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_0cd7ddfc8c2186ca,00110100,3,false,0.6473103861512755,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_17b31d3e8666d651,01011101,5,false,1.1572431309932654,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_1d6d1ddc1980f1fe,10111000,4,false,1.1485206410698083,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_424f9867dfadb061,10110000,3,false,0.7607992396956433,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_884363745844cf9e,10110011,5,false,0.9038906000387215,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_bad2b6dedfcd4ce3,11010101,5,false,1.8442570949387118,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_ddc0ed6fecc12d09,11011011,6,false,2.2644746623668652,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,qmask_fe9b859e1804ec08,00011010,3,false,0.7881748937816155,512
0.25,0.8634306868771091,qpool_bace2709926cfaee,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_07e4d5ad11974b66,01010100,3,false,0.6535507789430994,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_47a8b0e6e63f5071,10111110,6,false,1.371962049863214,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_75e6dad44fc41222,01100100,3,false,0.6955722288857942,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_b0e252c8a061a875,00110011,4,false,0.6632988001074409,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_e7b741d3e896dac1,01101010,4,false,0.9590263966888415,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_e8f30cbb6e37ce0d,10101011,5,false,0.9423221554752672,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_ecc5bb9003043fc6,10000101,3,false,0.4550087971888388,512
0.25,0.8634306868771091,qpool_c519138426e50658,qmask_ed854a1bc1c21a23,01111011,6,false,1.385287978091128,512
0.25,0.8634306868771091,qpool_c519138426e50658,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_30f1d2fade2e7178,01001010,3,false,0.7090489045222057,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_6227c96ae46c75f8,01111001,5,false,1.29155782630869,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_90dd78ad11f097b3,11110100,5,false,1.9402691093555404,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_9f2a7299208a9ed1,01100111,5,false,0.8249480839913303,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_afbe22c87ad11ae4,10101100,4,false,0.9225245112284028,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_cc0414ee182789c1,01111111,7,false,1.5238317169932998,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_ece46f8d3d79b53f,00011111,5,false,0.8317648045544956,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,qmask_f61f977e6689b2ed,10001111,5,false,0.8144242335297349,512
0.25,0.8634306868771091,qpool_e3bc02cdca185ab2,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_05031e6a7405856b,00111110,5,false,0.9764496220700494,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_239a2dd293cc8eaf,11000001,3,false,1.3358418205907583,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_2678a15f3a1887ca,10110001,4,false,0.8344316201901165,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_7c7f09c2f082e17d,01111000,4,false,1.2230097765714163,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_8a4fe6aab0927861,11110001,5,false,1.889820528688233,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_9ef84ec72720c5bb,00100111,4,false,0.6025459779684752,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_bdc01c419cf655bf,01100001,3,false,0.70630786413858,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,qmask_f9ff1c9f8ba69f2e,11100101,5,false,1.7680718266697113,512
0.25,0.8634306868771091,qpool_ff721276bd560c43,analytic_noop,00000000,0,true,0.8634306868771091,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_04e99e00df510b89,10100010,3,false,0.8857768301404576,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_4dc7fd92c7b096a2,11101001,5,false,1.385284165898156,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_56332775d253c008,10100101,4,false,0.8270893695298582,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_6d873abcf3a8f6b9,01001001,3,false,0.9844763111523207,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_7c330068eacbeec8,01111110,6,false,1.228416006036241,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_87bb9cc60085dcff,11011101,6,false,1.6914083230103643,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_a3ac1f42a70defe3,10110101,5,false,0.8704484241725368,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,qmask_d7d102c2537b80f1,11100110,5,false,1.1491395290604487,512
0.50,1.7268613737542182,qpool_04a0d16a2ce1d6ae,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_168ecc77c6d9bec7,00100011,3,false,1.346665908007708,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_2def687a70c0189d,11100100,4,false,1.090582949202144,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_514b410bbe7f097e,11010111,6,false,1.350560140061134,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_8630d2328962fa10,00111000,3,false,1.3219181960339483,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_a4b7b621b0c57baf,10111100,5,false,1.1039334776514806,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_abc2c93f2a9da9d0,11100111,6,false,1.2739903715519176,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_cdd694ec938105ff,00011011,4,false,1.2841107347267098,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,qmask_e907033eeed311b5,00101010,3,false,1.3184668053027053,512
0.50,1.7268613737542182,qpool_094d56ddcd5f1fe4,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_282cb65c9e54d1f9,01101110,5,false,1.0310801119640018,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_693dc55993aa4fa9,11001111,6,false,1.3927329733132865,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_849e90ce5ffd4bc1,00111010,4,false,1.2687182103190935,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_84e1013c62ab0342,10110111,6,false,0.8794566066253537,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_92fdf63f6fed474e,00011001,3,false,1.3626455819339753,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_95b0a9234a9eee46,10101110,5,false,0.9509023282853377,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_9a86a5949df1b42b,01001100,3,false,0.9071730666692019,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,00110110,4,false,1.1249652911074008,512
0.50,1.7268613737542182,qpool_0b1792f4952557ee,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_31a763e8bc0202e0,00101110,4,false,1.2198252545776995,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_4f926e356a625a67,01111100,5,false,1.191911730567881,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_7c849c67ebb1b4f9,10111111,7,false,1.1757563420778752,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_8fc54aeb91caafc9,00111101,5,false,1.2676928227219832,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_af6d0dc69e3d9a78,00011110,4,false,1.2098121916669697,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_b996be105c0f3dda,10100110,4,false,0.8119647807234287,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_c76e2148877c5063,11010110,5,false,1.2385380772893768,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,qmask_e217ee83fae37141,11110010,5,false,1.2934095750379129,512
0.50,1.7268613737542182,qpool_0ffd30d33ad8dd0f,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_427363983d4a675f,11011110,6,false,1.722642356684446,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_55cbf5fefb67a9c9,10010100,3,false,0.7562592866697742,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_68ff8f889255b0e9,00001111,4,false,1.276283197425073,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_8a9d405ad1968a90,11001000,3,false,1.0774929240797064,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_96b494b452b77f8e,01110100,4,false,0.9203908415483966,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_b02b2d5954d58371,01011000,3,false,1.035039309221247,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_bcbb878aab0fd0e6,10010101,4,false,0.7482572940280079,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,qmask_cb0a7c3a10da33f2,11001100,4,false,1.200887874970249,512
0.50,1.7268613737542182,qpool_169a31b6710ef111,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_330533bb35dfe50c,10001011,4,false,0.8602610980615282,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_7496171506cc1757,10011111,6,false,1.0229740733693689,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_81b5d6cd2a60bf37,11110101,6,false,1.4693464399942968,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_85812c22f52f55f2,10101111,6,false,0.9808606103442798,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_8ec53a11acfe0f00,11110110,6,false,1.445910222612838,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_cbd8bcbf0db11c8c,00110010,3,false,1.2272692123897286,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_d474d772a2156911,10111001,5,false,1.112036543722752,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,qmask_d49846da5aa54e5e,01001011,4,false,0.9434152930853088,512
0.50,1.7268613737542182,qpool_3bc403a0734a65bf,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_06e53efa12c0c89c,01010011,4,false,0.8496537458313469,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_5106913f39c2ea0e,01100101,4,false,0.9054050519343946,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_58d4e1dd95e5c5b0,00111111,6,false,1.2372801766296107,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_ac55e1313a50fb45,01101101,5,false,1.0565481898875078,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_b52a639547d6a0e9,10000111,4,false,0.7235452378408809,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_d3a70a2b122bfec6,10110100,4,false,0.8587109629088445,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_e28959d82dee3e38,10001110,4,false,0.818157814092956,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,qmask_fe024629e8134fa2,11110111,7,false,1.559890646396525,512
0.50,1.7268613737542182,qpool_4da0243bdf72a6cd,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_03e03e6bad3167c1,00110101,4,false,1.1706426371865746,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_22c3d94ed895c2d5,10010110,4,false,0.7437652312837599,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_581f449a19375ab8,00011100,3,false,1.2708759456108965,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_649dfffca1027d37,11101111,7,false,1.5998882551784845,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_88b9054a02247dd1,11000010,3,false,0.8370948474057514,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_9cf9f1f53520f88b,01111010,5,false,1.181604874259392,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_af3070b33fa6727a,01000111,4,false,0.8019953747934778,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,qmask_d9d8505932b1a835,11000100,3,false,0.8844357921534538,512
0.50,1.7268613737542182,qpool_59fb93108c625f9c,analytic_noop,00000000,0,true,1.7268613737542182,512
0.50,1.7268613737542182,qpool_6c9ad557921d1966,qmask_3b86e07f9bac3525,10001010,3,false,0.8756161586379676,512
0.50,1.7268613737542182,qpool_6c9ad557921d1966,qmask_494f47beb25cae41,11111001,6,false,1.7306167892520534,512
0.50,1.7268613737542182,qpool_6c9ad557921d1966,qmask_5febbac13cd7abee,00010110,3,false,1.2469150339011321,512
0.50,1.7268613737542182,qpool_6c9ad557921d1966,qmask_ba4de66f5ec66b86,01010110,4,false,0.8020357481427709,512
0.50,1.7268613737542182,qpool_6c9ad557921d1966,qmask_d79394fce5af8530,11011111,7,false,1.8118647419187255,512
