query_id,observed_mean_effect,n_test_prompts
qmask_d7d102c2537b80f1,2.498270562849939,512
qmask_d9d8505932b1a835,2.1535914920968935,512
qmask_ddc0ed6fecc12d09,3.0705931494012475,512
qmask_ddede699aac8de6a,3.1610516650252976,512
qmask_e003b3ec0121953b,2.934002799796872,512
qmask_e217ee83fae37141,2.6557967687258497,512
qmask_e28959d82dee3e38,1.3825813269941136,512
qmask_e7b741d3e896dac1,1.4593830674421042,512
qmask_e8f30cbb6e37ce0d,1.5752934699412435,512
qmask_e907033eeed311b5,0.6435551377944648,512
qmask_ecc5bb9003043fc6,1.0807273811660707,512
qmask_ece46f8d3d79b53f,0.9137916786130518,512
qmask_ecfec3b493d7256a,1.3007338811876252,512
qmask_ed854a1bc1c21a23,1.9779821189003997,512
qmask_f61f977e6689b2ed,1.4804851553635672,512
qmask_f820e84b827bfd6b,1.6521399395423941,512
qmask_f9ff1c9f8ba69f2e,2.578193446272053,512
qmask_fa363a52954060a1,1.6502095905598253,512
qmask_fac74048988e3cbb,1.1583479508990422,512
qmask_fe024629e8134fa2,3.020222420222126,512
qmask_fe9b859e1804ec08,0.7045880255755037,512
