query_id,mask_bits,n_heads,pool_id,h0,h1,h2,h3,h4,h5,h6,h7
qmask_a6bb6d75ba01c741,11010000,3,qpool_70bc91001fd21361,1,1,0,1,0,0,0,0
qmask_a9284c314595341d,11001010,4,qpool_a6ffe2b653ce5a24,1,1,0,0,1,0,1,0
qmask_aa927932235c699d,11011100,5,qpool_7d29cbb2adc90870,1,1,0,1,1,1,0,0
qmask_abc2c93f2a9da9d0,11100111,6,qpool_094d56ddcd5f1fe4,1,1,1,0,0,1,1,1
qmask_ac55e1313a50fb45,01101101,5,qpool_4da0243bdf72a6cd,0,1,1,0,1,1,0,1
qmask_af3070b33fa6727a,01000111,4,qpool_59fb93108c625f9c,0,1,0,0,0,1,1,1
qmask_af6d0dc69e3d9a78,00011110,4,qpool_0ffd30d33ad8dd0f,0,0,0,1,1,1,1,0
qmask_afbe22c87ad11ae4,10101100,4,qpool_e3bc02cdca185ab2,1,0,1,0,1,1,0,0
qmask_b02b2d5954d58371,01011000,3,qpool_169a31b6710ef111,0,1,0,1,1,0,0,0
qmask_b0e252c8a061a875,00110011,4,qpool_c519138426e50658,0,0,1,1,0,0,1,1
qmask_b52a639547d6a0e9,10000111,4,qpool_4da0243bdf72a6cd,1,0,0,0,0,1,1,1
qmask_b996be105c0f3dda,10100110,4,qpool_0ffd30d33ad8dd0f,1,0,1,0,0,1,1,0
qmask_ba4de66f5ec66b86,01010110,4,qpool_6c9ad557921d1966,0,1,0,1,0,1,1,0
qmask_bad2b6dedfcd4ce3,11010101,5,qpool_bace2709926cfaee,1,1,0,1,0,1,0,1
qmask_bcbb878aab0fd0e6,10010101,4,qpool_169a31b6710ef111,1,0,0,1,0,1,0,1
qmask_bdc01c419cf655bf,01100001,3,qpool_ff721276bd560c43,0,1,1,0,0,0,0,1
qmask_bde177d3edcb1ae0,00110110,4,qpool_0b1792f4952557ee,0,0,1,1,0,1,1,0
qmask_c76e2148877c5063,11010110,5,qpool_0ffd30d33ad8dd0f,1,1,0,1,0,1,1,0
qmask_c7c095a611af1783,00101100,3,qpool_a6ffe2b653ce5a24,0,0,1,0,1,1,0,0
qmask_cb0a7c3a10da33f2,11001100,4,qpool_169a31b6710ef111,1,1,0,0,1,1,0,0
qmask_cbd8bcbf0db11c8c,00110010,3,qpool_3bc403a0734a65bf,0,0,1,1,0,0,1,0
qmask_cc0414ee182789c1,01111111,7,qpool_e3bc02cdca185ab2,0,1,1,1,1,1,1,1
qmask_cdd694ec938105ff,00011011,4,qpool_094d56ddcd5f1fe4,0,0,0,1,1,0,1,1
qmask_d350d740bff94567,00010011,3,qpool_a6ffe2b653ce5a24,0,0,0,1,0,0,1,1
qmask_d3a70a2b122bfec6,10110100,4,qpool_4da0243bdf72a6cd,1,0,1,1,0,1,0,0
qmask_d474d772a2156911,10111001,5,qpool_3bc403a0734a65bf,1,0,1,1,1,0,0,1
qmask_d49846da5aa54e5e,01001011,4,qpool_3bc403a0734a65bf,0,1,0,0,1,0,1,1
qmask_d79394fce5af8530,11011111,7,qpool_6c9ad557921d1966,1,1,0,1,1,1,1,1
qmask_d7d102c2537b80f1,11100110,5,qpool_04a0d16a2ce1d6ae,1,1,1,0,0,1,1,0
qmask_d9d8505932b1a835,11000100,3,qpool_59fb93108c625f9c,1,1,0,0,0,1,0,0
qmask_ddc0ed6fecc12d09,11011011,6,qpool_bace2709926cfaee,1,1,0,1,1,0,1,1
qmask_ddede699aac8de6a,11111010,6,qpool_70bc91001fd21361,1,1,1,1,1,0,1,0
qmask_e003b3ec0121953b,11011001,5,qpool_6c9ad557921d1966,1,1,0,1,1,0,0,1
qmask_e217ee83fae37141,11110010,5,qpool_0ffd30d33ad8dd0f,1,1,1,1,0,0,1,0
qmask_e28959d82dee3e38,10001110,4,qpool_4da0243bdf72a6cd,1,0,0,0,1,1,1,0
qmask_e7b741d3e896dac1,01101010,4,qpool_c519138426e50658,0,1,1,0,1,0,1,0
qmask_e8f30cbb6e37ce0d,10101011,5,qpool_c519138426e50658,1,0,1,0,1,0,1,1
qmask_e907033eeed311b5,00101010,3,qpool_094d56ddcd5f1fe4,0,0,1,0,1,0,1,0
qmask_ecc5bb9003043fc6,10000101,3,qpool_c519138426e50658,1,0,0,0,0,1,0,1
qmask_ece46f8d3d79b53f,00011111,5,qpool_e3bc02cdca185ab2,0,0,0,1,1,1,1,1
qmask_ecfec3b493d7256a,01100110,4,qpool_7d29cbb2adc90870,0,1,1,0,0,1,1,0
qmask_ed854a1bc1c21a23,01111011,6,qpool_c519138426e50658,0,1,1,1,1,0,1,1
qmask_f61f977e6689b2ed,10001111,5,qpool_e3bc02cdca185ab2,1,0,0,0,1,1,1,1
qmask_f820e84b827bfd6b,10101101,5,qpool_6c9ad557921d1966,1,0,1,0,1,1,0,1
qmask_f9ff1c9f8ba69f2e,11100101,5,qpool_ff721276bd560c43,1,1,1,0,0,1,0,1
qmask_fa363a52954060a1,10110110,5,qpool_6c9ad557921d1966,1,0,1,1,0,1,1,0
qmask_fac74048988e3cbb,01010001,3,qpool_7d29cbb2adc90870,0,1,0,1,0,0,0,1
qmask_fe024629e8134fa2,11110111,7,qpool_4da0243bdf72a6cd,1,1,1,1,0,1,1,1
qmask_fe9b859e1804ec08,00011010,3,qpool_bace2709926cfaee,0,0,0,1,1,0,1,0
