prompt_id,source_prompt_id,family_id,source_cluster_id,query_position,swapped_position,source_input_ids,input_ids,schema_version
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,31,7,85292 34146 72871 50949 134607 38089 112358 95212 57951 136478 93362 54171 84208 20983 8524 88800 102390 137411 2651 39501 29359 63277 125795 116980 17230 73413 92609 17417 137152 79711 114572 116980,85292 34146 72871 50949 134607 38089 112358 116980 57951 136478 93362 54171 84208 20983 8524 88800 102390 137411 2651 39501 29359 63277 125795 116980 17230 73413 92609 17417 137152 79711 114572 95212,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,31,12,25148 90866 135584 116231 141607 85804 132363 141236 75320 19171 1570 65321 17784 16943 79170 68333 116695 108561 82354 79077 6006 79041 44187 28822 70620 139897 117348 138109 131160 27378 18448 28822,25148 90866 135584 116231 141607 85804 132363 141236 75320 19171 1570 65321 28822 16943 79170 68333 116695 108561 82354 79077 6006 79041 44187 28822 70620 139897 117348 138109 131160 27378 18448 17784,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,31,26,87750 70115 104511 133082 42087 106202 39249 4410 75043 147665 51547 147402 49845 81691 125854 95181 146542 112072 47513 32550 131473 108267 67294 121386 101924 32115 20983 20735 133970 141650 14650 121386,87750 70115 104511 133082 42087 106202 39249 4410 75043 147665 51547 147402 49845 81691 125854 95181 146542 112072 47513 32550 131473 108267 67294 121386 101924 32115 121386 20735 133970 141650 14650 20983,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,31,0,30310 37766 57109 94768 40741 145076 23922 41932 92900 124431 14597 3673 1389 109779 54787 68367 118834 116500 30414 90044 105171 130041 40153 75677 22500 95212 128339 43544 123798 147828 131772 75677,75677 37766 57109 94768 40741 145076 23922 41932 92900 124431 14597 3673 1389 109779 54787 68367 118834 116500 30414 90044 105171 130041 40153 75677 22500 95212 128339 43544 123798 147828 131772 30310,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,31,3,20729 33585 148270 50814 76306 50949 34298 4572 22150 23983 125231 105927 40829 119470 10670 91162 142470 30606 56716 65167 83362 51213 75300 137988 94489 93542 21718 151565 113509 97768 94707 137988,20729 33585 148270 137988 76306 50949 34298 4572 22150 23983 125231 105927 40829 119470 10670 91162 142470 30606 56716 65167 83362 51213 75300 137988 94489 93542 21718 151565 113509 97768 94707 50814,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,31,22,54957 112391 32301 132896 73401 8976 85362 73541 62609 97163 12510 100109 32684 143835 39594 8765 128965 81536 149186 89731 121398 77922 29222 140831 39275 19192 45769 47608 40993 150887 95549 140831,54957 112391 32301 132896 73401 8976 85362 73541 62609 97163 12510 100109 32684 143835 39594 8765 128965 81536 149186 89731 121398 77922 140831 140831 39275 19192 45769 47608 40993 150887 95549 29222,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,31,28,92145 61997 17231 34352 78156 144857 136362 133281 32301 91825 65321 559 88737 28985 126853 145624 11017 123136 52140 13287 112391 7290 46286 102154 88960 117127 82246 66366 73707 76016 37256 102154,92145 61997 17231 34352 78156 144857 136362 133281 32301 91825 65321 559 88737 28985 126853 145624 11017 123136 52140 13287 112391 7290 46286 102154 88960 117127 82246 66366 102154 76016 37256 73707,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,31,5,70344 144725 5814 132186 110441 133327 94288 77186 83327 100996 130653 60026 33332 8005 127101 76306 64981 40649 84227 130638 88126 104030 8634 16433 95803 130184 81316 137618 12829 22500 137773 16433,70344 144725 5814 132186 110441 16433 94288 77186 83327 100996 130653 60026 33332 8005 127101 76306 64981 40649 84227 130638 88126 104030 8634 16433 95803 130184 81316 137618 12829 22500 137773 133327,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,31,11,73557 141401 144366 31730 119874 94768 64523 100744 102154 67695 108728 66664 39014 81955 141163 132363 73401 32841 9046 60813 34910 86325 59978 53042 59987 140012 679 52800 40641 591 111913 53042,73557 141401 144366 31730 119874 94768 64523 100744 102154 67695 108728 53042 39014 81955 141163 132363 73401 32841 9046 60813 34910 86325 59978 53042 59987 140012 679 52800 40641 591 111913 66664,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,31,19,122064 12553 25127 78862 2286 61358 20071 39594 40559 67219 58821 54245 60004 64785 100210 142776 58960 12396 60380 61147 44854 63942 30997 33332 63886 23345 29571 117944 88560 92158 79237 33332,122064 12553 25127 78862 2286 61358 20071 39594 40559 67219 58821 54245 60004 64785 100210 142776 58960 12396 60380 33332 44854 63942 30997 33332 63886 23345 29571 117944 88560 92158 79237 61147,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,31,29,128375 111088 3290 117676 104847 84223 107292 25122 92846 87042 102720 94673 60813 53310 40301 27791 91917 119547 106264 86325 37651 777 54957 91825 69664 13989 95430 94724 8879 2286 91723 91825,128375 111088 3290 117676 104847 84223 107292 25122 92846 87042 102720 94673 60813 53310 40301 27791 91917 119547 106264 86325 37651 777 54957 91825 69664 13989 95430 94724 8879 91825 91723 2286,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,31,19,135551 50861 123503 56395 66442 85804 30040 110720 150235 118643 100911 25080 134200 28409 27534 100721 143151 30947 69080 22344 135211 83883 88815 12814 140975 78305 148579 128965 13762 122804 53804 12814,135551 50861 123503 56395 66442 85804 30040 110720 150235 118643 100911 25080 134200 28409 27534 100721 143151 30947 69080 12814 135211 83883 88815 12814 140975 78305 148579 128965 13762 122804 53804 22344,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,31,1,83140 119396 7099 50987 26758 136524 19693 18955 92390 135316 104164 21718 146834 145686 144247 84496 142470 44282 65863 86976 93362 8643 139509 74464 130180 62069 84658 57108 442 33332 151349 74464,83140 74464 7099 50987 26758 136524 19693 18955 92390 135316 104164 21718 146834 145686 144247 84496 142470 44282 65863 86976 93362 8643 139509 74464 130180 62069 84658 57108 442 33332 151349 119396,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,31,21,84707 91726 118833 7747 126259 148525 85390 67016 95549 92343 559 138048 85876 47010 44290 20755 131816 118594 146023 3513 27119 144245 78880 63469 44976 82839 136572 118701 86538 95750 143969 63469,84707 91726 118833 7747 126259 148525 85390 67016 95549 92343 559 138048 85876 47010 44290 20755 131816 118594 146023 3513 27119 63469 78880 63469 44976 82839 136572 118701 86538 95750 143969 144245,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,31,9,85426 149085 49634 78156 15494 7322 108318 2461 80114 62653 81873 122706 2414 146668 40591 131413 35915 69828 44917 2105 119012 140947 136711 116324 120786 83889 6473 1076 89392 146441 87949 116324,85426 149085 49634 78156 15494 7322 108318 2461 80114 116324 81873 122706 2414 146668 40591 131413 35915 69828 44917 2105 119012 140947 136711 116324 120786 83889 6473 1076 89392 146441 87949 62653,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,31,22,4799 142051 87657 60026 148917 25290 28409 25127 5155 53338 118260 6324 20983 44267 135662 83299 43200 5109 66433 86503 121069 143682 94103 79836 69791 93344 42446 118643 591 135384 10738 79836,4799 142051 87657 60026 148917 25290 28409 25127 5155 53338 118260 6324 20983 44267 135662 83299 43200 5109 66433 86503 121069 143682 79836 79836 69791 93344 42446 118643 591 135384 10738 94103,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,31,27,2295 3644 128776 82839 87126 77689 147611 110416 126755 81539 94786 46238 93362 122064 13765 99340 8112 56257 107774 37610 18213 85876 108267 108168 106339 90150 84021 150936 44171 40151 92207 108168,2295 3644 128776 82839 87126 77689 147611 110416 126755 81539 94786 46238 93362 122064 13765 99340 8112 56257 107774 37610 18213 85876 108267 108168 106339 90150 84021 108168 44171 40151 92207 150936,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,31,25,15589 40973 111013 31396 111610 118394 2800 24387 122895 145869 129211 88734 98232 126175 79135 106339 144017 15623 94085 33112 74775 75244 83644 83654 2685 16614 85740 76857 128286 39233 20538 83654,15589 40973 111013 31396 111610 118394 2800 24387 122895 145869 129211 88734 98232 126175 79135 106339 144017 15623 94085 33112 74775 75244 83644 83654 2685 83654 85740 76857 128286 39233 20538 16614,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,31,5,39087 23835 10425 33837 1076 21341 93533 93955 91481 29858 30947 95123 118940 95430 26792 140506 146324 72746 6899 30133 17231 44754 81125 71449 108651 1675 135584 55763 121243 104407 135601 71449,39087 23835 10425 33837 1076 71449 93533 93955 91481 29858 30947 95123 118940 95430 26792 140506 146324 72746 6899 30133 17231 44754 81125 71449 108651 1675 135584 55763 121243 104407 135601 21341,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,31,22,108344 98980 50644 88337 74331 89625 55063 140363 96070 75223 100070 23284 121513 38923 130741 72379 41374 103810 67064 138559 81691 78514 24929 122700 98874 83547 47974 18733 110441 27344 13650 122700,108344 98980 50644 88337 74331 89625 55063 140363 96070 75223 100070 23284 121513 38923 130741 72379 41374 103810 67064 138559 81691 78514 122700 122700 98874 83547 47974 18733 110441 27344 13650 24929,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,31,26,142072 100952 97894 24388 88126 130050 122863 26780 96048 142350 33505 115802 118260 132343 112059 118834 1266 134660 142839 82716 116766 122007 52349 70983 131881 134439 83049 20802 45386 39046 99377 70983,142072 100952 97894 24388 88126 130050 122863 26780 96048 142350 33505 115802 118260 132343 112059 118834 1266 134660 142839 82716 116766 122007 52349 70983 131881 134439 70983 20802 45386 39046 99377 83049,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,31,11,5925 96373 45339 23983 104407 12808 10446 120038 3621 47129 146595 142072 107147 52800 149876 150536 100783 132161 36074 116872 108286 47095 85426 83654 42459 46558 133380 80209 130741 57081 37839 83654,5925 96373 45339 23983 104407 12808 10446 120038 3621 47129 146595 83654 107147 52800 149876 150536 100783 132161 36074 116872 108286 47095 85426 83654 42459 46558 133380 80209 130741 57081 37839 142072,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,31,0,58312 137081 129874 76402 2648 97838 72716 85994 22502 29035 34440 76055 100308 135676 27862 142108 87020 17142 117954 141486 105532 31635 47034 72494 148715 15911 22500 88680 37904 10762 93739 72494,72494 137081 129874 76402 2648 97838 72716 85994 22502 29035 34440 76055 100308 135676 27862 142108 87020 17142 117954 141486 105532 31635 47034 72494 148715 15911 22500 88680 37904 10762 93739 58312,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,31,0,76536 5242 1803 10816 97654 67137 81125 96253 79865 65154 30161 110282 3644 33690 132613 72114 2685 53013 108325 75223 100532 126120 69038 142854 130184 134502 148905 91615 136540 40559 52567 142854,142854 5242 1803 10816 97654 67137 81125 96253 79865 65154 30161 110282 3644 33690 132613 72114 2685 53013 108325 75223 100532 126120 69038 142854 130184 134502 148905 91615 136540 40559 52567 76536,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,31,1,54945 15634 23790 113249 34913 107577 70355 33690 145361 67763 139043 104322 8379 4057 17920 45339 145412 77233 143267 85426 94489 81988 115972 71266 83889 97248 4194 29222 94870 8509 1018 71266,54945 71266 23790 113249 34913 107577 70355 33690 145361 67763 139043 104322 8379 4057 17920 45339 145412 77233 143267 85426 94489 81988 115972 71266 83889 97248 4194 29222 94870 8509 1018 15634,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,31,8,80320 132438 129150 141282 11925 146349 91268 59061 67419 17023 18837 89021 79991 111937 95460 27856 102037 74210 12829 61526 94499 62428 141946 23803 63413 106346 894 58104 101595 116500 130050 23803,80320 132438 129150 141282 11925 146349 91268 59061 23803 17023 18837 89021 79991 111937 95460 27856 102037 74210 12829 61526 94499 62428 141946 23803 63413 106346 894 58104 101595 116500 130050 67419,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,31,29,25392 81301 62069 138169 10559 10701 94422 69666 119314 112104 8057 10274 127413 132193 87311 37149 83741 137534 40591 30248 3575 50609 88154 128174 40928 47425 52003 19493 54218 126199 128012 128174,25392 81301 62069 138169 10559 10701 94422 69666 119314 112104 8057 10274 127413 132193 87311 37149 83741 137534 40591 30248 3575 50609 88154 128174 40928 47425 52003 19493 54218 128174 128012 126199,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,31,11,2414 22373 39490 130947 43647 74840 53411 123788 86204 5113 95121 33099 60340 100738 61022 119634 54317 121305 38338 24588 110101 74121 67111 10313 118643 15247 39233 75642 124256 146879 38890 10313,2414 22373 39490 130947 43647 74840 53411 123788 86204 5113 95121 10313 60340 100738 61022 119634 54317 121305 38338 24588 110101 74121 67111 10313 118643 15247 39233 75642 124256 146879 38890 33099,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_1ed152e282946d26,qseq_f7a4abff778dac0d,length_32_gap_8,qcluster_locked_test_0038,31,26,38262 20368 128786 79803 92236 90279 89392 128287 15588 60089 63183 46816 29305 103752 57310 39607 102105 145004 150768 56111 22870 140277 133281 123363 4003 88290 131881 94091 65384 77233 60547 123363,38262 20368 128786 79803 92236 90279 89392 128287 15588 60089 63183 46816 29305 103752 57310 39607 102105 145004 150768 56111 22870 140277 133281 123363 4003 88290 123363 94091 65384 77233 60547 131881,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_639187d5eabfec69,qseq_e853f0c08b8332c6,length_32_gap_8,qcluster_locked_test_0039,31,11,27732 8879 49903 106657 15158 131454 5662 130046 145755 68401 85062 55138 77312 65725 127154 120736 101479 16735 74395 77338 50086 69226 35578 58939 147103 137667 33585 86316 92145 4799 76433 58939,27732 8879 49903 106657 15158 131454 5662 130046 145755 68401 85062 58939 77312 65725 127154 120736 101479 16735 74395 77338 50086 69226 35578 58939 147103 137667 33585 86316 92145 4799 76433 55138,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_645b510cfbaa4148,qseq_076c730602874c8e,length_32_gap_8,qcluster_locked_test_0040,31,14,56830 142108 28361 13797 128085 118832 56431 41484 100744 11224 55461 146037 93542 79865 74927 104511 101421 95611 73931 30544 131287 57827 137462 98595 144248 126530 124536 19825 102990 84707 74775 98595,56830 142108 28361 13797 128085 118832 56431 41484 100744 11224 55461 146037 93542 79865 98595 104511 101421 95611 73931 30544 131287 57827 137462 98595 144248 126530 124536 19825 102990 84707 74775 74927,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_0610fb9acf8072f8,qseq_419e4d2a6546e726,length_32_gap_8,qcluster_locked_test_0041,31,19,48520 79711 38742 127391 27952 121914 50644 147587 30478 11925 24852 72379 38219 86074 146998 129150 129686 111025 151349 106621 51610 135662 86327 91975 127234 100518 91615 142154 80165 67051 6236 91975,48520 79711 38742 127391 27952 121914 50644 147587 30478 11925 24852 72379 38219 86074 146998 129150 129686 111025 151349 91975 51610 135662 86327 91975 127234 100518 91615 142154 80165 67051 6236 106621,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_3e1b775d651cbe18,qseq_0dee966050bfd253,length_32_gap_8,qcluster_locked_test_0042,31,4,25994 89558 14597 67051 145481 94724 7831 123735 96260 146879 50177 15879 124059 22402 5155 44020 61243 118451 102562 8366 145258 109270 20332 95453 55380 137618 95803 97248 54209 65327 112699 95453,25994 89558 14597 67051 95453 94724 7831 123735 96260 146879 50177 15879 124059 22402 5155 44020 61243 118451 102562 8366 145258 109270 20332 95453 55380 137618 95803 97248 54209 65327 112699 145481,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_6640639f17c20a2b,qseq_33d6299f018a63df,length_32_gap_8,qcluster_locked_test_0043,31,7,114592 106998 33937 115786 79209 72995 130651 42690 8010 39768 136984 92573 85804 10313 98910 111592 33332 28985 44324 82375 34541 39014 123798 45339 44187 51818 36961 106657 113033 111550 129357 45339,114592 106998 33937 115786 79209 72995 130651 45339 8010 39768 136984 92573 85804 10313 98910 111592 33332 28985 44324 82375 34541 39014 123798 45339 44187 51818 36961 106657 113033 111550 129357 42690,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_92ea2bf42a9ea623,qseq_1d6ac5c0e2ef6aec,length_32_gap_8,qcluster_locked_test_0044,31,7,39628 72871 73217 59034 56395 41622 9599 125495 94870 86906 140003 59245 54541 145782 143162 31813 131160 111575 132661 1917 15824 145850 134078 67412 143822 28726 127059 116789 29899 139523 128042 67412,39628 72871 73217 59034 56395 41622 9599 67412 94870 86906 140003 59245 54541 145782 143162 31813 131160 111575 132661 1917 15824 145850 134078 67412 143822 28726 127059 116789 29899 139523 128042 125495,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_a82ad6489f53d75c,qseq_1a159a1dae28da54,length_32_gap_8,qcluster_locked_test_0045,31,10,27119 32157 97880 35640 77458 47487 110458 107053 83557 6953 79245 22632 84707 29196 129326 88753 79753 117127 52381 92236 71179 23269 35549 111511 80114 119547 110391 27474 92846 68352 147550 111511,27119 32157 97880 35640 77458 47487 110458 107053 83557 6953 111511 22632 84707 29196 129326 88753 79753 117127 52381 92236 71179 23269 35549 111511 80114 119547 110391 27474 92846 68352 147550 79245,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_c35a305ca8c70ee5,qseq_d93f64d04e6cfa98,length_32_gap_8,qcluster_locked_test_0046,31,9,149139 71456 32550 35572 21341 59807 4745 150235 2295 60089 135221 12336 137085 54645 73247 123849 52349 7420 92207 132766 80883 120846 10274 24354 89021 27119 59938 32301 145755 136984 86525 24354,149139 71456 32550 35572 21341 59807 4745 150235 2295 24354 135221 12336 137085 54645 73247 123849 52349 7420 92207 132766 80883 120846 10274 24354 89021 27119 59938 32301 145755 136984 86525 60089,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_ea32ec7a986b12ef,qseq_dc46b739b3b479f2,length_32_gap_8,qcluster_locked_test_0047,31,13,100518 7977 133783 12329 106327 48098 64189 71277 73413 121101 10021 8472 65622 130456 105171 11662 119228 111784 87107 105532 8643 58160 4190 142848 102720 97894 99911 77208 105505 106232 59321 142848,100518 7977 133783 12329 106327 48098 64189 71277 73413 121101 10021 8472 65622 142848 105171 11662 119228 111784 87107 105532 8643 58160 4190 142848 102720 97894 99911 77208 105505 106232 59321 130456,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_d7c2e41273b93372,qseq_53c883855c13ae86,length_32_gap_8,qcluster_locked_test_0048,31,15,103980 1678 27856 102339 49621 91097 100659 61826 8509 79615 10559 133281 82215 106339 90669 13650 140590 48288 141147 27472 9415 114592 93530 37256 31585 2990 120233 22811 75786 25002 137650 37256,103980 1678 27856 102339 49621 91097 100659 61826 8509 79615 10559 133281 82215 106339 90669 37256 140590 48288 141147 27472 9415 114592 93530 37256 31585 2990 120233 22811 75786 25002 137650 13650,observerbench.qwen_induction.matched_non_induction.v1
qcontrol_90b2d8a79b134e9b,qseq_e298a08ae621717b,length_32_gap_8,qcluster_locked_test_0049,31,1,117600 89436 84565 63183 51213 80555 88960 143775 53786 142367 70026 149190 37355 3621 3944 61243 91723 129686 30722 34654 44149 125501 140003 83596 118580 78217 101595 144725 71712 72251 82246 83596,117600 83596 84565 63183 51213 80555 88960 143775 53786 142367 70026 149190 37355 3621 3944 61243 91723 129686 30722 34654 44149 125501 140003 83596 118580 78217 101595 144725 71712 72251 82246 89436,observerbench.qwen_induction.matched_non_induction.v1
