prompt_id,split,template_id,structure,clean_ld
prompt_6fc2c50498a538da,train,abba_park,ABBA,4.0357447
prompt_8432c882f29cad0d,train,abba_park,ABBA,4.4702616
prompt_90a6f4ecd7844a6e,train,abba_park,ABBA,4.5118284
prompt_972229987a42600c,train,abba_park,ABBA,3.7915926
prompt_a3dd993e12c62816,train,abba_park,ABBA,3.2467098
prompt_af1127d82d4bac08,train,abba_park,ABBA,3.7890234
prompt_b6089e09068efd18,train,abba_park,ABBA,6.1769133
prompt_b6a9447e4a090fb4,train,abba_park,ABBA,1.1076775
prompt_baa295453883a92b,train,abba_park,ABBA,5.702874
prompt_c808202af5317ffb,train,abba_park,ABBA,3.8129797
prompt_da13249de803f474,train,abba_park,ABBA,3.5705261
prompt_ea5408ad8574b940,train,abba_park,ABBA,6.712266
prompt_f0dc0c0ca345b5a2,train,abba_park,ABBA,5.680537
prompt_082cd583e65ba522,train,abba_store,ABBA,3.1252146
prompt_175c9f41c77f7c8a,train,abba_store,ABBA,5.9053183
prompt_232f47178a7a2086,train,abba_store,ABBA,3.4879942
prompt_41b4bf9129fec0e1,train,abba_store,ABBA,5.7673454
prompt_45f7220f5104f1e1,train,abba_store,ABBA,5.6255865
prompt_48bd9f7be95f7a9f,train,abba_store,ABBA,3.9038992
prompt_574c11f64315f17a,train,abba_store,ABBA,4.730299
prompt_5fa45a5453b67009,train,abba_store,ABBA,5.350425
prompt_6fe06ce42dec5110,train,abba_store,ABBA,3.4322472
prompt_743c532dde979864,train,abba_store,ABBA,4.0133314
prompt_8b95f90971e6ca7d,train,abba_store,ABBA,6.8830433
prompt_8c5e9acc66ccd832,train,abba_store,ABBA,4.7146645
prompt_8f1d3d76cf333310,train,abba_store,ABBA,2.4906435
prompt_91299fd19d502ae2,train,abba_store,ABBA,5.4091597
prompt_925794d21fd4d416,train,abba_store,ABBA,5.946088
prompt_9c81cf44e14faa0e,train,abba_store,ABBA,4.111614
prompt_a5912fbd45f5ac26,train,abba_store,ABBA,4.523754
prompt_a7496f4d0d51de8d,train,abba_store,ABBA,3.7386093
prompt_b0153651e2378ce0,train,abba_store,ABBA,3.3421173
prompt_c59d2be2c44766aa,train,abba_store,ABBA,4.061384
prompt_ce9044281f769855,train,abba_store,ABBA,2.561346
prompt_ea9b0516073efd2f,train,abba_store,ABBA,2.8537703
prompt_fb1b66e40836b29d,train,abba_store,ABBA,3.7094545
prompt_ff018caac0aeee6f,train,abba_store,ABBA,1.9298716
prompt_06ba47cc91be578f,train,baba_meeting,BABA,3.0608454
prompt_092bb7921d6d0ccf,train,baba_meeting,BABA,3.3002758
prompt_0bf3d5e7b5724610,train,baba_meeting,BABA,4.6751213
prompt_1a157b68d3052e8c,train,baba_meeting,BABA,3.4839315
prompt_246ce7a746612ad4,train,baba_meeting,BABA,3.6406794
prompt_27404b8a619982e7,train,baba_meeting,BABA,4.2011967
prompt_28fdac515b273d8d,train,baba_meeting,BABA,6.032089
prompt_35cad693944053d4,train,baba_meeting,BABA,3.5985231
prompt_3fc7c55f47163bf4,train,baba_meeting,BABA,2.7961216
prompt_4154fe8b7e3a9074,train,baba_meeting,BABA,3.0579596
prompt_42d352af47ade278,train,baba_meeting,BABA,5.5712748
prompt_47b9ac820996358e,train,baba_meeting,BABA,3.9641714
prompt_5620743466d953be,train,baba_meeting,BABA,4.4874325
prompt_5d5470c07f34282d,train,baba_meeting,BABA,3.5662746
prompt_9a9229edb2c4e8bb,train,baba_meeting,BABA,4.068083
prompt_9e435258259f8c9c,train,baba_meeting,BABA,3.5310001
prompt_a12e70632fd17433,train,baba_meeting,BABA,4.5993757
prompt_aefaa4826ea56803,train,baba_meeting,BABA,3.8803034
prompt_b32c6091c9b5e1c0,train,baba_meeting,BABA,2.8471613
prompt_b7934fc729c54edd,train,baba_meeting,BABA,7.102709
prompt_bbe9952b51401fed,train,baba_meeting,BABA,2.7290916
prompt_c4343166e8522d0f,train,baba_meeting,BABA,3.3488092
prompt_c92edeb80ff731e4,train,baba_meeting,BABA,3.4458466
prompt_f54dc58dbd24d459,train,baba_meeting,BABA,5.6223354
prompt_02b8142a3986072c,train,baba_office,BABA,6.5667067
prompt_1d1c13a6c59fc438,train,baba_office,BABA,5.8928566
prompt_23e40b0ef2496b59,train,baba_office,BABA,3.0035706
prompt_2416c77d3d194003,train,baba_office,BABA,3.957447
prompt_2434f8b08301e314,train,baba_office,BABA,4.3517303
prompt_28263bb86c03107d,train,baba_office,BABA,4.968955
prompt_2d0763c6242efa07,train,baba_office,BABA,5.383815
prompt_2daa2d3708a0938c,train,baba_office,BABA,3.4182959
prompt_2f8eda391830bcdf,train,baba_office,BABA,5.8115463
prompt_330dd12092936c37,train,baba_office,BABA,3.8449202
prompt_400b3556a1d5c57f,train,baba_office,BABA,7.151005
prompt_404ec80f15bfe572,train,baba_office,BABA,4.292369
prompt_49b17c4c439f4f80,train,baba_office,BABA,5.6134863
prompt_59f057187b3b2b14,train,baba_office,BABA,5.038966
prompt_60cc1d0dc9ef45ba,train,baba_office,BABA,4.374733
prompt_6f019220e5d05793,train,baba_office,BABA,3.5233517
prompt_729e98df166fc62b,train,baba_office,BABA,5.1578674
prompt_7503710b414c5037,train,baba_office,BABA,3.0366373
prompt_92ccb96e72369588,train,baba_office,BABA,4.9054556
prompt_a4fcc4ca5e1529ae,train,baba_office,BABA,5.141967
prompt_ce069e8e027cbb67,train,baba_office,BABA,5.018696
prompt_e23727e1d1a6e952,train,baba_office,BABA,4.9098587
prompt_f807e331582f9b25,train,baba_office,BABA,4.091098
prompt_fbd22e8ca45b956e,train,baba_office,BABA,3.1148243
prompt_0ad4ccbcb832a46a,train,baba_park,BABA,4.3064184
prompt_0ae86ee8d1056640,train,baba_park,BABA,3.978074
prompt_196251653b8bc37d,train,baba_park,BABA,6.5681076
prompt_1f87b7ad47cde586,train,baba_park,BABA,6.475669
prompt_23d8483cf1b1d7f0,train,baba_park,BABA,5.3400593
prompt_292c562c18010634,train,baba_park,BABA,4.8811655
prompt_3ae500c0a93e3681,train,baba_park,BABA,6.8338385
prompt_451c8197e0f05c87,train,baba_park,BABA,5.8836756
prompt_475fe32b8407c51a,train,baba_park,BABA,3.25428
prompt_511ddbf5418078bd,train,baba_park,BABA,6.2661343
prompt_51aebd57a3bdc655,train,baba_park,BABA,2.809496
prompt_57d932682dd9b02a,train,baba_park,BABA,5.0628567
prompt_58b37e8a753bf2eb,train,baba_park,BABA,6.675025
prompt_5b6374c660288b19,train,baba_park,BABA,4.8132896
prompt_6f99d0d42fd37289,train,baba_park,BABA,6.6047173
prompt_768395ea04718590,train,baba_park,BABA,5.881734
prompt_9f6da68aa8967bc1,train,baba_park,BABA,3.1658669
prompt_a3d11c97d716072c,train,baba_park,BABA,3.873991
prompt_a840ca15459ae530,train,baba_park,BABA,4.125145
prompt_c0cfdd73f7fb92df,train,baba_park,BABA,6.049347
prompt_da5fdee9f4390f51,train,baba_park,BABA,7.5008163
prompt_f610b160f3a1739f,train,baba_park,BABA,3.4611664
prompt_fa4bf63f5cf8d52d,train,baba_park,BABA,6.617962
prompt_fe5dd3ec8b9a326f,train,baba_park,BABA,9.734311
prompt_00207f46b214298a,train,baba_store,BABA,5.4849586
prompt_00fce069f419a397,train,baba_store,BABA,6.426198
prompt_0458e1741d5dd6d9,train,baba_store,BABA,4.7801294
prompt_2e627607d58e0240,train,baba_store,BABA,9.058286
prompt_3af19f18342e341e,train,baba_store,BABA,7.76252
prompt_3c98864b4b471084,train,baba_store,BABA,5.1701336
prompt_43883cd99c6e0cf3,train,baba_store,BABA,5.964486
prompt_4f5fef81d1bb8bd6,train,baba_store,BABA,5.128295
prompt_5db34d94c7fbeda7,train,baba_store,BABA,4.7456055
prompt_7447a0355d2e611e,train,baba_store,BABA,3.6371136
prompt_7c7dffdd9104dc7b,train,baba_store,BABA,5.3700533
prompt_80f794fc19c6e187,train,baba_store,BABA,4.8932934
prompt_815039d3fbe4ea71,train,baba_store,BABA,3.485609
prompt_8af5ee5dd861bc80,train,baba_store,BABA,7.3394976
prompt_a0b3d005379d3bd6,train,baba_store,BABA,5.6857624
prompt_a6b0977808aab075,train,baba_store,BABA,6.989561
prompt_b9e11cb109a9ceaf,train,baba_store,BABA,4.0739775
prompt_c82dfacd5d4817b0,train,baba_store,BABA,4.5380697
prompt_cac0e41d95402235,train,baba_store,BABA,6.132304
prompt_cde22754860480b4,train,baba_store,BABA,5.338543
prompt_d22f94403547e62f,train,baba_store,BABA,4.9735813
prompt_e25909392bcf4bbc,train,baba_store,BABA,7.5415506
prompt_ef51f99b001a28c1,train,baba_store,BABA,3.4767847
prompt_fe372d9150e6c7b7,train,baba_store,BABA,6.86462
