measurement_order,mask_id,mask_bits,n_heads,n_P,n_B,n_E,bank,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index
95.0,mask_5f28f7710d194185,1001111011001,8,1,6,1,calibration,,,,,
96.0,mask_6154675eaa897d52,0010101000110,5,1,3,1,calibration,,,,,
97.0,mask_421a3153a506d13a,0010101101000,5,1,4,0,calibration,,,,,
98.0,mask_a598c6a2e6cf46f0,1100000000101,4,2,1,1,calibration,,,,,
99.0,mask_28a680e7a681579b,1011011000011,7,2,3,2,calibration,,,,,
100.0,mask_d1097cf14abec536,1001001010111,7,1,4,2,calibration,,,,,
101.0,mask_79b35ccf95cd0c50,1101111000000,6,2,4,0,calibration,,,,,
102.0,mask_536ee13077645711,0001011100101,6,0,5,1,calibration,,,,,
103.0,mask_a4c3fadde0ef6bdd,0011000101001,5,1,3,1,calibration,,,,,
104.0,mask_3e48965a45f779d9,0001011011100,6,0,6,0,calibration,,,,,
105.0,mask_bcb7772444c48db0,1010010011111,8,2,4,2,calibration,,,,,
106.0,mask_ab57b2b3cdd33c04,0111111111110,11,2,8,1,calibration,,,,,
107.0,mask_621ee863f0319aee,0010010000011,4,1,1,2,calibration,,,,,
108.0,mask_1aef01556b331e17,0001000000111,4,0,2,2,calibration,,,,,
109.0,mask_5176ff845b46c29d,1100100101011,7,2,3,2,calibration,,,,,
110.0,mask_8edbe5b080edcccb,1001000110000,4,1,3,0,calibration,,,,,
111.0,mask_22b564049955e657,1110010101101,8,3,4,1,calibration,,,,,
112.0,mask_63fad82facb04007,0000010110001,4,0,3,1,calibration,,,,,
113.0,mask_db216e1ef88599a0,0010111110101,8,1,6,1,calibration,,,,,
114.0,mask_1fc725bdf9474596,0111001111100,8,2,6,0,calibration,,,,,
115.0,mask_d599ed802cc1fcf1,0001110111011,8,0,6,2,calibration,,,,,
116.0,mask_2dc7da9860b4128f,0101010101110,7,1,5,1,calibration,,,,,
117.0,mask_49a1989af3b19a0f,0000101110100,5,0,5,0,calibration,,,,,
118.0,mask_0a6a05f29569ae3d,1110011010010,7,3,3,1,calibration,,,,,
119.0,mask_7f9ac1f405b6479b,1001100101011,7,1,4,2,calibration,,,,,
120.0,mask_1019c3f7eec5d612,0000101011010,5,0,4,1,calibration,,,,,
121.0,mask_897f23c50092cc57,1111101110111,11,3,6,2,calibration,,,,,
122.0,mask_786fce034f804312,0111100000001,5,2,2,1,calibration,,,,,
123.0,mask_9a7d4d3e2c7378d3,0100010000100,3,1,2,0,calibration,,,,,
124.0,mask_e35af55c5d063328,0110001110000,5,2,3,0,calibration,,,,,
125.0,mask_a21222b1ca7a2eac,0011111111100,9,1,8,0,calibration,,,,,
126.0,mask_0718f0cf08e8279f,0100001000010,3,1,1,1,calibration,,,,,
127.0,mask_e9d1bc8423b1b1ab,1111111001000,8,3,5,0,calibration,,,,,
128.0,mask_f7afe52928346f2f,0000100010111,5,0,3,2,calibration,,,,,
129.0,mask_7cbbf28d3c6f4210,1101101110001,8,2,5,1,calibration,,,,,
130.0,mask_c97894777afcc99f,0100000011011,5,1,2,2,calibration,,,,,
131.0,mask_6e233139c0727875,0111001011111,9,2,5,2,calibration,,,,,
132.0,mask_ee6496a2b75b5752,0101010110000,5,1,4,0,calibration,,,,,
133.0,mask_bebfb5cf89f39364,1011111101010,9,2,6,1,calibration,,,,,
134.0,mask_d484d5586d46cab0,0000000100110,3,0,2,1,calibration,,,,,
135.0,mask_e50eb6ec6c736e51,1010000100011,5,2,1,2,calibration,,,,,
136.0,mask_a8c021b8ce23ea18,0100111100111,8,1,5,2,calibration,,,,,
137.0,mask_98c8a6663651403f,1000110001001,5,1,3,1,calibration,,,,,
138.0,mask_5e539fd4fb4f30e0,1101100000100,5,2,3,0,calibration,,,,,
139.0,mask_542e3942e8083d7b,0000100101100,4,0,4,0,calibration,,,,,
140.0,mask_f0d425194ba71d2a,1110000001010,5,3,1,1,calibration,,,,,
141.0,mask_798fd7b7b8823049,0001110110010,6,0,5,1,calibration,,,,,
142.0,mask_1d0cf62f9f8f8c9e,1111001100011,8,3,3,2,calibration,,,,,
143.0,mask_5f82203e5411cea2,0001011100111,7,0,5,2,calibration,,,,,
144.0,mask_75e2a232004a3ec9,1000101010110,6,1,4,1,calibration,,,,,
145.0,mask_79e5fe2e8a8945fa,1010010111000,6,2,4,0,calibration,,,,,
146.0,mask_a9eee521016fc345,1110000111000,6,3,3,0,calibration,,,,,
147.0,mask_de8cae8cd26a8257,0011110110111,9,1,6,2,calibration,,,,,
148.0,mask_e43b131d21adc393,0010001001111,6,1,3,2,calibration,,,,,
149.0,mask_232bccc803d574c3,1110111110101,10,3,6,1,calibration,,,,,
150.0,mask_bb311756d276f058,0000001000011,3,0,1,2,calibration,,,,,
151.0,mask_8eb247c7f2a1e88a,0001111001101,7,0,6,1,calibration,,,,,
152.0,mask_53dd381a5d9860fa,1010011000101,6,2,3,1,calibration,,,,,
153.0,mask_09bb221bb3e0c69a,0110111001011,8,2,4,2,calibration,,,,,
154.0,mask_2994bb881ee1574a,0011100001100,5,1,4,0,calibration,,,,,
155.0,mask_c72024320345a4b0,0001001000000,2,0,2,0,calibration,,,,,
156.0,mask_86100bcd048a4056,0011100100001,5,1,3,1,calibration,,,,,
157.0,mask_039ff17d895de859,0101011101101,8,1,6,1,calibration,,,,,
158.0,mask_75509ff459ef67a5,1000000101100,4,1,3,0,calibration,,,,,
159.0,mask_764addf2adf64fbd,0111000111101,8,2,5,1,calibration,,,,,
160.0,mask_360e3e2aba762bce,1101111111111,12,2,8,2,calibration,,,,,
