prompt_id,split,template_id,structure,unordered_name_pair_id,pair_orientation,io_name,s_name,prompt,answer,counterfactual_answer,answer_token_id,counterfactual_token_id
phase7_prompt_0dbf114d593cee15,test,abba_meeting,ABBA,phase7_pair_7e9c77fa7af074a6,b_to_a,Judith,Claire,"Because Judith and Claire attended the meeting, Claire sent a short note to",Judith,Claire,39987,20758
phase7_prompt_8ed379b891d0da70,test,abba_meeting,ABBA,phase7_pair_853a69d412bf6e50,a_to_b,Bonnie,Valerie,"Because Bonnie and Valerie attended the meeting, Valerie sent a short note to",Bonnie,Valerie,39203,45603
phase7_prompt_d71821bae0134d69,test,abba_meeting,ABBA,phase7_pair_853a69d412bf6e50,b_to_a,Valerie,Bonnie,"Because Valerie and Bonnie attended the meeting, Bonnie sent a short note to",Valerie,Bonnie,45603,39203
phase7_prompt_5dd3468d38647f32,test,abba_meeting,ABBA,phase7_pair_89614fce75224967,a_to_b,Joan,Madison,"Because Joan and Madison attended the meeting, Madison sent a short note to",Joan,Madison,26640,14909
phase7_prompt_0837494703628b78,test,abba_meeting,ABBA,phase7_pair_89614fce75224967,b_to_a,Madison,Joan,"Because Madison and Joan attended the meeting, Joan sent a short note to",Madison,Joan,14909,26640
phase7_prompt_04b938915278c129,test,abba_meeting,ABBA,phase7_pair_8ae9abd37b7b8898,a_to_b,Ellie,Melissa,"Because Ellie and Melissa attended the meeting, Melissa sent a short note to",Ellie,Melissa,44801,24164
phase7_prompt_f4d071604c80fd37,test,abba_meeting,ABBA,phase7_pair_8ae9abd37b7b8898,b_to_a,Melissa,Ellie,"Because Melissa and Ellie attended the meeting, Ellie sent a short note to",Melissa,Ellie,24164,44801
phase7_prompt_877b6bc518325358,test,abba_meeting,ABBA,phase7_pair_8b8b9a7866d40805,a_to_b,Leslie,Lydia,"Because Leslie and Lydia attended the meeting, Lydia sent a short note to",Leslie,Lydia,26909,47766
phase7_prompt_dbaa4ccdbb119b9f,test,abba_meeting,ABBA,phase7_pair_8b8b9a7866d40805,b_to_a,Lydia,Leslie,"Because Lydia and Leslie attended the meeting, Leslie sent a short note to",Lydia,Leslie,47766,26909
phase7_prompt_2b5cce60e3e231e4,test,abba_meeting,ABBA,phase7_pair_a0d547120ba1438c,a_to_b,Avery,Monica,"Because Avery and Monica attended the meeting, Monica sent a short note to",Avery,Monica,29218,23240
phase7_prompt_6655cc499f14cb2c,test,abba_meeting,ABBA,phase7_pair_a0d547120ba1438c,b_to_a,Monica,Avery,"Because Monica and Avery attended the meeting, Avery sent a short note to",Monica,Avery,23240,29218
phase7_prompt_aa20ceca2b758f79,test,abba_meeting,ABBA,phase7_pair_b14d50f73032807d,a_to_b,Joshua,Sophia,"Because Joshua and Sophia attended the meeting, Sophia sent a short note to",Joshua,Sophia,20700,39953
phase7_prompt_b3b6d24b63f075d3,test,abba_meeting,ABBA,phase7_pair_b14d50f73032807d,b_to_a,Sophia,Joshua,"Because Sophia and Joshua attended the meeting, Joshua sent a short note to",Sophia,Joshua,39953,20700
phase7_prompt_6ad90b9a34a96e76,test,abba_meeting,ABBA,phase7_pair_b56f872614b96d06,a_to_b,Anna,John,"Because Anna and John attended the meeting, John sent a short note to",Anna,John,11735,1757
phase7_prompt_649af21af689d631,test,abba_meeting,ABBA,phase7_pair_b56f872614b96d06,b_to_a,John,Anna,"Because John and Anna attended the meeting, Anna sent a short note to",John,Anna,1757,11735
phase7_prompt_fbcf99807b927cf2,test,abba_meeting,ABBA,phase7_pair_bdfb26a7f56b1e9a,a_to_b,Joseph,Paul,"Because Joseph and Paul attended the meeting, Paul sent a short note to",Joseph,Paul,7212,3362
phase7_prompt_d7329ff969da8c1b,test,abba_meeting,ABBA,phase7_pair_bdfb26a7f56b1e9a,b_to_a,Paul,Joseph,"Because Paul and Joseph attended the meeting, Joseph sent a short note to",Paul,Joseph,3362,7212
phase7_prompt_a369bf7b9e3fa223,test,abba_meeting,ABBA,phase7_pair_c4cfd42f0517fb94,a_to_b,Paige,Steven,"Because Paige and Steven attended the meeting, Steven sent a short note to",Paige,Steven,42847,8239
phase7_prompt_f3bf101f16af84a4,test,abba_meeting,ABBA,phase7_pair_c4cfd42f0517fb94,b_to_a,Steven,Paige,"Because Steven and Paige attended the meeting, Paige sent a short note to",Steven,Paige,8239,42847
phase7_prompt_e241b617bb767b21,test,abba_meeting,ABBA,phase7_pair_c6919b4e946a3fb9,a_to_b,Kelly,Rita,"Because Kelly and Rita attended the meeting, Rita sent a short note to",Kelly,Rita,9077,42605
phase7_prompt_5cd102d0ce180e75,test,abba_meeting,ABBA,phase7_pair_c6919b4e946a3fb9,b_to_a,Rita,Kelly,"Because Rita and Kelly attended the meeting, Kelly sent a short note to",Rita,Kelly,42605,9077
phase7_prompt_71884890f374ae64,test,abba_meeting,ABBA,phase7_pair_c8fc9f5b7f823c5e,a_to_b,Christopher,Mia,"Because Christopher and Mia attended the meeting, Mia sent a short note to",Christopher,Mia,12803,32189
phase7_prompt_7315bedcef9af9db,test,abba_meeting,ABBA,phase7_pair_c8fc9f5b7f823c5e,b_to_a,Mia,Christopher,"Because Mia and Christopher attended the meeting, Christopher sent a short note to",Mia,Christopher,32189,12803
phase7_prompt_72f5909524befb4c,test,abba_meeting,ABBA,phase7_pair_d09e050b4dd99d67,a_to_b,Nina,Scarlett,"Because Nina and Scarlett attended the meeting, Scarlett sent a short note to",Nina,Scarlett,36300,45046
phase7_prompt_54d3f5807c3996b0,test,abba_meeting,ABBA,phase7_pair_d09e050b4dd99d67,b_to_a,Scarlett,Nina,"Because Scarlett and Nina attended the meeting, Nina sent a short note to",Scarlett,Nina,45046,36300
phase7_prompt_2a2646b4b9793b8e,test,abba_meeting,ABBA,phase7_pair_d38ce67bcb01e85d,a_to_b,Erica,Mark,"Because Erica and Mark attended the meeting, Mark sent a short note to",Erica,Mark,45187,2940
phase7_prompt_2d231d8e8a320cc9,test,abba_meeting,ABBA,phase7_pair_d38ce67bcb01e85d,b_to_a,Mark,Erica,"Because Mark and Erica attended the meeting, Erica sent a short note to",Mark,Erica,2940,45187
phase7_prompt_09152e38eb0cdbda,test,abba_meeting,ABBA,phase7_pair_db44c2acb5610f9d,a_to_b,Teresa,Victoria,"Because Teresa and Victoria attended the meeting, Victoria sent a short note to",Teresa,Victoria,34405,12313
phase7_prompt_aa5e0b1f4bbd4311,test,abba_meeting,ABBA,phase7_pair_db44c2acb5610f9d,b_to_a,Victoria,Teresa,"Because Victoria and Teresa attended the meeting, Teresa sent a short note to",Victoria,Teresa,12313,34405
phase7_prompt_6f1ba79543161bde,test,abba_meeting,ABBA,phase7_pair_e48fa907c1e3bc74,a_to_b,April,Zoe,"Because April and Zoe attended the meeting, Zoe sent a short note to",April,Zoe,3035,32280
phase7_prompt_6403570ef5232a29,test,abba_meeting,ABBA,phase7_pair_e48fa907c1e3bc74,b_to_a,Zoe,April,"Because Zoe and April attended the meeting, April sent a short note to",Zoe,April,32280,3035
phase7_prompt_239a946dfb6b3a76,test,abba_meeting,ABBA,phase7_pair_e7335226678b08f5,a_to_b,June,Martha,"Because June and Martha attended the meeting, Martha sent a short note to",June,Martha,2795,27243
phase7_prompt_fbdfc1d8ad442070,test,abba_meeting,ABBA,phase7_pair_e7335226678b08f5,b_to_a,Martha,June,"Because Martha and June attended the meeting, June sent a short note to",Martha,June,27243,2795
phase7_prompt_03717838007416c0,test,abba_meeting,ABBA,phase7_pair_e9fc6c989f4445cb,a_to_b,Leah,Rosa,"Because Leah and Rosa attended the meeting, Rosa sent a short note to",Leah,Rosa,31232,27994
phase7_prompt_e5e571bb8a74610c,test,abba_meeting,ABBA,phase7_pair_e9fc6c989f4445cb,b_to_a,Rosa,Leah,"Because Rosa and Leah attended the meeting, Leah sent a short note to",Rosa,Leah,27994,31232
phase7_prompt_f675074baaeb2026,test,abba_meeting,ABBA,phase7_pair_fa3bf6a8bde53a2d,a_to_b,Holly,Robin,"Because Holly and Robin attended the meeting, Robin sent a short note to",Holly,Robin,7764,12325
phase7_prompt_c60826acf210afe0,test,abba_meeting,ABBA,phase7_pair_fa3bf6a8bde53a2d,b_to_a,Robin,Holly,"Because Robin and Holly attended the meeting, Holly sent a short note to",Robin,Holly,12325,7764
phase7_prompt_5c94ac435d77329e,test,abba_meeting,ABBA,phase7_pair_fd9a9122baee6ea4,a_to_b,Christina,Gina,"Because Christina and Gina attended the meeting, Gina sent a short note to",Christina,Gina,33673,43002
phase7_prompt_2d0d0997a7fad60f,test,abba_meeting,ABBA,phase7_pair_fd9a9122baee6ea4,b_to_a,Gina,Christina,"Because Gina and Christina attended the meeting, Christina sent a short note to",Gina,Christina,43002,33673
phase7_prompt_11c302ebfb8d737b,test,abba_office,ABBA,phase7_pair_0c18e66c6fc56274,a_to_b,Heather,Tina,"While Heather and Tina worked in the office, Tina passed a blue folder to",Heather,Tina,24253,35903
phase7_prompt_1e457e6535a61297,test,abba_office,ABBA,phase7_pair_0c18e66c6fc56274,b_to_a,Tina,Heather,"While Tina and Heather worked in the office, Heather passed a blue folder to",Tina,Heather,35903,24253
phase7_prompt_1b86d3d7584306ef,test,abba_office,ABBA,phase7_pair_267ca827d088ceea,a_to_b,Brooke,Cheryl,"While Brooke and Cheryl worked in the office, Cheryl passed a blue folder to",Brooke,Cheryl,46459,37958
phase7_prompt_24e02e357169acaf,test,abba_office,ABBA,phase7_pair_267ca827d088ceea,b_to_a,Cheryl,Brooke,"While Cheryl and Brooke worked in the office, Brooke passed a blue folder to",Cheryl,Brooke,37958,46459
phase7_prompt_9fefcf31c794de43,test,abba_office,ABBA,phase7_pair_278ff35d65d5552a,a_to_b,Chloe,Margaret,"While Chloe and Margaret worked in the office, Margaret passed a blue folder to",Chloe,Margaret,29476,19579
phase7_prompt_46447b78744dd57d,test,abba_office,ABBA,phase7_pair_278ff35d65d5552a,b_to_a,Margaret,Chloe,"While Margaret and Chloe worked in the office, Chloe passed a blue folder to",Margaret,Chloe,19579,29476
phase7_prompt_269a66caf5e71daf,test,abba_office,ABBA,phase7_pair_2c9c638f8f4dc409,a_to_b,Eva,Wendy,"While Eva and Wendy worked in the office, Wendy passed a blue folder to",Eva,Wendy,32355,28314
phase7_prompt_857cff714317da24,test,abba_office,ABBA,phase7_pair_2c9c638f8f4dc409,b_to_a,Wendy,Eva,"While Wendy and Eva worked in the office, Eva passed a blue folder to",Wendy,Eva,28314,32355
phase7_prompt_6b37b10b3e34102a,test,abba_office,ABBA,phase7_pair_2f7e5056a93db164,a_to_b,Amelia,Anne,"While Amelia and Anne worked in the office, Anne passed a blue folder to",Amelia,Anne,49769,15397
phase7_prompt_a4b98c6a6f1fec6e,test,abba_office,ABBA,phase7_pair_2f7e5056a93db164,b_to_a,Anne,Amelia,"While Anne and Amelia worked in the office, Amelia passed a blue folder to",Anne,Amelia,15397,49769
phase7_prompt_a465aae803b65460,test,abba_office,ABBA,phase7_pair_332483d3f8db2a87,a_to_b,Marie,Natalie,"While Marie and Natalie worked in the office, Natalie passed a blue folder to",Marie,Natalie,20492,35571
phase7_prompt_d9ca0f272ae03a7c,test,abba_office,ABBA,phase7_pair_332483d3f8db2a87,b_to_a,Natalie,Marie,"While Natalie and Marie worked in the office, Marie passed a blue folder to",Natalie,Marie,35571,20492
phase7_prompt_3be64771d4fafc35,test,abba_office,ABBA,phase7_pair_33dc25959f2ae37b,a_to_b,Jill,Kimberly,"While Jill and Kimberly worked in the office, Kimberly passed a blue folder to",Jill,Kimberly,22772,48685
phase7_prompt_f58fe290571a4702,test,abba_office,ABBA,phase7_pair_33dc25959f2ae37b,b_to_a,Kimberly,Jill,"While Kimberly and Jill worked in the office, Jill passed a blue folder to",Kimberly,Jill,48685,22772
phase7_prompt_16a9a03cd2547423,test,abba_office,ABBA,phase7_pair_3c6c304726369c49,a_to_b,Judy,Virginia,"While Judy and Virginia worked in the office, Virginia passed a blue folder to",Judy,Virginia,26395,6025
phase7_prompt_d51db63eb4ebfb84,test,abba_office,ABBA,phase7_pair_3c6c304726369c49,b_to_a,Virginia,Judy,"While Virginia and Judy worked in the office, Judy passed a blue folder to",Virginia,Judy,6025,26395
phase7_prompt_6b067ba3d97df995,test,abba_office,ABBA,phase7_pair_405b9f63f2142542,a_to_b,Lisa,Maya,"While Lisa and Maya worked in the office, Maya passed a blue folder to",Lisa,Maya,15378,26041
phase7_prompt_4139014bb63f48a2,test,abba_office,ABBA,phase7_pair_405b9f63f2142542,b_to_a,Maya,Lisa,"While Maya and Lisa worked in the office, Lisa passed a blue folder to",Maya,Lisa,26041,15378
phase7_prompt_d3a2961c1707186f,test,abba_office,ABBA,phase7_pair_644a0d1ba29cc1af,a_to_b,Peggy,Sarah,"While Peggy and Sarah worked in the office, Sarah passed a blue folder to",Peggy,Sarah,40910,10490
phase7_prompt_69d598c1f4a84b6b,test,abba_office,ABBA,phase7_pair_644a0d1ba29cc1af,b_to_a,Sarah,Peggy,"While Sarah and Peggy worked in the office, Peggy passed a blue folder to",Sarah,Peggy,10490,40910
phase7_prompt_4ee22615820d64ed,test,abba_office,ABBA,phase7_pair_6cd9d7aab319ee07,a_to_b,Charlotte,Elizabeth,"While Charlotte and Elizabeth worked in the office, Elizabeth passed a blue folder to",Charlotte,Elizabeth,14685,10674
phase7_prompt_631385daac764286,test,abba_office,ABBA,phase7_pair_6cd9d7aab319ee07,b_to_a,Elizabeth,Charlotte,"While Elizabeth and Charlotte worked in the office, Charlotte passed a blue folder to",Elizabeth,Charlotte,10674,14685
phase7_prompt_764f2ef8bda078b0,test,abba_office,ABBA,phase7_pair_7d6ae98ddcd65bb9,a_to_b,Amber,Megan,"While Amber and Megan worked in the office, Megan passed a blue folder to",Amber,Megan,21896,27616
phase7_prompt_748dde15e2b56c94,test,abba_office,ABBA,phase7_pair_7d6ae98ddcd65bb9,b_to_a,Megan,Amber,"While Megan and Amber worked in the office, Amber passed a blue folder to",Megan,Amber,27616,21896
phase7_prompt_22a100c4aea35d33,test,abba_office,ABBA,phase7_pair_7e9c77fa7af074a6,a_to_b,Claire,Judith,"While Claire and Judith worked in the office, Judith passed a blue folder to",Claire,Judith,20758,39987
phase7_prompt_c1733988f328e947,test,abba_office,ABBA,phase7_pair_7e9c77fa7af074a6,b_to_a,Judith,Claire,"While Judith and Claire worked in the office, Claire passed a blue folder to",Judith,Claire,39987,20758
phase7_prompt_ca86f5825558083d,test,abba_office,ABBA,phase7_pair_853a69d412bf6e50,a_to_b,Bonnie,Valerie,"While Bonnie and Valerie worked in the office, Valerie passed a blue folder to",Bonnie,Valerie,39203,45603
phase7_prompt_8cbab91eaf81ac6e,test,abba_office,ABBA,phase7_pair_853a69d412bf6e50,b_to_a,Valerie,Bonnie,"While Valerie and Bonnie worked in the office, Bonnie passed a blue folder to",Valerie,Bonnie,45603,39203
phase7_prompt_f0634235c1ec7005,test,abba_office,ABBA,phase7_pair_89614fce75224967,a_to_b,Joan,Madison,"While Joan and Madison worked in the office, Madison passed a blue folder to",Joan,Madison,26640,14909
phase7_prompt_b8e7311219269c5f,test,abba_office,ABBA,phase7_pair_89614fce75224967,b_to_a,Madison,Joan,"While Madison and Joan worked in the office, Joan passed a blue folder to",Madison,Joan,14909,26640
phase7_prompt_c2041ca84886443f,test,abba_office,ABBA,phase7_pair_8ae9abd37b7b8898,a_to_b,Ellie,Melissa,"While Ellie and Melissa worked in the office, Melissa passed a blue folder to",Ellie,Melissa,44801,24164
phase7_prompt_279729eb05a0e44a,test,abba_office,ABBA,phase7_pair_8ae9abd37b7b8898,b_to_a,Melissa,Ellie,"While Melissa and Ellie worked in the office, Ellie passed a blue folder to",Melissa,Ellie,24164,44801
phase7_prompt_3b71684f1af1a781,test,abba_office,ABBA,phase7_pair_8b8b9a7866d40805,a_to_b,Leslie,Lydia,"While Leslie and Lydia worked in the office, Lydia passed a blue folder to",Leslie,Lydia,26909,47766
phase7_prompt_b5c1347d83cfb15d,test,abba_office,ABBA,phase7_pair_8b8b9a7866d40805,b_to_a,Lydia,Leslie,"While Lydia and Leslie worked in the office, Leslie passed a blue folder to",Lydia,Leslie,47766,26909
phase7_prompt_cbf9e2541dd3c115,test,abba_office,ABBA,phase7_pair_a0d547120ba1438c,a_to_b,Avery,Monica,"While Avery and Monica worked in the office, Monica passed a blue folder to",Avery,Monica,29218,23240
phase7_prompt_8bcca3d1c4524b0b,test,abba_office,ABBA,phase7_pair_a0d547120ba1438c,b_to_a,Monica,Avery,"While Monica and Avery worked in the office, Avery passed a blue folder to",Monica,Avery,23240,29218
phase7_prompt_2b0d2fe6463b8e6b,test,abba_office,ABBA,phase7_pair_b14d50f73032807d,a_to_b,Joshua,Sophia,"While Joshua and Sophia worked in the office, Sophia passed a blue folder to",Joshua,Sophia,20700,39953
phase7_prompt_1e2b2d2e9b5f0fa4,test,abba_office,ABBA,phase7_pair_b14d50f73032807d,b_to_a,Sophia,Joshua,"While Sophia and Joshua worked in the office, Joshua passed a blue folder to",Sophia,Joshua,39953,20700
phase7_prompt_d4e7fce1ff1f2c4c,test,abba_office,ABBA,phase7_pair_b56f872614b96d06,a_to_b,Anna,John,"While Anna and John worked in the office, John passed a blue folder to",Anna,John,11735,1757
phase7_prompt_d98d1f2a404b8b4c,test,abba_office,ABBA,phase7_pair_b56f872614b96d06,b_to_a,John,Anna,"While John and Anna worked in the office, Anna passed a blue folder to",John,Anna,1757,11735
phase7_prompt_1b31ff1510691132,test,abba_office,ABBA,phase7_pair_bdfb26a7f56b1e9a,a_to_b,Joseph,Paul,"While Joseph and Paul worked in the office, Paul passed a blue folder to",Joseph,Paul,7212,3362
phase7_prompt_29c7ac52a4689c3a,test,abba_office,ABBA,phase7_pair_bdfb26a7f56b1e9a,b_to_a,Paul,Joseph,"While Paul and Joseph worked in the office, Joseph passed a blue folder to",Paul,Joseph,3362,7212
phase7_prompt_e8f39581f079571d,test,abba_office,ABBA,phase7_pair_c4cfd42f0517fb94,a_to_b,Paige,Steven,"While Paige and Steven worked in the office, Steven passed a blue folder to",Paige,Steven,42847,8239
phase7_prompt_dac4740c8c1fcf0a,test,abba_office,ABBA,phase7_pair_c4cfd42f0517fb94,b_to_a,Steven,Paige,"While Steven and Paige worked in the office, Paige passed a blue folder to",Steven,Paige,8239,42847
phase7_prompt_d59d43723fe88ae0,test,abba_office,ABBA,phase7_pair_c6919b4e946a3fb9,a_to_b,Kelly,Rita,"While Kelly and Rita worked in the office, Rita passed a blue folder to",Kelly,Rita,9077,42605
phase7_prompt_89888f1b021fb3a7,test,abba_office,ABBA,phase7_pair_c6919b4e946a3fb9,b_to_a,Rita,Kelly,"While Rita and Kelly worked in the office, Kelly passed a blue folder to",Rita,Kelly,42605,9077
phase7_prompt_d129b24e6eff9758,test,abba_office,ABBA,phase7_pair_c8fc9f5b7f823c5e,a_to_b,Christopher,Mia,"While Christopher and Mia worked in the office, Mia passed a blue folder to",Christopher,Mia,12803,32189
phase7_prompt_20414e938a233442,test,abba_office,ABBA,phase7_pair_c8fc9f5b7f823c5e,b_to_a,Mia,Christopher,"While Mia and Christopher worked in the office, Christopher passed a blue folder to",Mia,Christopher,32189,12803
phase7_prompt_9c0c75a38e2af577,test,abba_office,ABBA,phase7_pair_d09e050b4dd99d67,a_to_b,Nina,Scarlett,"While Nina and Scarlett worked in the office, Scarlett passed a blue folder to",Nina,Scarlett,36300,45046
phase7_prompt_333fa6bfce6f5c8a,test,abba_office,ABBA,phase7_pair_d09e050b4dd99d67,b_to_a,Scarlett,Nina,"While Scarlett and Nina worked in the office, Nina passed a blue folder to",Scarlett,Nina,45046,36300
phase7_prompt_49c48383b042ca4f,test,abba_office,ABBA,phase7_pair_d38ce67bcb01e85d,a_to_b,Erica,Mark,"While Erica and Mark worked in the office, Mark passed a blue folder to",Erica,Mark,45187,2940
phase7_prompt_b6c8e47bb92ff64a,test,abba_office,ABBA,phase7_pair_d38ce67bcb01e85d,b_to_a,Mark,Erica,"While Mark and Erica worked in the office, Erica passed a blue folder to",Mark,Erica,2940,45187
phase7_prompt_11d27629410548c9,test,abba_office,ABBA,phase7_pair_db44c2acb5610f9d,a_to_b,Teresa,Victoria,"While Teresa and Victoria worked in the office, Victoria passed a blue folder to",Teresa,Victoria,34405,12313
phase7_prompt_0f61c20a4e147b66,test,abba_office,ABBA,phase7_pair_db44c2acb5610f9d,b_to_a,Victoria,Teresa,"While Victoria and Teresa worked in the office, Teresa passed a blue folder to",Victoria,Teresa,12313,34405
phase7_prompt_7249d02132e50716,test,abba_office,ABBA,phase7_pair_e48fa907c1e3bc74,a_to_b,April,Zoe,"While April and Zoe worked in the office, Zoe passed a blue folder to",April,Zoe,3035,32280
phase7_prompt_f7b453584df2e496,test,abba_office,ABBA,phase7_pair_e48fa907c1e3bc74,b_to_a,Zoe,April,"While Zoe and April worked in the office, April passed a blue folder to",Zoe,April,32280,3035
phase7_prompt_518057e437d28a82,test,abba_office,ABBA,phase7_pair_e7335226678b08f5,a_to_b,June,Martha,"While June and Martha worked in the office, Martha passed a blue folder to",June,Martha,2795,27243
phase7_prompt_1743e4144a0b10ad,test,abba_office,ABBA,phase7_pair_e7335226678b08f5,b_to_a,Martha,June,"While Martha and June worked in the office, June passed a blue folder to",Martha,June,27243,2795
phase7_prompt_95c3c548721f58c1,test,abba_office,ABBA,phase7_pair_e9fc6c989f4445cb,a_to_b,Leah,Rosa,"While Leah and Rosa worked in the office, Rosa passed a blue folder to",Leah,Rosa,31232,27994
phase7_prompt_7bdbde203dee876a,test,abba_office,ABBA,phase7_pair_e9fc6c989f4445cb,b_to_a,Rosa,Leah,"While Rosa and Leah worked in the office, Leah passed a blue folder to",Rosa,Leah,27994,31232
phase7_prompt_cb89305ca12730ae,test,abba_office,ABBA,phase7_pair_fa3bf6a8bde53a2d,a_to_b,Holly,Robin,"While Holly and Robin worked in the office, Robin passed a blue folder to",Holly,Robin,7764,12325
