subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E
32,B:10.1|B:10.6,0000010100000,"10.1,10.6",2,0,2,0,0,1,0,0,0,0
33,B:10.1|B:10.6|E:11.10,0000010100001,"10.1,10.6,11.10",3,0,2,1,0,1,1,0,0,1
34,B:10.1|B:10.6|B:11.2|E:11.10,0000010101001,"10.1,10.6,11.2,11.10",4,0,3,1,0,1,1,0,0,1
35,B:10.1|B:10.6|B:11.2|B:11.9,0000010101100,"10.1,10.6,11.2,11.9",4,0,4,0,0,1,0,0,0,0
36,B:10.1|B:10.2|B:10.6|B:10.10|B:11.9|E:11.10,0000011110101,"10.1,10.2,10.6,10.10,11.9,11.10",6,0,5,1,0,1,1,0,0,1
37,B:9.7|E:11.10,0000100000001,"9.7,11.10",2,0,1,1,0,1,1,0,0,1
38,B:9.7|E:10.7|E:11.10,0000100000011,"9.7,10.7,11.10",3,0,1,2,0,1,1,0,0,1
39,B:9.7|B:11.9|E:10.7,0000100000110,"9.7,11.9,10.7",3,0,2,1,0,1,1,0,0,1
40,B:9.7|B:11.2,0000100001000,"9.7,11.2",2,0,2,0,0,1,0,0,0,0
41,B:9.7|B:11.2|E:10.7,0000100001010,"9.7,11.2,10.7",3,0,2,1,0,1,1,0,0,1
42,B:9.7|B:11.2|B:11.9,0000100001100,"9.7,11.2,11.9",3,0,3,0,0,1,0,0,0,0
43,B:9.7|B:10.6,0000100100000,"9.7,10.6",2,0,2,0,0,1,0,0,0,0
44,B:9.7|B:10.2,0000101000000,"9.7,10.2",2,0,2,0,0,1,0,0,0,0
45,B:9.7|B:10.2|B:10.6|E:10.7,0000101100010,"9.7,10.2,10.6,10.7",4,0,3,1,0,1,1,0,0,1
46,B:9.7|B:10.2|B:10.6|B:10.10,0000101110000,"9.7,10.2,10.6,10.10",4,0,4,0,0,1,0,0,0,0
47,B:9.7|B:10.1|B:10.6|B:10.10,0000110110000,"9.7,10.1,10.6,10.10",4,0,4,0,0,1,0,0,0,0
48,B:9.7|B:10.1|B:10.6|B:10.10|B:11.9|E:11.10,0000110110101,"9.7,10.1,10.6,10.10,11.9,11.10",6,0,5,1,0,1,1,0,0,1
49,B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|E:11.10,0000111011001,"9.7,10.1,10.2,10.10,11.2,11.10",6,0,5,1,0,1,1,0,0,1
50,B:9.0|B:11.9,0001000000100,"9.0,11.9",2,0,2,0,0,1,0,0,0,0
51,B:9.0|B:11.9|E:11.10,0001000000101,"9.0,11.9,11.10",3,0,2,1,0,1,1,0,0,1
52,B:9.0|B:10.6,0001000100000,"9.0,10.6",2,0,2,0,0,1,0,0,0,0
53,B:9.0|B:10.6|E:10.7|E:11.10,0001000100011,"9.0,10.6,10.7,11.10",4,0,2,2,0,1,1,0,0,1
54,B:9.0|B:10.6|B:10.10|B:11.2|E:10.7,0001000111010,"9.0,10.6,10.10,11.2,10.7",5,0,4,1,0,1,1,0,0,1
55,B:9.0|B:10.2|B:10.10|E:10.7,0001001010010,"9.0,10.2,10.10,10.7",4,0,3,1,0,1,1,0,0,1
56,B:9.0|B:10.1,0001010000000,"9.0,10.1",2,0,2,0,0,1,0,0,0,0
57,B:9.0|B:9.7|B:10.2|B:11.9|E:10.7,0001101000110,"9.0,9.7,10.2,11.9,10.7",5,0,4,1,0,1,1,0,0,1
58,B:9.0|B:9.7|B:10.1|B:10.6,0001110100000,"9.0,9.7,10.1,10.6",4,0,4,0,0,1,0,0,0,0
59,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.9,0001111100100,"9.0,9.7,10.1,10.2,10.6,11.9",6,0,6,0,0,1,0,0,0,0
60,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2,0001111111000,"9.0,9.7,10.1,10.2,10.6,10.10,11.2",7,0,7,0,0,1,0,0,0,0
61,P:10.0|E:10.7|E:11.10,0010000000011,"10.0,10.7,11.10",3,1,0,2,1,0,1,0,1,0
62,P:10.0|B:10.10,0010000010000,"10.0,10.10",2,1,1,0,1,1,0,1,0,0
63,P:10.0|B:10.10|B:11.2|B:11.9|E:11.10,0010000011101,"10.0,10.10,11.2,11.9,11.10",5,1,3,1,1,1,1,1,1,1
64,P:10.0|B:10.2|B:11.2|E:10.7,0010001001010,"10.0,10.2,11.2,10.7",4,1,2,1,1,1,1,1,1,1
65,P:10.0|B:10.2|B:10.6|B:11.9|E:10.7,0010001100110,"10.0,10.2,10.6,11.9,10.7",5,1,3,1,1,1,1,1,1,1
66,P:10.0|B:10.2|B:10.6|B:10.10|B:11.2,0010001111000,"10.0,10.2,10.6,10.10,11.2",5,1,4,0,1,1,0,1,0,0
67,P:10.0|B:10.1|B:11.9,0010010000100,"10.0,10.1,11.9",3,1,2,0,1,1,0,1,0,0
68,P:10.0|B:10.1|B:10.6|B:11.2|E:11.10,0010010101001,"10.0,10.1,10.6,11.2,11.10",5,1,3,1,1,1,1,1,1,1
69,P:10.0|B:10.1|B:10.6|B:10.10|E:10.7,0010010110010,"10.0,10.1,10.6,10.10,10.7",5,1,3,1,1,1,1,1,1,1
70,P:10.0|B:10.1|B:10.2|B:11.9|E:11.10,0010011000101,"10.0,10.1,10.2,11.9,11.10",5,1,3,1,1,1,1,1,1,1
71,P:10.0|B:9.7,0010100000000,"10.0,9.7",2,1,1,0,1,1,0,1,0,0
72,P:10.0|B:9.7|B:10.2|E:10.7|E:11.10,0010101000011,"10.0,9.7,10.2,10.7,11.10",5,1,2,2,1,1,1,1,1,1
73,P:10.0|B:9.7|B:10.2|B:11.9|E:11.10,0010101000101,"10.0,9.7,10.2,11.9,11.10",5,1,3,1,1,1,1,1,1,1
74,P:10.0|B:9.7|B:10.1|B:11.2|B:11.9,0010110001100,"10.0,9.7,10.1,11.2,11.9",5,1,4,0,1,1,0,1,0,0
75,P:10.0|B:9.7|B:10.1|B:10.6|B:11.2|E:10.7,0010110101010,"10.0,9.7,10.1,10.6,11.2,10.7",6,1,4,1,1,1,1,1,1,1
76,P:10.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|E:10.7,0010111011010,"10.0,9.7,10.1,10.2,10.10,11.2,10.7",7,1,5,1,1,1,1,1,1,1
77,P:10.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0010111011111,"10.0,9.7,10.1,10.2,10.10,11.2,11.9,10.7,11.10",9,1,6,2,1,1,1,1,1,1
78,P:10.0|B:9.0|B:10.2|E:10.7|E:11.10,0011001000011,"10.0,9.0,10.2,10.7,11.10",5,1,2,2,1,1,1,1,1,1
79,P:10.0|B:9.0|B:9.7|B:10.2|B:10.6|B:10.10,0011101110000,"10.0,9.0,9.7,10.2,10.6,10.10",6,1,5,0,1,1,0,1,0,0
80,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:11.9|E:10.7|E:11.10,0011111000111,"10.0,9.0,9.7,10.1,10.2,11.9,10.7,11.10",8,1,5,2,1,1,1,1,1,1
81,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|E:10.7,0011111011010,"10.0,9.0,9.7,10.1,10.2,10.10,11.2,10.7",8,1,6,1,1,1,1,1,1,1
82,P:9.6|B:10.2|E:11.10,0100001000001,"9.6,10.2,11.10",3,1,1,1,1,1,1,1,1,1
83,P:9.6|B:10.2|E:10.7|E:11.10,0100001000011,"9.6,10.2,10.7,11.10",4,1,1,2,1,1,1,1,1,1
84,P:9.6|B:10.2|B:10.6,0100001100000,"9.6,10.2,10.6",3,1,2,0,1,1,0,1,0,0
85,P:9.6|B:10.2|B:10.6|B:10.10|B:11.2,0100001111000,"9.6,10.2,10.6,10.10,11.2",5,1,4,0,1,1,0,1,0,0
86,P:9.6|B:10.1|B:11.2|E:11.10,0100010001001,"9.6,10.1,11.2,11.10",4,1,2,1,1,1,1,1,1,1
87,P:9.6|B:9.7|B:10.2|B:10.10|B:11.2|B:11.9,0100101011100,"9.6,9.7,10.2,10.10,11.2,11.9",6,1,5,0,1,1,0,1,0,0
88,P:9.6|B:9.7|B:10.2|B:10.6|B:10.10|B:11.9|E:11.10,0100101110101,"9.6,9.7,10.2,10.6,10.10,11.9,11.10",7,1,5,1,1,1,1,1,1,1
89,P:9.6|B:9.7|B:10.1|B:10.10|B:11.2|B:11.9,0100110011100,"9.6,9.7,10.1,10.10,11.2,11.9",6,1,5,0,1,1,0,1,0,0
90,P:9.6|B:9.7|B:10.1|B:10.6|B:11.2|E:10.7,0100110101010,"9.6,9.7,10.1,10.6,11.2,10.7",6,1,4,1,1,1,1,1,1,1
91,P:9.6|B:9.0|E:10.7,0101000000010,"9.6,9.0,10.7",3,1,1,1,1,1,1,1,1,1
92,P:9.6|B:9.0|B:10.6|B:10.10|E:11.10,0101000110001,"9.6,9.0,10.6,10.10,11.10",5,1,3,1,1,1,1,1,1,1
93,P:9.6|B:9.0|B:10.1|B:10.6|B:11.9|E:10.7,0101010100110,"9.6,9.0,10.1,10.6,11.9,10.7",6,1,4,1,1,1,1,1,1,1
94,P:9.6|B:9.0|B:9.7,0101100000000,"9.6,9.0,9.7",3,1,2,0,1,1,0,1,0,0
95,P:9.6|B:9.0|B:9.7|B:10.2|B:10.6|E:10.7|E:11.10,0101101100011,"9.6,9.0,9.7,10.2,10.6,10.7,11.10",7,1,4,2,1,1,1,1,1,1
96,P:9.6|B:9.0|B:9.7|B:10.1|B:10.6|B:11.9,0101110100100,"9.6,9.0,9.7,10.1,10.6,11.9",6,1,5,0,1,1,0,1,0,0
97,P:9.6|P:10.0|B:11.2|E:11.10,0110000001001,"9.6,10.0,11.2,11.10",4,2,1,1,1,1,1,1,1,1
98,P:9.6|P:10.0|B:11.2|B:11.9|E:10.7|E:11.10,0110000001111,"9.6,10.0,11.2,11.9,10.7,11.10",6,2,2,2,1,1,1,1,1,1
99,P:9.6|P:10.0|B:10.6|B:10.10,0110000110000,"9.6,10.0,10.6,10.10",4,2,2,0,1,1,0,1,0,0
100,P:9.6|P:10.0|B:10.2|B:10.10,0110001010000,"9.6,10.0,10.2,10.10",4,2,2,0,1,1,0,1,0,0
101,P:9.6|P:10.0|B:9.7,0110100000000,"9.6,10.0,9.7",3,2,1,0,1,1,0,1,0,0
102,P:9.6|P:10.0|B:9.7|B:10.2|B:11.2|B:11.9|E:10.7,0110101001110,"9.6,10.0,9.7,10.2,11.2,11.9,10.7",7,2,4,1,1,1,1,1,1,1
103,P:9.6|P:10.0|B:9.7|B:10.2|B:10.6,0110101100000,"9.6,10.0,9.7,10.2,10.6",5,2,3,0,1,1,0,1,0,0
104,P:9.6|P:10.0|B:9.7|B:10.1|B:11.2|B:11.9|E:10.7|E:11.10,0110110001111,"9.6,10.0,9.7,10.1,11.2,11.9,10.7,11.10",8,2,4,2,1,1,1,1,1,1
105,P:9.6|P:10.0|B:9.0|B:10.10,0111000010000,"9.6,10.0,9.0,10.10",4,2,2,0,1,1,0,1,0,0
106,P:9.6|P:10.0|B:9.0|B:10.1|B:10.2|B:10.6|B:11.9|E:10.7|E:11.10,0111011100111,"9.6,10.0,9.0,10.1,10.2,10.6,11.9,10.7,11.10",9,2,5,2,1,1,1,1,1,1
107,P:9.6|P:10.0|B:9.0|B:9.7|B:10.2,0111101000000,"9.6,10.0,9.0,9.7,10.2",5,2,3,0,1,1,0,1,0,0
108,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0111111111100,"9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",10,2,8,0,1,1,0,1,0,0
109,P:9.9|B:10.10|B:11.2|B:11.9|E:10.7,1000000011110,"9.9,10.10,11.2,11.9,10.7",5,1,3,1,1,1,1,1,1,1
110,P:9.9|B:10.6,1000000100000,"9.9,10.6",2,1,1,0,1,1,0,1,0,0
111,P:9.9|B:10.6|E:10.7|E:11.10,1000000100011,"9.9,10.6,10.7,11.10",4,1,1,2,1,1,1,1,1,1
112,P:9.9|B:10.6|B:11.2|B:11.9|E:10.7|E:11.10,1000000101111,"9.9,10.6,11.2,11.9,10.7,11.10",6,1,3,2,1,1,1,1,1,1
113,P:9.9|B:10.2|B:10.6|B:11.2,1000001101000,"9.9,10.2,10.6,11.2",4,1,3,0,1,1,0,1,0,0
114,P:9.9|B:10.1|B:10.2|E:10.7,1000011000010,"9.9,10.1,10.2,10.7",4,1,2,1,1,1,1,1,1,1
115,P:9.9|B:10.1|B:10.2|B:11.2|E:11.10,1000011001001,"9.9,10.1,10.2,11.2,11.10",5,1,3,1,1,1,1,1,1,1
116,P:9.9|B:9.7|E:11.10,1000100000001,"9.9,9.7,11.10",3,1,1,1,1,1,1,1,1,1
117,P:9.9|B:9.7|E:10.7|E:11.10,1000100000011,"9.9,9.7,10.7,11.10",4,1,1,2,1,1,1,1,1,1
118,P:9.9|B:9.7|B:10.6|E:10.7,1000100100010,"9.9,9.7,10.6,10.7",4,1,2,1,1,1,1,1,1,1
119,P:9.9|B:9.7|B:10.6|B:11.2|B:11.9,1000100101100,"9.9,9.7,10.6,11.2,11.9",5,1,4,0,1,1,0,1,0,0
120,P:9.9|B:9.7|B:10.1|B:10.10|E:11.10,1000110010001,"9.9,9.7,10.1,10.10,11.10",5,1,3,1,1,1,1,1,1,1
121,P:9.9|B:9.0|B:10.10|E:10.7|E:11.10,1001000010011,"9.9,9.0,10.10,10.7,11.10",5,1,2,2,1,1,1,1,1,1
122,P:9.9|B:9.0|B:10.2|B:10.6,1001001100000,"9.9,9.0,10.2,10.6",4,1,3,0,1,1,0,1,0,0
123,P:9.9|B:9.0|B:10.1|B:11.2|E:10.7,1001010001010,"9.9,9.0,10.1,11.2,10.7",5,1,3,1,1,1,1,1,1,1
124,P:9.9|P:10.0,1010000000000,"9.9,10.0",2,2,0,0,1,0,0,0,0,0
125,P:9.9|P:10.0|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,1010000111101,"9.9,10.0,10.6,10.10,11.2,11.9,11.10",7,2,4,1,1,1,1,1,1,1
126,P:9.9|P:10.0|B:10.2|B:10.10|B:11.9|E:10.7,1010001010110,"9.9,10.0,10.2,10.10,11.9,10.7",6,2,3,1,1,1,1,1,1,1
127,P:9.9|P:10.0|B:10.1|B:10.2,1010011000000,"9.9,10.0,10.1,10.2",4,2,2,0,1,1,0,1,0,0
128,P:9.9|P:10.0|B:9.7|E:11.10,1010100000001,"9.9,10.0,9.7,11.10",4,2,1,1,1,1,1,1,1,1
129,P:9.9|P:10.0|B:9.7|B:10.6|B:11.2|E:10.7|E:11.10,1010100101011,"9.9,10.0,9.7,10.6,11.2,10.7,11.10",7,2,3,2,1,1,1,1,1,1
130,P:9.9|P:10.0|B:9.7|B:10.2|B:10.10|E:11.10,1010101010001,"9.9,10.0,9.7,10.2,10.10,11.10",6,2,3,1,1,1,1,1,1,1
131,P:9.9|P:10.0|B:9.7|B:10.1|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,1010110111101,"9.9,10.0,9.7,10.1,10.6,10.10,11.2,11.9,11.10",9,2,6,1,1,1,1,1,1,1
132,P:9.9|P:10.0|B:9.0|B:10.2|B:10.6|E:10.7,1011001100010,"9.9,10.0,9.0,10.2,10.6,10.7",6,2,3,1,1,1,1,1,1,1
133,P:9.9|P:9.6|B:11.2|B:11.9,1100000001100,"9.9,9.6,11.2,11.9",4,2,2,0,1,1,0,1,0,0
134,P:9.9|P:9.6|B:10.6|E:10.7,1100000100010,"9.9,9.6,10.6,10.7",4,2,1,1,1,1,1,1,1,1
135,P:9.9|P:9.6|B:10.2|B:10.6|B:11.2|E:10.7,1100001101010,"9.9,9.6,10.2,10.6,11.2,10.7",6,2,3,1,1,1,1,1,1,1
136,P:9.9|P:9.6|B:9.7|B:10.10|B:11.2|B:11.9|E:10.7,1100100011110,"9.9,9.6,9.7,10.10,11.2,11.9,10.7",7,2,4,1,1,1,1,1,1,1
137,P:9.9|P:9.6|B:9.0,1101000000000,"9.9,9.6,9.0",3,2,1,0,1,1,0,1,0,0
138,P:9.9|P:9.6|B:9.0|B:10.2|E:11.10,1101001000001,"9.9,9.6,9.0,10.2,11.10",5,2,2,1,1,1,1,1,1,1
139,P:9.9|P:9.6|B:9.0|B:10.2|B:11.2|B:11.9|E:10.7,1101001001110,"9.9,9.6,9.0,10.2,11.2,11.9,10.7",7,2,4,1,1,1,1,1,1,1
140,P:9.9|P:9.6|B:9.0|B:10.2|B:10.6|E:11.10,1101001100001,"9.9,9.6,9.0,10.2,10.6,11.10",6,2,3,1,1,1,1,1,1,1
141,P:9.9|P:9.6|B:9.0|B:10.1|B:10.6|B:10.10|E:11.10,1101010110001,"9.9,9.6,9.0,10.1,10.6,10.10,11.10",7,2,4,1,1,1,1,1,1,1
142,P:9.9|P:9.6|B:9.0|B:9.7|B:10.10|E:10.7|E:11.10,1101100010011,"9.9,9.6,9.0,9.7,10.10,10.7,11.10",7,2,3,2,1,1,1,1,1,1
143,P:9.9|P:9.6|B:9.0|B:9.7|B:10.1|B:10.6|B:10.10|B:11.2|E:10.7,1101110111010,"9.9,9.6,9.0,9.7,10.1,10.6,10.10,11.2,10.7",9,2,6,1,1,1,1,1,1,1
144,P:9.9|P:9.6|P:10.0|B:10.6|B:11.9,1110000100100,"9.9,9.6,10.0,10.6,11.9",5,3,2,0,1,1,0,1,0,0
145,P:9.9|P:9.6|P:10.0|B:10.6|B:10.10|E:11.10,1110000110001,"9.9,9.6,10.0,10.6,10.10,11.10",6,3,2,1,1,1,1,1,1,1
146,P:9.9|P:9.6|P:10.0|B:10.1|B:10.2,1110011000000,"9.9,9.6,10.0,10.1,10.2",5,3,2,0,1,1,0,1,0,0
147,P:9.9|P:9.6|P:10.0|B:9.7|B:10.2|B:10.10|B:11.2|B:11.9|E:11.10,1110101011101,"9.9,9.6,10.0,9.7,10.2,10.10,11.2,11.9,11.10",9,3,5,1,1,1,1,1,1,1
148,P:9.9|P:9.6|P:10.0|B:9.7|B:10.2|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,1110101011111,"9.9,9.6,10.0,9.7,10.2,10.10,11.2,11.9,10.7,11.10",10,3,5,2,1,1,1,1,1,1
149,P:9.9|P:9.6|P:10.0|B:9.7|B:10.1|B:10.6|E:11.10,1110110100001,"9.9,9.6,10.0,9.7,10.1,10.6,11.10",7,3,3,1,1,1,1,1,1,1
150,P:9.9|P:9.6|P:10.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.9|E:10.7|E:11.10,1110111010111,"9.9,9.6,10.0,9.7,10.1,10.2,10.10,11.9,10.7,11.10",10,3,5,2,1,1,1,1,1,1
151,P:9.9|P:9.6|P:10.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.9|E:10.7,1110111100110,"9.9,9.6,10.0,9.7,10.1,10.2,10.6,11.9,10.7",9,3,5,1,1,1,1,1,1,1
152,P:9.9|P:9.6|P:10.0|B:9.0|B:10.1|B:11.9,1111010000100,"9.9,9.6,10.0,9.0,10.1,11.9",6,3,3,0,1,1,0,1,0,0
153,P:9.9|P:9.6|P:10.0|B:9.0|B:10.1|B:10.2,1111011000000,"9.9,9.6,10.0,9.0,10.1,10.2",6,3,3,0,1,1,0,1,0,0
154,P:9.9|P:9.6|P:10.0|B:9.0|B:10.1|B:10.2|B:10.6|B:10.10|E:10.7,1111011110010,"9.9,9.6,10.0,9.0,10.1,10.2,10.6,10.10,10.7",9,3,5,1,1,1,1,1,1,1
155,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.2|B:10.10|B:11.2|B:11.9|E:11.10,1111101011101,"9.9,9.6,10.0,9.0,9.7,10.2,10.10,11.2,11.9,11.10",10,3,6,1,1,1,1,1,1,1
156,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.2|B:10.6|B:11.2|B:11.9|E:10.7,1111101101110,"9.9,9.6,10.0,9.0,9.7,10.2,10.6,11.2,11.9,10.7",10,3,6,1,1,1,1,1,1,1
157,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|E:11.10,1111110000001,"9.9,9.6,10.0,9.0,9.7,10.1,11.10",7,3,3,1,1,1,1,1,1,1
158,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:11.2|B:11.9|E:10.7|E:11.10,1111111001111,"9.9,9.6,10.0,9.0,9.7,10.1,10.2,11.2,11.9,10.7,11.10",11,3,6,2,1,1,1,1,1,1
159,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.9|E:10.7|E:11.10,1111111100111,"9.9,9.6,10.0,9.0,9.7,10.1,10.2,10.6,11.9,10.7,11.10",11,3,6,2,1,1,1,1,1,1
