prompt_id,split,template_id,structure,unordered_name_pair_id,clean_ld
phase6_prompt_a5963bda825c3696,train,p6_baba_museum,BABA,phase6_train_pair_8d853d0ee2b4b7fb,2.0389452
phase6_prompt_abc31a9b196e056a,train,p6_baba_museum,BABA,phase6_train_pair_f836ba8e1f19df21,-0.5393114
phase6_prompt_acf479e87d957aa9,train,p6_baba_museum,BABA,phase6_train_pair_0df12497c7da3f0e,0.7162285
phase6_prompt_b1785212ffc75db3,train,p6_baba_museum,BABA,phase6_train_pair_fa21d5f10124a0da,2.6430407
phase6_prompt_d93817a00de06844,train,p6_baba_museum,BABA,phase6_train_pair_0d62383ca0580f70,-1.658968
phase6_prompt_db95b69916b75e6c,train,p6_baba_museum,BABA,phase6_train_pair_2f7bfcbe9fd7ccc3,1.0268736
phase6_prompt_ed0b0de85295a5fa,train,p6_baba_museum,BABA,phase6_train_pair_fb093f2190954be0,1.0011015
phase6_prompt_f97420e5cc7391b0,train,p6_baba_museum,BABA,phase6_train_pair_0296e81ac5250787,-0.24262238
phase6_prompt_fcd03066e8d6d817,train,p6_baba_museum,BABA,phase6_train_pair_97c286fb49b43435,2.6913834
phase6_prompt_0afc2584f7bbe347,train,p6_baba_train,BABA,phase6_train_pair_36d47e27c6c49e69,1.629096
phase6_prompt_13b56ff398ee63ca,train,p6_baba_train,BABA,phase6_train_pair_5cac6b1d3117caa9,1.5832739
phase6_prompt_2a33f539a78c6706,train,p6_baba_train,BABA,phase6_train_pair_e68c610dc65be0d7,-0.069937706
phase6_prompt_3f2d744eb57fedf3,train,p6_baba_train,BABA,phase6_train_pair_e83d9d25e57fb535,1.1795931
phase6_prompt_4059d153eea6a035,train,p6_baba_train,BABA,phase6_train_pair_62665ed1a98139d5,1.5868006
phase6_prompt_41c02332d9c7a4af,train,p6_baba_train,BABA,phase6_train_pair_9caf9506c0e2d65d,2.9388742
phase6_prompt_4f3e7c55b54f6ea1,train,p6_baba_train,BABA,phase6_train_pair_c8800df3e0f528dd,2.943719
phase6_prompt_53dc2b21763dee92,train,p6_baba_train,BABA,phase6_train_pair_e338a4f2107e116d,1.2786751
phase6_prompt_59dcd089e13d6ed7,train,p6_baba_train,BABA,phase6_train_pair_0cb59f76f0d7aaf0,1.0230913
phase6_prompt_767a654a4040fe0b,train,p6_baba_train,BABA,phase6_train_pair_7d87b776c508bd6a,-0.058095932
phase6_prompt_768c909d7ca26a38,train,p6_baba_train,BABA,phase6_train_pair_0d62383ca0580f70,1.0476456
phase6_prompt_81ddf2d6390b0ccc,train,p6_baba_train,BABA,phase6_train_pair_e2c0fbd4d4c66748,1.6834822
phase6_prompt_9dd28e63ff909ca7,train,p6_baba_train,BABA,phase6_train_pair_9eb4d171e3466b7b,1.9707718
phase6_prompt_9f80d866c686a4c6,train,p6_baba_train,BABA,phase6_train_pair_26f1699b67e6e59e,2.4787827
phase6_prompt_a167767ebf6ac2fd,train,p6_baba_train,BABA,phase6_train_pair_afd33de33187928a,2.231308
phase6_prompt_b5eb48353be7c07a,train,p6_baba_train,BABA,phase6_train_pair_ba76b1e3a7610dfc,1.8781805
phase6_prompt_b7884c253fd7a370,train,p6_baba_train,BABA,phase6_train_pair_0296e81ac5250787,1.1347113
phase6_prompt_c69457090d4f3474,train,p6_baba_train,BABA,phase6_train_pair_f0bb54171b45eefa,2.6590223
phase6_prompt_cbd87e815caa881e,train,p6_baba_train,BABA,phase6_train_pair_dd643b0101ba35e4,1.725996
phase6_prompt_e7e5f13dc66318a9,train,p6_baba_train,BABA,phase6_train_pair_ce79b3edfc3502f7,0.8677101
phase6_prompt_ec6a461dd73c6cc9,train,p6_baba_train,BABA,phase6_train_pair_d6c955d93bb40ee2,0.9892931
phase6_prompt_ec94ffd5da3def87,train,p6_baba_train,BABA,phase6_train_pair_f296624461514bee,0.45480728
phase6_prompt_f26de96ad223c74a,train,p6_baba_train,BABA,phase6_train_pair_4aec8ec1c10014a3,3.4866428
phase6_prompt_fa5c063ea233b618,train,p6_baba_train,BABA,phase6_train_pair_8d853d0ee2b4b7fb,2.4331226
