measurement_budget,model,ridge,fold,mae
16,quadratic,10,2,0.29245946617613139
16,quadratic,10,3,0.72144587205935895
16,quadratic,10,4,0.40160315827743087
16,quadratic,10,-1,0.40879039044467919
40,no_effect,0,-1,0.74919589505880135
40,additive,9.9999999999999995e-07,0,0.096807988775468173
40,additive,9.9999999999999995e-07,1,0.068139859593913374
40,additive,9.9999999999999995e-07,2,0.076502714452195836
40,additive,9.9999999999999995e-07,3,0.069772027126771885
40,additive,9.9999999999999995e-07,4,0.081788976788850484
40,additive,9.9999999999999995e-07,-1,0.078602313347439959
40,additive,0.0001,0,0.096808954667741628
40,additive,0.0001,1,0.068131944807198919
40,additive,0.0001,2,0.076502801846808216
40,additive,0.0001,3,0.069771181744258753
40,additive,0.0001,4,0.081791808423051213
40,additive,0.0001,-1,0.078601338297811754
40,additive,0.01,0,0.09690529960926085
40,additive,0.01,1,0.067342316597695823
40,additive,0.01,2,0.076511071390447979
40,additive,0.01,3,0.069687325261204802
40,additive,0.01,4,0.082074114578056093
40,additive,0.01,-1,0.078504025487333109
40,additive,0.10000000000000001,0,0.097759735348178153
40,additive,0.10000000000000001,1,0.06032786636882953
40,additive,0.10000000000000001,2,0.07654514142703045
40,additive,0.10000000000000001,3,0.069404176442381976
40,additive,0.10000000000000001,4,0.084564984453006198
40,additive,0.10000000000000001,-1,0.077720380807885264
40,additive,1,0,0.12461052912343153
40,additive,1,1,0.046564435699984016
40,additive,1,2,0.073999653006711283
40,additive,1,3,0.1008894328594231
40,additive,1,4,0.12692516304448168
40,additive,1,-1,0.094597842746806313
40,additive,10,0,0.41444009470336174
40,additive,10,1,0.28326363943160771
40,additive,10,2,0.2219470526207277
40,additive,10,3,0.43274575387504166
40,additive,10,4,0.30257190702110576
40,additive,10,-1,0.3309936895303689
40,quadratic,9.9999999999999995e-07,0,0.022923472552372436
40,quadratic,9.9999999999999995e-07,1,0.036298998585198347
40,quadratic,9.9999999999999995e-07,2,0.067118387096322021
40,quadratic,9.9999999999999995e-07,3,0.0153087462526359
40,quadratic,9.9999999999999995e-07,4,0.0087136667378992089
40,quadratic,9.9999999999999995e-07,-1,0.030072654244885578
40,quadratic,0.0001,0,0.023005708518514596
40,quadratic,0.0001,1,0.036281265950331591
40,quadratic,0.0001,2,0.067246684908916499
40,quadratic,0.0001,3,0.015416063517123747
40,quadratic,0.0001,4,0.0088789677191931926
40,quadratic,0.0001,-1,0.030165738122815922
40,quadratic,0.01,0,0.04253043783538632
40,quadratic,0.01,1,0.036066210723833307
40,quadratic,0.01,2,0.076793283973352722
40,quadratic,0.01,3,0.027585635497629244
40,quadratic,0.01,4,0.025730841388310208
40,quadratic,0.01,-1,0.041741281883702366
40,quadratic,0.10000000000000001,0,0.10049230727731015
40,quadratic,0.10000000000000001,1,0.047750969466290295
40,quadratic,0.10000000000000001,2,0.12218972388541927
40,quadratic,0.10000000000000001,3,0.053826504602620603
40,quadratic,0.10000000000000001,4,0.069822147335707851
40,quadratic,0.10000000000000001,-1,0.078816330513469632
40,quadratic,1,0,0.12558058134069588
40,quadratic,1,1,0.12120496701740031
40,quadratic,1,2,0.15926011586787728
40,quadratic,1,3,0.065772367242874497
40,quadratic,1,4,0.081078671253629483
40,quadratic,1,-1,0.11057934054449547
40,quadratic,10,0,0.2554782568940614
40,quadratic,10,1,0.31168283124757912
40,quadratic,10,2,0.27900348745424169
40,quadratic,10,3,0.24572235115465035
40,quadratic,10,4,0.2105095420679356
40,quadratic,10,-1,0.26047929376369361
64,no_effect,0,-1,1.1364123034782097
64,additive,9.9999999999999995e-07,0,0.10025598593012412
64,additive,9.9999999999999995e-07,1,0.12323258229675337
64,additive,9.9999999999999995e-07,2,0.099900642159762854
64,additive,9.9999999999999995e-07,3,0.072981239891762667
64,additive,9.9999999999999995e-07,4,0.11052804756328811
64,additive,9.9999999999999995e-07,-1,0.10137969956833823
64,additive,0.0001,0,0.10025637381573226
64,additive,0.0001,1,0.12323250111227112
64,additive,0.0001,2,0.099898707277932708
64,additive,0.0001,3,0.072981459341227087
64,additive,0.0001,4,0.1105328328838245
64,additive,0.0001,-1,0.10138037488619753
64,additive,0.01,0,0.10029490811122145
64,additive,0.01,1,0.12322428486618528
64,additive,0.01,2,0.099705356364338166
64,additive,0.01,3,0.073003344040039803
64,additive,0.01,4,0.11101098695300272
64,additive,0.01,-1,0.1014477760669575
64,additive,0.10000000000000001,0,0.10062261074159798
64,additive,0.10000000000000001,1,0.12314099729103088
64,additive,0.10000000000000001,2,0.098038494942809223
64,additive,0.10000000000000001,3,0.073196907225165739
64,additive,0.10000000000000001,4,0.11532379989890607
64,additive,0.10000000000000001,-1,0.10206456201990197
64,additive,1,0,0.10728337610462141
64,additive,1,1,0.12955952862236678
64,additive,1,2,0.087813312865037921
64,additive,1,3,0.08171414872037995
64,additive,1,4,0.15601737169092453
64,additive,1,-1,0.11247754760066613
64,additive,10,0,0.25196159091562781
64,additive,10,1,0.2635709647932844
64,additive,10,2,0.27225375555399223
64,additive,10,3,0.31257997750549316
64,additive,10,4,0.43922404048752162
64,additive,10,-1,0.30791806585118386
64,quadratic,9.9999999999999995e-07,0,0.0060766012695695239
64,quadratic,9.9999999999999995e-07,1,0.014135394670685789
64,quadratic,9.9999999999999995e-07,2,0.0097215772229051998
64,quadratic,9.9999999999999995e-07,3,0.009575344754555461
64,quadratic,9.9999999999999995e-07,4,0.0084947580133280572
64,quadratic,9.9999999999999995e-07,-1,0.0096007351862088079
64,quadratic,0.0001,0,0.006048569227161682
64,quadratic,0.0001,1,0.014155223499710965
64,quadratic,0.0001,2,0.0097402641472817721
64,quadratic,0.0001,3,0.0095636846714511718
64,quadratic,0.0001,4,0.008486725143537684
64,quadratic,0.0001,-1,0.0095988933378286546
64,quadratic,0.01,0,0.0053195344856602038
64,quadratic,0.01,1,0.016273597894504957
64,quadratic,0.01,2,0.011758282447393013
64,quadratic,0.01,3,0.0099415579710508215
64,quadratic,0.01,4,0.010186580157221507
64,quadratic,0.01,-1,0.0106959105911661
64,quadratic,0.10000000000000001,0,0.0315407563192713
64,quadratic,0.10000000000000001,1,0.032576402807778938
64,quadratic,0.10000000000000001,2,0.026575137694428888
64,quadratic,0.10000000000000001,3,0.037620844712953558
64,quadratic,0.10000000000000001,4,0.02406824181545544
64,quadratic,0.10000000000000001,-1,0.030476276669977626
64,quadratic,1,0,0.11283130514249586
64,quadratic,1,1,0.066095769016400366
64,quadratic,1,2,0.06478732087530345
64,quadratic,1,3,0.12360581780070658
64,quadratic,1,4,0.057610595727785686
64,quadratic,1,-1,0.084986161712538394
64,quadratic,10,0,0.2281421077873747
64,quadratic,10,1,0.16707486844513264
64,quadratic,10,2,0.13791557419884634
64,quadratic,10,3,0.27158939685166911
64,quadratic,10,4,0.15857929912671512
64,quadratic,10,-1,0.19266024928194755
128,no_effect,0,-1,1.404586725212539
128,additive,9.9999999999999995e-07,0,0.11956554520463857
128,additive,9.9999999999999995e-07,1,0.11327189197553661
128,additive,9.9999999999999995e-07,2,0.099369377805069631
128,additive,9.9999999999999995e-07,3,0.11592052095338054
128,additive,9.9999999999999995e-07,4,0.1135143531318684
128,additive,9.9999999999999995e-07,-1,0.11232833781409876
128,additive,0.0001,0,0.11956676050750382
128,additive,0.0001,1,0.11327104931698241
128,additive,0.0001,2,0.099369098489839533
128,additive,0.0001,3,0.11592003160117283
128,additive,0.0001,4,0.11351400869690165
128,additive,0.0001,-1,0.11232818972248004
128,additive,0.01,0,0.11968824719774525
128,additive,0.01,1,0.11318682298176894
128,additive,0.01,2,0.099341183518613846
128,additive,0.01,3,0.11587110917386358
128,additive,0.01,4,0.11347957202781053
128,additive,0.01,-1,0.11231338697996043
128,additive,0.10000000000000001,0,0.12078872536903083
128,additive,0.10000000000000001,1,0.11242470120973651
128,additive,0.10000000000000001,2,0.099088905444859252
128,additive,0.10000000000000001,3,0.11542751911893728
128,additive,0.10000000000000001,4,0.11316713004419392
128,additive,0.10000000000000001,-1,0.11217939623735156
128,additive,1,0,0.13457616841631073
128,additive,1,1,0.10588650103843603
128,additive,1,2,0.098149399639692061
128,additive,1,3,0.11110386428301616
128,additive,1,4,0.11010263551720779
128,additive,1,-1,0.11196371377893255
128,additive,10,0,0.31942546170857383
128,additive,10,1,0.17522919353250227
128,additive,10,2,0.2305119511736618
128,additive,10,3,0.1618685027459999
128,additive,10,4,0.17955561866660819
128,additive,10,-1,0.21331814556546921
128,quadratic,9.9999999999999995e-07,0,0.0063763731690366929
128,quadratic,9.9999999999999995e-07,1,0.0083089625022118446
128,quadratic,9.9999999999999995e-07,2,0.0084955598619939308
128,quadratic,9.9999999999999995e-07,3,0.0084176338416914256
128,quadratic,9.9999999999999995e-07,4,0.0089185041740389229
128,quadratic,9.9999999999999995e-07,-1,0.0081034067097945622
128,quadratic,0.0001,0,0.0063770729027425137
128,quadratic,0.0001,1,0.008310656562394601
128,quadratic,0.0001,2,0.0084907643551310145
128,quadratic,0.0001,3,0.0084197445994137459
128,quadratic,0.0001,4,0.0089192618037661139
128,quadratic,0.0001,-1,0.0081035000446895971
128,quadratic,0.01,0,0.0064465646003400287
128,quadratic,0.01,1,0.008521754886758541
128,quadratic,0.01,2,0.0080136429176504275
128,quadratic,0.01,3,0.0086811877246777414
128,quadratic,0.01,4,0.0089944536595194264
128,quadratic,0.01,-1,0.0081315207577892339
128,quadratic,0.10000000000000001,0,0.011300710470186583
128,quadratic,0.10000000000000001,1,0.012411090496989128
128,quadratic,0.10000000000000001,2,0.0073266147197155428
128,quadratic,0.10000000000000001,3,0.012076029197221998
128,quadratic,0.10000000000000001,4,0.013644689095170505
128,quadratic,0.10000000000000001,-1,0.011351826795856753
128,quadratic,1,0,0.060728761368407685
128,quadratic,1,1,0.054764092184097099
128,quadratic,1,2,0.046355456032792883
128,quadratic,1,3,0.039629348272175048
128,quadratic,1,4,0.052450230848056299
128,quadratic,1,-1,0.0507855777411058
128,quadratic,10,0,0.1142498962261303
128,quadratic,10,1,0.16561714404545227
128,quadratic,10,2,0.13789599054310461
128,quadratic,10,3,0.094253146737689628
128,quadratic,10,4,0.10509680334044241
128,quadratic,10,-1,0.12342259617856385
