measurement_budget,model,ridge,term,coefficient
64,additive,9.9999999999999995e-07,head_1,0.91823860247940958
64,additive,9.9999999999999995e-07,head_2,0.41642340242125464
64,additive,9.9999999999999995e-07,head_3,0.32101137586469092
64,additive,9.9999999999999995e-07,head_4,0.34952680214945409
64,additive,9.9999999999999995e-07,head_5,0.23465505159737654
64,additive,9.9999999999999995e-07,head_6,0.14411182380303597
64,additive,9.9999999999999995e-07,head_7,0.097603658677317393
64,quadratic,0.0001,intercept,-0.0063149929742607469
64,quadratic,0.0001,head_0,0.80959122209958778
64,quadratic,0.0001,head_1,0.72942395878475597
64,quadratic,0.0001,head_2,0.36490207358570392
64,quadratic,0.0001,head_3,0.2622246899161218
64,quadratic,0.0001,head_4,0.2396785713743862
64,quadratic,0.0001,head_5,0.14254072819513497
64,quadratic,0.0001,head_6,0.084337332955697897
64,quadratic,0.0001,head_7,0.07387916978729249
64,quadratic,0.0001,head_0:head_1,0.42434271425418568
64,quadratic,0.0001,head_0:head_2,-0.029833834185876935
64,quadratic,0.0001,head_0:head_3,0.022871970285411505
64,quadratic,0.0001,head_0:head_4,0.036355773660954965
64,quadratic,0.0001,head_0:head_5,0.023311220858353337
64,quadratic,0.0001,head_0:head_6,0.0064201589867180393
64,quadratic,0.0001,head_0:head_7,0.033234779213325759
64,quadratic,0.0001,head_1:head_2,-0.0058019322812622271
64,quadratic,0.0001,head_1:head_3,0.063008580852427137
64,quadratic,0.0001,head_1:head_4,0.085907986572676884
64,quadratic,0.0001,head_1:head_5,0.034150760769989297
64,quadratic,0.0001,head_1:head_6,0.015787101790679089
64,quadratic,0.0001,head_1:head_7,0.039452156553315694
64,quadratic,0.0001,head_2:head_3,-0.0092332139746083321
64,quadratic,0.0001,head_2:head_4,-0.012287636359622104
64,quadratic,0.0001,head_2:head_5,-0.00539130007192456
64,quadratic,0.0001,head_2:head_6,0.00090974529084487834
64,quadratic,0.0001,head_2:head_7,0.0054790943790890556
64,quadratic,0.0001,head_3:head_4,0.110911738072467
64,quadratic,0.0001,head_3:head_5,0.0049625355443602762
64,quadratic,0.0001,head_3:head_6,0.022146357379528237
64,quadratic,0.0001,head_3:head_7,-0.012291767781936113
64,quadratic,0.0001,head_4:head_5,0.008772559545946414
64,quadratic,0.0001,head_4:head_6,0.0087289363464188585
64,quadratic,0.0001,head_4:head_7,-0.0085798479350133305
64,quadratic,0.0001,head_5:head_6,0.014653813019330348
64,quadratic,0.0001,head_5:head_7,-0.0035826330329027448
64,quadratic,0.0001,head_6:head_7,0.0052687665335181873
128,no_effect,0,intercept,0
128,additive,1,intercept,-0.1553615660762489
128,additive,1,head_0,1.0333988073024309
128,additive,1,head_1,0.984525637133562
128,additive,1,head_2,0.35410239844232277
128,additive,1,head_3,0.33260302712412432
128,additive,1,head_4,0.34109294735644879
128,additive,1,head_5,0.18297195387715995
128,additive,1,head_6,0.1304464891389773
128,additive,1,head_7,0.094572041520330608
128,quadratic,9.9999999999999995e-07,intercept,-0.015424413285089852
128,quadratic,9.9999999999999995e-07,head_0,0.81470577744403472
128,quadratic,9.9999999999999995e-07,head_1,0.7349623171882238
128,quadratic,9.9999999999999995e-07,head_2,0.3752081849117439
128,quadratic,9.9999999999999995e-07,head_3,0.26629350950884395
128,quadratic,9.9999999999999995e-07,head_4,0.24430852493847605
128,quadratic,9.9999999999999995e-07,head_5,0.14761518054026407
128,quadratic,9.9999999999999995e-07,head_6,0.087248788190741458
128,quadratic,9.9999999999999995e-07,head_7,0.081325507272176537
128,quadratic,9.9999999999999995e-07,head_0:head_1,0.42914413288651521
128,quadratic,9.9999999999999995e-07,head_0:head_2,-0.039653985188540894
128,quadratic,9.9999999999999995e-07,head_0:head_3,0.028991630678876095
128,quadratic,9.9999999999999995e-07,head_0:head_4,0.040328533511745139
128,quadratic,9.9999999999999995e-07,head_0:head_5,0.022582473562364768
128,quadratic,9.9999999999999995e-07,head_0:head_6,0.0078445694612948643
128,quadratic,9.9999999999999995e-07,head_0:head_7,0.033781322188602199
128,quadratic,9.9999999999999995e-07,head_1:head_2,-0.021601161396475815
128,quadratic,9.9999999999999995e-07,head_1:head_3,0.068817033229220378
128,quadratic,9.9999999999999995e-07,head_1:head_4,0.09231217000747563
128,quadratic,9.9999999999999995e-07,head_1:head_5,0.032184233257525931
128,quadratic,9.9999999999999995e-07,head_1:head_6,0.012651933184318558
128,quadratic,9.9999999999999995e-07,head_1:head_7,0.039826872739238725
128,quadratic,9.9999999999999995e-07,head_2:head_3,-0.012006036913473173
128,quadratic,9.9999999999999995e-07,head_2:head_4,-0.014503354435247208
128,quadratic,9.9999999999999995e-07,head_2:head_5,-0.0029735544754605353
128,quadratic,9.9999999999999995e-07,head_2:head_6,-0.0018061707448879508
128,quadratic,9.9999999999999995e-07,head_2:head_7,0.0090138203084351564
128,quadratic,9.9999999999999995e-07,head_3:head_4,0.11290698644805197
128,quadratic,9.9999999999999995e-07,head_3:head_5,-0.0014943736916668922
128,quadratic,9.9999999999999995e-07,head_3:head_6,0.029917567395246064
128,quadratic,9.9999999999999995e-07,head_3:head_7,-0.019883297592551811
128,quadratic,9.9999999999999995e-07,head_4:head_5,0.0052071615152302813
128,quadratic,9.9999999999999995e-07,head_4:head_6,0.016404569496377568
128,quadratic,9.9999999999999995e-07,head_4:head_7,-0.01796266196225918
128,quadratic,9.9999999999999995e-07,head_5:head_6,0.011183287209104636
128,quadratic,9.9999999999999995e-07,head_5:head_7,-0.0054010230665243152
128,quadratic,9.9999999999999995e-07,head_6:head_7,-0.0012533708500780305
