example_idx,delta_integrated_squared_error_fo_minus_lifted,delta_integrated_absolute_error_fo_minus_lifted,delta_final_target_abs_error_fo_minus_lifted,delta_final_target_squared_error_fo_minus_lifted,delta_cumulative_collateral_abs_fo_minus_lifted,delta_final_collateral_abs_fo_minus_lifted,delta_actuation_energy_l1_fo_minus_lifted,delta_observer_bias_abs_mean_fo_minus_lifted,delta_max_abs_error_fo_minus_lifted,delta_final_over_initial_squared_error_fo_minus_lifted
25,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
26,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
27,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
28,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
29,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
30,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
31,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
32,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
33,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
34,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
35,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
36,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
37,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
38,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
39,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
40,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
41,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
42,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
43,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
44,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
45,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
46,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
47,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
48,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
49,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
50,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
51,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
52,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
53,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
54,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
55,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
56,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
57,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
58,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
59,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
60,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
61,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
62,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
63,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
64,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
65,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
66,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
67,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
68,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
69,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
70,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
71,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
72,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
73,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
74,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
75,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
76,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
77,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
78,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
79,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
80,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
81,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
82,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
83,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
84,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
85,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
86,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
87,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
88,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
89,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
90,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
91,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
92,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
93,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
94,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
95,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
96,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
97,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
98,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
99,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
100,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
101,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
102,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
103,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
104,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
105,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
106,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
107,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
108,2.0895154492946155e-08,4.879795563184075e-07,6.66816751537791e-08,4.281264582651004e-09,1.7979589095329374e-08,2.202829252340166e-09,5.903029733356213e-07,4.691476307785991e-08,6.66816751537791e-08,4.281264773986493e-05
109,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
110,-6.699157873400752e-08,-9.780532877479153e-07,-1.2711622854322258e-07,-1.3009558581886932e-08,-3.230420664301903e-08,-3.9834883169831414e-09,-1.1176122689526835e-06,-9.283531622605867e-08,-1.2711622854322258e-07,-0.00013009583395628965
111,-9.940478366225053e-09,-1.394552584077502e-06,2.2730628057576752e-07,2.435069556607075e-10,5.943647207740099e-08,7.306157234765465e-09,2.0050092756351834e-06,-1.1922363520044943e-08,0.0,2.435074201140308e-06
112,-2.5033034337703514e-08,-8.354837861546116e-07,-1.2405013455341063e-07,-5.531476037412206e-09,-3.190678865561125e-08,-3.929213510112106e-09,-1.0921450172562963e-06,-8.234404378498761e-08,-1.2405013455341063e-07,-5.53148658788416e-05
