comparison_id,claim_role,candidate_selector_family,candidate_model,reference_selector_family,reference_model,policy,metric,target_scope,targets,row_count,reference_mean,candidate_mean,mean,relative_reduction_fraction,q025,q975,bootstrap_repeats
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,cost_aware,cost_aware_objective_reduction,target_1,1,24576,1.1018732655211352,1.0493034375885812,0.05256982793255399,0.04770950487458364,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,absolute_target_loss_reduction,target_1.5_stress,1.5,24576,1.3866863317865257,1.3629904586511354,0.023695873135390382,0.017088127712964477,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,within_tolerance_improvement,target_1.5_stress,1.5,24576,0.06742350260416667,0.09004720052083333,0.022623697916666668,,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,cost_aware,cost_aware_objective_reduction,target_1.5_stress,1.5,24576,1.5037259473418818,1.4887085444185264,0.015017402923355518,0.009986795100464681,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,absolute_target_loss_reduction,all_three_pooled,"0.5,1,1.5",73728,1.0346443684732851,1.009377432637848,0.025266935835437227,0.02442088953977584,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,within_tolerance_improvement,all_three_pooled,"0.5,1,1.5",73728,0.1438259548611111,0.1550021701388889,0.011176215277777778,,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,cost_aware,cost_aware_objective_reduction,all_three_pooled,"0.5,1,1.5",73728,1.1365873522740892,1.1109438395802864,0.02564351269380294,0.022561849419224383,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,absolute_target_loss_reduction,primary_pooled,"0.5,1",49152,0.863129189965548,0.8325709196312042,0.030558270334343735,0.03540405154825488,-0.021157178251451116,0.078829896710522,5000
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,within_tolerance_improvement,primary_pooled,"0.5,1",49152,0.18100992838541666,0.18747965494791666,0.0064697265625,,-0.005208841959635416,0.017395528157552072,5000
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,cost_aware,cost_aware_objective_reduction,primary_pooled,"0.5,1",49152,0.966178617028442,0.9220614871611664,0.04411712986727556,0.04566146371874928,-0.006689987652081376,0.09436200475397831,5000
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,absolute_target_loss_reduction,target_0.5,0.5,24576,0.7198150463712712,0.7069535437816133,0.012861502589657903,0.017867787919265177,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,within_tolerance_improvement,target_0.5,0.5,24576,0.23075358072916666,0.2301025390625,-0.0006510416666666666,,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,cost_aware,cost_aware_objective_reduction,target_0.5,0.5,24576,0.8214157962915488,0.7948195367337515,0.026596259557797264,0.032378558676216807,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,absolute_target_loss_reduction,target_1,1,24576,1.0064433335598248,0.9581882954807952,0.04825503807902957,0.04794610532949712,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,within_tolerance_improvement,target_1,1,24576,0.13126627604166666,0.14485677083333334,0.013590494791666666,,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,cost_aware,cost_aware_objective_reduction,target_1,1,24576,1.1109414377653353,1.0493034375885812,0.06163800017675386,0.055482672696716605,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,absolute_target_loss_reduction,target_1.5_stress,1.5,24576,1.3963317887391895,1.3629904586511354,0.03334133008805414,0.023877799214296714,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,within_tolerance_improvement,target_1.5_stress,1.5,24576,0.0679931640625,0.09004720052083333,0.022054036458333332,,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,cost_aware,cost_aware_objective_reduction,target_1.5_stress,1.5,24576,1.5204555971423785,1.4887085444185264,0.031747052723852316,0.020879960443119377,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,absolute_target_loss_reduction,all_three_pooled,"0.5,1,1.5",73728,1.0408633895567618,1.009377432637848,0.03148595691891387,0.030249845690433742,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,target_loss,within_tolerance_improvement,all_three_pooled,"0.5,1,1.5",73728,0.1433376736111111,0.1550021701388889,0.011664496527777778,,,,0
H2_secondary_vs_count,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,count_additive,cost_aware,cost_aware_objective_reduction,all_three_pooled,"0.5,1,1.5",73728,1.150937610399754,1.1109438395802864,0.039993770819467804,0.034748860805388755,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,primary_pooled,"0.5,1",49152,1.0766507619409822,0.8325709196312042,0.24407984230977794,0.22670289283941217,0.11912255681357542,0.39854511026981826,5000
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,primary_pooled,"0.5,1",49152,0.15743001302083334,0.18747965494791666,0.030049641927083332,,0.012186686197916664,0.04974365234374999,5000
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,primary_pooled,"0.5,1",49152,1.2230508827980764,0.9220614871611664,0.3009893956369099,0.2460971983016039,0.16614271294368277,0.46494605318089194,5000
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,target_0.5,0.5,24576,1.008815156063065,0.7069535437816133,0.30186161228145164,0.2992239068448146,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,target_0.5,0.5,24576,0.1656494140625,0.2301025390625,0.064453125,,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,target_0.5,0.5,24576,1.1544592013730048,0.7948195367337515,0.3596396646392532,0.3115221951642221,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,target_1,1,24576,1.1444863678188995,0.9581882954807952,0.18629807233810425,0.16277876047850276,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,target_1,1,24576,0.14921061197916666,0.14485677083333334,-0.004353841145833333,,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,target_1,1,24576,1.291642564223148,1.0493034375885812,0.24233912663456672,0.18762088935983648,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,target_1.5_stress,1.5,24576,1.4104130524210632,1.3629904586511354,0.04742259376992782,0.03362319548058914,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,target_1.5_stress,1.5,24576,0.10310872395833333,0.09004720052083333,-0.0130615234375,,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,target_1.5_stress,1.5,24576,1.5615443990007043,1.4887085444185264,0.0728358545821781,0.0466434733644389,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,all_three_pooled,"0.5,1,1.5",73728,1.187904858767676,1.009377432637848,0.1785274261298279,0.15028764703852712,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,all_three_pooled,"0.5,1,1.5",73728,0.13932291666666666,0.1550021701388889,0.015679253472222224,,,,0
Jensen_parameter_count_sensitivity,prespecified_sensitivity,direct_risk,head_pair_quadratic_screen,target_specific_jensen_score,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,all_three_pooled,"0.5,1,1.5",73728,1.3358820548656192,1.1109438395802864,0.22493821528533264,0.16838179273840154,,,0
