observer,pool_id,target,selected_mask_id,selected_head_count,predicted_effect,actual_mean_effect,action_loss
all_pairs,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.5643353786743823,0.6893157474696636,1.3477625511586666
all_pairs,candidate_pool_01,0.5,mask_304d12adafdb81c3,6,0.4945649194501123,0.18163736909627914,1.091994047164917
all_pairs,candidate_pool_01,1.0,mask_76f706be2ab175f0,7,0.9392685560213444,1.4245532639324665,1.1126946099102497
all_pairs,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.5122570305897165,1.2009678706526756,1.2965879887342453
all_pairs,candidate_pool_02,0.5,mask_c36034d7c9cf0b25,7,0.5024528576428726,0.2918559219688177,0.9413351025432348
all_pairs,candidate_pool_02,1.0,mask_ab59149b00e47e01,7,1.0080879407419094,0.5497520677745342,1.4997452832758427
all_pairs,candidate_pool_02,1.5,mask_053a16108482e172,6,1.317664514094976,1.0440625697374344,0.8662022799253464
all_pairs,candidate_pool_03,0.5,mask_8e19964bc0ea5bd6,8,0.5722724119177186,0.28365904465317726,1.1320688463747501
all_pairs,candidate_pool_03,1.0,mask_30716df5e75daa97,7,0.9310945888870203,1.0189636312425137,0.8354000188410282
all_pairs,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.1398481264278075,1.6592938229441643,0.9623276218771935
all_pairs,candidate_pool_04,0.5,mask_8f5eca4cbcfcb5db,6,0.4511944544546732,1.0981242135167122,1.163027971982956
all_pairs,candidate_pool_04,1.0,mask_7fb6ffeb6bd8fc1f,7,1.0046182248008113,1.1873233243823051,0.8770371153950691
all_pairs,candidate_pool_04,1.5,mask_cafa56ef6c77bde9,10,1.3663809100472502,1.8739627338945866,1.0795962698757648
all_pairs,candidate_pool_05,0.5,mask_22c097f7c153bb13,9,0.4897235812811443,1.2663389518857002,1.1711079627275467
all_pairs,candidate_pool_05,1.0,mask_cf672502900b1ca1,10,0.9816866426904146,0.6571320630609989,0.8437626920640469
all_pairs,candidate_pool_05,1.5,mask_290a3cb1caf906c3,10,1.5053923922742185,1.541157990694046,0.9267526343464851
all_pairs,candidate_pool_06,0.5,mask_382e0bf880e4af69,5,0.4988374044075155,0.41580065339803696,0.8874682560563087
all_pairs,candidate_pool_06,1.0,mask_f16ce08b0ff70796,6,1.036667269632035,1.3671446926891804,1.3114817775785923
all_pairs,candidate_pool_06,1.5,mask_c22a533faf194bc5,7,1.3217457130422527,1.1465954519808292,0.8227050192654133
all_pairs,candidate_pool_07,0.5,mask_6c3e3315afb6fb8c,4,0.4874368644443607,0.7261184342205524,0.6924917288124561
all_pairs,candidate_pool_07,1.0,mask_2261c8e54842bff6,8,0.9478031312790112,1.23215888813138,0.849881436675787
all_pairs,candidate_pool_07,1.5,mask_83fe021aaca96bf0,5,1.4555916497633108,1.13290785998106,0.8752756118774414
all_pairs,candidate_pool_08,0.5,mask_bda88699e1e7badf,7,0.5166760491484231,-0.008206404745578766,1.1493318676948547
all_pairs,candidate_pool_08,1.0,mask_77740b198a0b3a94,6,0.9703838549351828,1.3795700334012508,0.9165757484734058
all_pairs,candidate_pool_08,1.5,mask_1ee94a6fab0d1183,8,1.4132261294516022,1.2876235470175743,1.0672975480556488
all_pairs,candidate_pool_09,0.5,mask_99b322f566a2bc85,6,0.5475496232980778,1.3720855861902237,1.025285817682743
all_pairs,candidate_pool_09,1.0,mask_6000c95aa8146da6,7,0.9417175674411972,0.9855005294084549,0.8552601486444473
all_pairs,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.505759129775449,1.18296342715621,0.8204556219279766
atp_calibrated,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.4157447386682336,-0.14714495837688446,1.1639850437641144
atp_calibrated,candidate_pool_00,1.0,mask_b55f4fdddb0ed7df,7,1.0063729566599726,1.5893577430397272,1.1553228963166475
atp_calibrated,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.4678438708536365,0.6893157474696636,1.3477625511586666
atp_calibrated,candidate_pool_01,0.5,mask_3cd97f4a74d408b8,10,0.47943689105100346,1.0243458524346352,1.359089158475399
atp_calibrated,candidate_pool_01,1.0,mask_d34cab07e9bf4ded,4,1.0246456188151574,0.6021221093833447,0.8938709907233715
atp_calibrated,candidate_pool_01,1.5,mask_88feb37e4997bcb0,7,1.384720300084032,1.656294446438551,1.0341072119772434
atp_calibrated,candidate_pool_02,0.5,mask_053a16108482e172,6,0.4956050782876697,1.0440625697374344,0.9102527052164078
atp_calibrated,candidate_pool_02,1.0,mask_267196af5474f7ae,8,1.0120072612354734,1.6753639206290245,1.4321105405688286
atp_calibrated,candidate_pool_02,1.5,mask_267196af5474f7ae,8,1.0120072612354734,1.6753639206290245,1.3531247526407242
atp_calibrated,candidate_pool_03,0.5,mask_e3bfff07ca1cabef,9,0.6108695667359191,0.3943452090024948,1.136538840830326
atp_calibrated,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.0107825364663265,0.8194096349179745,1.0915862433612347
atp_calibrated,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.2567068928212086,1.6592938229441643,0.9623276218771935
atp_calibrated,candidate_pool_04,0.5,mask_93f84412f1b2de39,7,0.5377167982834365,0.6359814777970314,0.7250357046723366
atp_calibrated,candidate_pool_04,1.0,mask_6d2e3876c8f68db8,9,1.0525490112703242,1.106049656867981,0.9499495401978493
atp_calibrated,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.0525490112703242,1.106049656867981,1.027840979397297
atp_calibrated,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.41492918777999743,0.7785920202732086,0.7262071520090103
atp_calibrated,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.1682431002110305,1.5147219635546207,0.93521723523736
atp_calibrated,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.2178409973448752,1.188171662390232,0.9420501589775085
atp_calibrated,candidate_pool_06,0.5,mask_f2b097d9ab973b9b,7,0.5317365093056408,0.7454984411597252,0.7483365088701248
atp_calibrated,candidate_pool_06,1.0,mask_8a4903df460893e2,6,0.8650433468214044,0.6909704282879829,0.9152915701270103
atp_calibrated,candidate_pool_06,1.5,mask_8a4903df460893e2,6,0.8650433468214044,0.6909704282879829,1.1124593615531921
atp_calibrated,candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.5671908177469945,0.3446212187409401,0.9509362354874611
atp_calibrated,candidate_pool_07,1.0,mask_83fe021aaca96bf0,5,1.2069178047362918,1.13290785998106,0.7885417938232422
atp_calibrated,candidate_pool_07,1.5,mask_d43daec0a2f27dc1,8,1.4536867057698781,2.02377050742507,1.1549357064068317
atp_calibrated,candidate_pool_08,0.5,mask_331502b1b3b7fde3,6,0.4573238404432612,1.205121848732233,1.0451688878238201
atp_calibrated,candidate_pool_08,1.0,mask_a842b06af7760b08,4,0.8081684189421556,0.39828971773386,0.925181619822979
atp_calibrated,candidate_pool_08,1.5,mask_a842b06af7760b08,4,0.8081684189421556,0.39828971773386,1.2209569960832596
atp_calibrated,candidate_pool_09,0.5,mask_a3021efcfb81527e,5,0.41011043409273285,-0.2370622158050537,0.9571855515241623
atp_calibrated,candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.187953741636394,1.0132530108094215,0.9079892411828041
atp_calibrated,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.187953741636394,1.0132530108094215,0.9883587807416916
atp_raw,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.4905529066454619,-0.14714495837688446,1.1639850437641144
atp_raw,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,0.9639963610946627,0.9489731825888157,0.8403022922575474
atp_raw,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.7319643771212823,0.6893157474696636,1.3477625511586666
atp_raw,candidate_pool_01,0.5,mask_3cd97f4a74d408b8,10,0.5657056808740892,1.0243458524346352,1.359089158475399
atp_raw,candidate_pool_01,1.0,mask_16dc2167f216f5a8,5,0.8676412261144529,0.49206481501460075,0.9496643580496311
atp_raw,candidate_pool_01,1.5,mask_4d3f046ece5f8214,9,1.5014237093115905,1.7566625587642193,0.9253086559474468
atp_raw,candidate_pool_02,0.5,mask_8539d49577e1ed9d,9,0.49886323783600073,1.7622173093259335,1.5049279816448689
atp_raw,candidate_pool_02,1.0,mask_3c9ed4cc352cbb27,5,0.9218008420029946,0.5670716911554337,0.910904623568058
atp_raw,candidate_pool_02,1.5,mask_267196af5474f7ae,8,1.194105558943799,1.6753639206290245,1.3531247526407242
atp_raw,candidate_pool_03,0.5,mask_5b90a18db67578c0,5,0.3528024905523732,0.750802256166935,1.1671052351593971
atp_raw,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.192660459969678,0.8194096349179745,1.0915862433612347
atp_raw,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.482835888794701,1.6592938229441643,0.9623276218771935
atp_raw,candidate_pool_04,0.5,mask_5d6868f3c7cf99b3,6,0.44401376234357803,1.2173143848776817,1.0382878631353378
atp_raw,candidate_pool_04,1.0,mask_8b7737474604b389,8,0.8205036026799157,1.4271649047732353,0.9027631655335426
atp_raw,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.2419422997857812,1.106049656867981,1.027840979397297
atp_raw,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.48959060737494536,0.7785920202732086,0.7262071520090103
atp_raw,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.3784541214226922,1.5147219635546207,0.93521723523736
atp_raw,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.43697655199018,1.188171662390232,0.9420501589775085
atp_raw,candidate_pool_06,0.5,mask_72750b59b18d6c0c,4,0.5158928625533008,0.7849939614534378,0.7510041669011116
atp_raw,candidate_pool_06,1.0,mask_8a4903df460893e2,6,1.020697290161479,0.6909704282879829,0.9152915701270103
atp_raw,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.020697290161479,0.6909704282879829,1.1124593615531921
atp_raw,candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.6692498506648312,0.3446212187409401,0.9509362354874611
atp_raw,candidate_pool_07,1.0,mask_21e5e4333c6fc40a,6,0.6692498506648312,0.3446212187409401,1.0858050808310509
atp_raw,candidate_pool_07,1.5,mask_73324c4014b4a4c2,4,1.5234251764486544,1.2049836702644825,1.0452301688492298
atp_raw,candidate_pool_08,0.5,mask_8dc1386ad4524dcb,5,0.5343351964572018,-0.3858671970665455,1.1268501169979572
atp_raw,candidate_pool_08,1.0,mask_a842b06af7760b08,4,0.9535884163948746,0.39828971773386,0.925181619822979
atp_raw,candidate_pool_08,1.5,mask_a842b06af7760b08,4,0.9535884163948746,0.39828971773386,1.2209569960832596
atp_raw,candidate_pool_09,0.5,mask_a3021efcfb81527e,5,0.48390477804787224,-0.2370622158050537,0.9571855515241623
atp_raw,candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.4017114510861577,1.0132530108094215,0.9079892411828041
atp_raw,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.4017114510861577,1.0132530108094215,0.9883587807416916
analytic_noop,candidate_pool_00,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_00,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_00,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_01,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_01,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_01,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_02,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_02,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_02,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_03,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_03,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_03,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_04,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_04,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_04,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_05,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_05,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_05,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_06,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_06,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_06,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_07,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_07,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_07,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_08,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_08,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_08,1.5,analytic_noop,0,0.0,0.0,1.5
analytic_noop,candidate_pool_09,0.5,analytic_noop,0,0.0,0.0,0.5
analytic_noop,candidate_pool_09,1.0,analytic_noop,0,0.0,0.0,1.0
analytic_noop,candidate_pool_09,1.5,analytic_noop,0,0.0,0.0,1.5
