variant,concealment,measurement_fraction,observer,total_loss,loss_min,loss_max,missed_severity,clean_utility
cross-agent-origin,0.0,1.0,random,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,0.0,1.0,uncertainty-severity,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,0.5,0.0,missing-first,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
cross-agent-origin,0.5,0.0,periodic,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
cross-agent-origin,0.5,0.0,random,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
cross-agent-origin,0.5,0.0,uncertainty-severity,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
cross-agent-origin,0.5,0.02,missing-first,0.11300000000000002,0.08170000000000001,0.1637,0.3944293407437297,0.9949993542689137
cross-agent-origin,0.5,0.02,periodic,0.1258,0.0867,0.1727,0.4402083903048723,0.9947879361146861
cross-agent-origin,0.5,0.02,random,0.12575,0.08470000000000001,0.1857,0.4407333107301591,0.9948937002902177
cross-agent-origin,0.5,0.02,uncertainty-severity,0.11695,0.07970000000000001,0.16870000000000002,0.4178001839610731,0.9977864911665664
cross-agent-origin,0.5,0.05,missing-first,0.09390000000000001,0.058,0.14,0.3241994037432089,0.995684139792583
cross-agent-origin,0.5,0.05,periodic,0.12225,0.083,0.182,0.42833720205443165,0.9951561446078345
cross-agent-origin,0.5,0.05,random,0.122,0.074,0.174,0.4274201740823142,0.9951556485957717
cross-agent-origin,0.5,0.05,uncertainty-severity,0.09595000000000001,0.067,0.135,0.34264956461883095,0.9985778115555671
cross-agent-origin,0.5,0.1,missing-first,0.07150000000000001,0.0455,0.1035,0.2435187733989951,0.9968412399196748
cross-agent-origin,0.5,0.1,periodic,0.11495,0.0815,0.1635,0.4023252369703427,0.9957355637569394
cross-agent-origin,0.5,0.1,random,0.11535,0.0745,0.17250000000000001,0.40294815391151173,0.9957877392009111
cross-agent-origin,0.5,0.1,uncertainty-severity,0.0698,0.043500000000000004,0.0985,0.2478749043829686,0.9998421606065637
cross-agent-origin,0.5,0.25,missing-first,0.052550000000000006,0.028999999999999998,0.08600000000000001,0.16843121723414153,0.99715720788611
cross-agent-origin,0.5,0.25,periodic,0.09715,0.056,0.144,0.33159812921854226,0.9966309780775815
cross-agent-origin,0.5,0.25,random,0.0946,0.056,0.14800000000000002,0.32621767028895055,0.9971049625108528
cross-agent-origin,0.5,0.25,uncertainty-severity,0.045,0.026000000000000002,0.076,0.15103847341959495,0.9999474237644584
cross-agent-origin,0.5,1.0,missing-first,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,0.5,1.0,periodic,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,0.5,1.0,random,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,0.5,1.0,uncertainty-severity,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,1.0,0.0,missing-first,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
cross-agent-origin,1.0,0.0,periodic,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
cross-agent-origin,1.0,0.0,random,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
cross-agent-origin,1.0,0.0,uncertainty-severity,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
cross-agent-origin,1.0,0.02,missing-first,0.1823,0.13670000000000002,0.24770000000000003,0.6138623368456863,0.984142529248435
cross-agent-origin,1.0,0.02,periodic,0.20865,0.1487,0.29769999999999996,0.7018787990447922,0.9816664734935436
cross-agent-origin,1.0,0.02,random,0.20929999999999999,0.1617,0.28469999999999995,0.7047150356364846,0.9816122324114398
cross-agent-origin,1.0,0.02,uncertainty-severity,0.1823,0.13670000000000002,0.24770000000000003,0.6138623368456863,0.984142529248435
cross-agent-origin,1.0,0.05,missing-first,0.158,0.118,0.213,0.5369925131840747,0.987515917282167
cross-agent-origin,1.0,0.05,periodic,0.20154999999999998,0.157,0.284,0.6801755749810657,0.982716527279709
cross-agent-origin,1.0,0.05,random,0.20070000000000002,0.157,0.276,0.675147618975948,0.9825605211971506
cross-agent-origin,1.0,0.05,uncertainty-severity,0.15785,0.118,0.213,0.5369925131840747,0.9876748717549099
cross-agent-origin,1.0,0.1,missing-first,0.12835000000000002,0.0945,0.1855,0.4448706741220653,0.9931584620378147
cross-agent-origin,1.0,0.1,periodic,0.1924,0.1275,0.2555,0.6483563309669323,0.9838281639098462
cross-agent-origin,1.0,0.1,random,0.19,0.1565,0.2665,0.6387897361248334,0.9842473834945583
cross-agent-origin,1.0,0.1,uncertainty-severity,0.12795,0.0945,0.1805,0.4433523796824225,0.9931585193810992
cross-agent-origin,1.0,0.25,missing-first,0.0885,0.053000000000000005,0.129,0.3137202440978972,1.0
cross-agent-origin,1.0,0.25,periodic,0.15705,0.11700000000000002,0.219,0.5246099448649214,0.9880941435930396
cross-agent-origin,1.0,0.25,random,0.1572,0.126,0.245,0.5311062550038509,0.9894158114265895
cross-agent-origin,1.0,0.25,uncertainty-severity,0.07970000000000001,0.051000000000000004,0.11,0.28070965135709197,0.9996326771016962
cross-agent-origin,1.0,1.0,missing-first,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,1.0,1.0,periodic,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,1.0,1.0,random,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,1.0,1.0,uncertainty-severity,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.0,0.0,missing-first,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
pending-operation,0.0,0.0,periodic,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
pending-operation,0.0,0.0,random,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
pending-operation,0.0,0.0,uncertainty-severity,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
pending-operation,0.0,0.02,missing-first,0.004350000000000001,0.0017000000000000001,0.009700000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.02,periodic,0.004350000000000001,0.0017000000000000001,0.009700000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.02,random,0.004350000000000001,0.0017000000000000001,0.009700000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.02,uncertainty-severity,0.004350000000000001,0.0017000000000000001,0.0097,0.00922920713368373,1.0
pending-operation,0.0,0.05,missing-first,0.0046500000000000005,0.002,0.010000000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.05,periodic,0.0046500000000000005,0.002,0.010000000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.05,random,0.00465,0.002,0.01,0.00922920713368373,1.0
pending-operation,0.0,0.05,uncertainty-severity,0.00465,0.002,0.01,0.00922920713368373,1.0
pending-operation,0.0,0.1,missing-first,0.00515,0.0025,0.010500000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.1,periodic,0.00515,0.0025,0.010499999999999999,0.00922920713368373,1.0
pending-operation,0.0,0.1,random,0.00515,0.0025,0.010500000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.1,uncertainty-severity,0.00515,0.0025,0.010499999999999999,0.00922920713368373,1.0
pending-operation,0.0,0.25,missing-first,0.0066500000000000005,0.004,0.012000000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.25,periodic,0.0066500000000000005,0.004,0.012,0.00922920713368373,1.0
pending-operation,0.0,0.25,random,0.0066500000000000005,0.004,0.012000000000000002,0.00922920713368373,1.0
pending-operation,0.0,0.25,uncertainty-severity,0.0066500000000000005,0.004,0.012,0.00922920713368373,1.0
pending-operation,0.0,1.0,missing-first,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.0,1.0,periodic,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.0,1.0,random,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.0,1.0,uncertainty-severity,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.5,0.0,missing-first,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
pending-operation,0.5,0.0,periodic,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
pending-operation,0.5,0.0,random,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
pending-operation,0.5,0.0,uncertainty-severity,0.12865,0.0865,0.1855,0.4517704497100846,0.9947354702175192
pending-operation,0.5,0.02,missing-first,0.11300000000000002,0.08170000000000001,0.1637,0.3944293407437297,0.9949993542689137
pending-operation,0.5,0.02,periodic,0.1258,0.0867,0.1727,0.4402083903048723,0.9947879361146861
pending-operation,0.5,0.02,random,0.12575,0.08470000000000001,0.1857,0.4407333107301591,0.9948937002902177
pending-operation,0.5,0.02,uncertainty-severity,0.11695,0.07970000000000001,0.16870000000000002,0.4178001839610731,0.9977864911665664
pending-operation,0.5,0.05,missing-first,0.09390000000000001,0.058,0.14,0.3241994037432089,0.995684139792583
pending-operation,0.5,0.05,periodic,0.12225,0.083,0.182,0.42833720205443165,0.9951561446078345
pending-operation,0.5,0.05,random,0.122,0.074,0.174,0.4274201740823142,0.9951556485957717
pending-operation,0.5,0.05,uncertainty-severity,0.09595000000000001,0.067,0.135,0.34264956461883095,0.9985778115555671
pending-operation,0.5,0.1,missing-first,0.07150000000000001,0.0455,0.1035,0.2435187733989951,0.9968412399196748
pending-operation,0.5,0.1,periodic,0.11495,0.0815,0.1635,0.4023252369703427,0.9957355637569394
pending-operation,0.5,0.1,random,0.11535,0.0745,0.17250000000000001,0.40294815391151173,0.9957877392009111
pending-operation,0.5,0.1,uncertainty-severity,0.0698,0.043500000000000004,0.0985,0.2478749043829686,0.9998421606065637
pending-operation,0.5,0.25,missing-first,0.052550000000000006,0.028999999999999998,0.08600000000000001,0.16843121723414153,0.99715720788611
pending-operation,0.5,0.25,periodic,0.09715,0.056,0.144,0.33159812921854226,0.9966309780775815
pending-operation,0.5,0.25,random,0.0946,0.056,0.14800000000000002,0.32621767028895055,0.9971049625108528
pending-operation,0.5,0.25,uncertainty-severity,0.045,0.026000000000000002,0.076,0.15103847341959495,0.9999474237644584
pending-operation,0.5,1.0,missing-first,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.5,1.0,periodic,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.5,1.0,random,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,0.5,1.0,uncertainty-severity,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,1.0,0.0,missing-first,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
pending-operation,1.0,0.0,periodic,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
pending-operation,1.0,0.0,random,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
pending-operation,1.0,0.0,uncertainty-severity,0.21265,0.1615,0.2975,0.7159297353857039,0.9810323226901433
pending-operation,1.0,0.02,missing-first,0.1823,0.13670000000000002,0.24770000000000003,0.6138623368456863,0.984142529248435
pending-operation,1.0,0.02,periodic,0.20865,0.1487,0.29769999999999996,0.7018787990447922,0.9816664734935436
pending-operation,1.0,0.02,random,0.20929999999999999,0.1617,0.28469999999999995,0.7047150356364846,0.9816122324114398
pending-operation,1.0,0.02,uncertainty-severity,0.1823,0.13670000000000002,0.24770000000000003,0.6138623368456863,0.984142529248435
pending-operation,1.0,0.05,missing-first,0.158,0.118,0.213,0.5369925131840747,0.987515917282167
pending-operation,1.0,0.05,periodic,0.20154999999999998,0.157,0.284,0.6801755749810657,0.982716527279709
pending-operation,1.0,0.05,random,0.20070000000000002,0.157,0.276,0.675147618975948,0.9825605211971506
pending-operation,1.0,0.05,uncertainty-severity,0.15785,0.118,0.213,0.5369925131840747,0.9876748717549099
pending-operation,1.0,0.1,missing-first,0.12835000000000002,0.0945,0.1855,0.4448706741220653,0.9931584620378147
pending-operation,1.0,0.1,periodic,0.1924,0.1275,0.2555,0.6483563309669323,0.9838281639098462
pending-operation,1.0,0.1,random,0.19,0.1565,0.2665,0.6387897361248334,0.9842473834945583
pending-operation,1.0,0.1,uncertainty-severity,0.12795,0.0945,0.1805,0.4433523796824225,0.9931585193810992
pending-operation,1.0,0.25,missing-first,0.0885,0.053000000000000005,0.129,0.3137202440978972,1.0
pending-operation,1.0,0.25,periodic,0.15705,0.11700000000000002,0.219,0.5246099448649214,0.9880941435930396
pending-operation,1.0,0.25,random,0.1572,0.126,0.245,0.5311062550038509,0.9894158114265895
pending-operation,1.0,0.25,uncertainty-severity,0.07970000000000001,0.051000000000000004,0.11,0.28070965135709197,0.9996326771016962
pending-operation,1.0,1.0,missing-first,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,1.0,1.0,periodic,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,1.0,1.0,random,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
pending-operation,1.0,1.0,uncertainty-severity,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
