subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E,P_B_count,P_E_count,B_E_count,high_primary,full_primary
17,P:9.9|P:9.6|P:10.0,1110000000000,"9.9,9.6,10.0",3,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1,1
18,P:9.9|P:9.6|P:10.0|E:10.7|E:11.10,1110000000011,"9.9,9.6,10.0,10.7,11.10",5,3,0,2,1,0,1,0,1,0,0.0,1.0,0.0,1,1
19,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,1111111111100,"9.9,9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",11,3,8,0,1,1,0,1,0,0,1.0,0.0,0.0,1,1
20,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,1111111111111,"9.9,9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7,11.10",13,3,8,2,1,1,1,1,1,1,1.0,1.0,1.0,1,1
21,B:11.9|E:10.7|E:11.10,0000000000111,"11.9,10.7,11.10",3,0,1,2,0,1,1,0,0,1,0.0,0.0,0.125,0,0
22,B:11.2|B:11.9|E:11.10,0000000001101,"11.2,11.9,11.10",3,0,2,1,0,1,1,0,0,1,0.0,0.0,0.125,0,0
23,B:10.6|E:10.7,0000000100010,"10.6,10.7",2,0,1,1,0,1,1,0,0,1,0.0,0.0,0.0625,0,0
24,B:10.6|E:10.7|E:11.10,0000000100011,"10.6,10.7,11.10",3,0,1,2,0,1,1,0,0,1,0.0,0.0,0.125,0,0
25,B:10.2|E:11.10,0000001000001,"10.2,11.10",2,0,1,1,0,1,1,0,0,1,0.0,0.0,0.0625,0,0
26,B:10.2|E:10.7,0000001000010,"10.2,10.7",2,0,1,1,0,1,1,0,0,1,0.0,0.0,0.0625,0,0
27,B:10.2|B:11.9|E:10.7|E:11.10,0000001000111,"10.2,11.9,10.7,11.10",4,0,2,2,0,1,1,0,0,1,0.0,0.0,0.25,0,0
28,B:10.1|B:10.2|B:10.10,0000011010000,"10.1,10.2,10.10",3,0,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
29,B:9.7|B:11.2|E:10.7|E:11.10,0000100001011,"9.7,11.2,10.7,11.10",4,0,2,2,0,1,1,0,0,1,0.0,0.0,0.25,0,0
30,B:9.7|B:10.10|B:11.2|E:10.7,0000100011010,"9.7,10.10,11.2,10.7",4,0,3,1,0,1,1,0,0,1,0.0,0.0,0.1875,0,0
31,B:9.7|B:10.6|B:10.10|B:11.2|E:11.10,0000100111001,"9.7,10.6,10.10,11.2,11.10",5,0,4,1,0,1,1,0,0,1,0.0,0.0,0.25,0,0
32,B:9.7|B:10.2|B:10.10|E:10.7,0000101010010,"9.7,10.2,10.10,10.7",4,0,3,1,0,1,1,0,0,1,0.0,0.0,0.1875,0,0
33,B:9.7|B:10.1|B:10.6|B:10.10|B:11.2|E:10.7|E:11.10,0000110111011,"9.7,10.1,10.6,10.10,11.2,10.7,11.10",7,0,5,2,0,1,1,0,0,1,0.0,0.0,0.625,0,0
34,B:9.7|B:10.1|B:10.2|B:10.10|B:11.9|E:10.7,0000111010110,"9.7,10.1,10.2,10.10,11.9,10.7",6,0,5,1,0,1,1,0,0,1,0.0,0.0,0.3125,0,0
35,B:9.0|B:11.9,0001000000100,"9.0,11.9",2,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
36,B:9.0|B:10.6|B:11.9,0001000100100,"9.0,10.6,11.9",3,0,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
37,B:9.0|B:10.2|E:10.7|E:11.10,0001001000011,"9.0,10.2,10.7,11.10",4,0,2,2,0,1,1,0,0,1,0.0,0.0,0.25,0,0
38,B:9.0|B:10.2|B:10.10|B:11.2|B:11.9,0001001011100,"9.0,10.2,10.10,11.2,11.9",5,0,5,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
39,B:9.0|B:10.1|B:10.10|B:11.2|E:10.7|E:11.10,0001010011011,"9.0,10.1,10.10,11.2,10.7,11.10",6,0,4,2,0,1,1,0,0,1,0.0,0.0,0.5,0,0
40,B:9.0|B:10.1|B:10.6|B:10.10,0001010110000,"9.0,10.1,10.6,10.10",4,0,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
41,B:9.0|B:9.7|B:11.2|B:11.9|E:10.7|E:11.10,0001100001111,"9.0,9.7,11.2,11.9,10.7,11.10",6,0,4,2,0,1,1,0,0,1,0.0,0.0,0.5,0,0
42,B:9.0|B:9.7|B:10.10|B:11.2|B:11.9|E:11.10,0001100011101,"9.0,9.7,10.10,11.2,11.9,11.10",6,0,5,1,0,1,1,0,0,1,0.0,0.0,0.3125,0,0
43,B:9.0|B:9.7|B:10.6|B:10.10|B:11.2|B:11.9,0001100111100,"9.0,9.7,10.6,10.10,11.2,11.9",6,0,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
44,B:9.0|B:9.7|B:10.1|B:10.10,0001110010000,"9.0,9.7,10.1,10.10",4,0,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
45,B:9.0|B:9.7|B:10.1|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7,0001110111110,"9.0,9.7,10.1,10.6,10.10,11.2,11.9,10.7",8,0,7,1,0,1,1,0,0,1,0.0,0.0,0.4375,0,0
46,B:9.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|B:11.9|E:11.10,0001111011101,"9.0,9.7,10.1,10.2,10.10,11.2,11.9,11.10",8,0,7,1,0,1,1,0,0,1,0.0,0.0,0.4375,0,0
47,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2,0001111101000,"9.0,9.7,10.1,10.2,10.6,11.2",6,0,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
48,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.9|E:10.7|E:11.10,0001111110111,"9.0,9.7,10.1,10.2,10.6,10.10,11.9,10.7,11.10",9,0,7,2,0,1,1,0,0,1,0.0,0.0,0.875,0,0
49,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7,0001111111110,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7",9,0,8,1,0,1,1,0,0,1,0.0,0.0,0.5,0,0
50,P:10.0|E:10.7,0010000000010,"10.0,10.7",2,1,0,1,1,0,1,0,1,0,0.0,0.16666666666666666,0.0,0,0
51,P:10.0|B:11.2|E:10.7,0010000001010,"10.0,11.2,10.7",3,1,1,1,1,1,1,1,1,1,0.041666666666666664,0.16666666666666666,0.0625,0,0
52,P:10.0|B:10.2|E:10.7|E:11.10,0010001000011,"10.0,10.2,10.7,11.10",4,1,1,2,1,1,1,1,1,1,0.041666666666666664,0.3333333333333333,0.125,0,0
53,P:10.0|B:10.2|B:11.9|E:11.10,0010001000101,"10.0,10.2,11.9,11.10",4,1,2,1,1,1,1,1,1,1,0.08333333333333333,0.16666666666666666,0.125,0,0
54,P:10.0|B:10.1|E:11.10,0010010000001,"10.0,10.1,11.10",3,1,1,1,1,1,1,1,1,1,0.041666666666666664,0.16666666666666666,0.0625,0,0
55,P:10.0|B:9.0,0011000000000,"10.0,9.0",2,1,1,0,1,1,0,1,0,0,0.041666666666666664,0.0,0.0,0,0
56,P:10.0|B:9.0|B:10.1|B:11.2|B:11.9|E:10.7,0011010001110,"10.0,9.0,10.1,11.2,11.9,10.7",6,1,4,1,1,1,1,1,1,1,0.16666666666666666,0.16666666666666666,0.25,0,0
57,P:10.0|B:9.0|B:10.1|B:10.2|E:10.7|E:11.10,0011011000011,"10.0,9.0,10.1,10.2,10.7,11.10",6,1,3,2,1,1,1,1,1,1,0.125,0.3333333333333333,0.375,0,0
58,P:10.0|B:9.0|B:10.1|B:10.2|B:10.6|B:10.10|B:11.9,0011011110100,"10.0,9.0,10.1,10.2,10.6,10.10,11.9",7,1,6,0,1,1,0,1,0,0,0.25,0.0,0.0,0,0
59,P:10.0|B:9.0|B:9.7|B:10.1|B:10.6|B:11.9,0011110100100,"10.0,9.0,9.7,10.1,10.6,11.9",6,1,5,0,1,1,0,1,0,0,0.20833333333333331,0.0,0.0,0,0
60,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2|B:11.9,0011111101100,"10.0,9.0,9.7,10.1,10.2,10.6,11.2,11.9",8,1,7,0,1,1,0,1,0,0,0.29166666666666663,0.0,0.0,0,0
61,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2|B:11.9|E:10.7|E:11.10,0011111101111,"10.0,9.0,9.7,10.1,10.2,10.6,11.2,11.9,10.7,11.10",10,1,7,2,1,1,1,1,1,1,0.29166666666666663,0.3333333333333333,0.875,0,0
62,P:9.6|E:11.10,0100000000001,"9.6,11.10",2,1,0,1,1,0,1,0,1,0,0.0,0.16666666666666666,0.0,0,0
63,P:9.6|E:10.7|E:11.10,0100000000011,"9.6,10.7,11.10",3,1,0,2,1,0,1,0,1,0,0.0,0.3333333333333333,0.0,0,0
64,P:9.6|B:10.2|E:10.7|E:11.10,0100001000011,"9.6,10.2,10.7,11.10",4,1,1,2,1,1,1,1,1,1,0.041666666666666664,0.3333333333333333,0.125,0,0
65,P:9.6|B:10.2|B:10.10|B:11.2|E:10.7|E:11.10,0100001011011,"9.6,10.2,10.10,11.2,10.7,11.10",6,1,3,2,1,1,1,1,1,1,0.125,0.3333333333333333,0.375,0,0
66,P:9.6|B:10.1|B:10.2|B:11.9,0100011000100,"9.6,10.1,10.2,11.9",4,1,3,0,1,1,0,1,0,0,0.125,0.0,0.0,0,0
67,P:9.6|B:9.7|B:10.2,0100101000000,"9.6,9.7,10.2",3,1,2,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,0,0
68,P:9.6|B:9.7|B:10.1|B:10.10|B:11.2,0100110011000,"9.6,9.7,10.1,10.10,11.2",5,1,4,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,0,0
69,P:9.6|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2|B:11.9|E:10.7|E:11.10,0100111101111,"9.6,9.7,10.1,10.2,10.6,11.2,11.9,10.7,11.10",9,1,6,2,1,1,1,1,1,1,0.25,0.3333333333333333,0.75,0,0
70,P:9.6|B:9.0|B:10.1|B:10.2|B:11.9|E:10.7|E:11.10,0101011000111,"9.6,9.0,10.1,10.2,11.9,10.7,11.10",7,1,4,2,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.5,0,0
71,P:9.6|B:9.0|B:10.1|B:10.2|B:11.2|B:11.9|E:10.7|E:11.10,0101011001111,"9.6,9.0,10.1,10.2,11.2,11.9,10.7,11.10",8,1,5,2,1,1,1,1,1,1,0.20833333333333331,0.3333333333333333,0.625,0,0
72,P:9.6|B:9.0|B:9.7|B:10.6|B:11.9,0101100100100,"9.6,9.0,9.7,10.6,11.9",5,1,4,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,0,0
73,P:9.6|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.9|E:10.7|E:11.10,0101111110111,"9.6,9.0,9.7,10.1,10.2,10.6,10.10,11.9,10.7,11.10",10,1,7,2,1,1,1,1,1,1,0.29166666666666663,0.3333333333333333,0.875,0,0
74,P:9.6|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,0101111111101,"9.6,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,11.10",10,1,8,1,1,1,1,1,1,1,0.3333333333333333,0.16666666666666666,0.5,0,0
75,P:9.6|P:10.0,0110000000000,"9.6,10.0",2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1,0
76,P:9.6|P:10.0|E:11.10,0110000000001,"9.6,10.0,11.10",3,2,0,1,1,0,1,0,1,0,0.0,0.3333333333333333,0.0,1,0
77,P:9.6|P:10.0|E:10.7|E:11.10,0110000000011,"9.6,10.0,10.7,11.10",4,2,0,2,1,0,1,0,1,0,0.0,0.6666666666666666,0.0,1,0
78,P:9.6|P:10.0|B:11.9|E:10.7|E:11.10,0110000000111,"9.6,10.0,11.9,10.7,11.10",5,2,1,2,1,1,1,1,1,1,0.08333333333333333,0.6666666666666666,0.125,1,0
79,P:9.6|P:10.0|B:11.2|E:10.7|E:11.10,0110000001011,"9.6,10.0,11.2,10.7,11.10",5,2,1,2,1,1,1,1,1,1,0.08333333333333333,0.6666666666666666,0.125,1,0
80,P:9.6|P:10.0|B:10.10,0110000010000,"9.6,10.0,10.10",3,2,1,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,1,0
81,P:9.6|P:10.0|B:10.10|E:10.7,0110000010010,"9.6,10.0,10.10,10.7",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0
82,P:9.6|P:10.0|B:10.6|E:11.10,0110000100001,"9.6,10.0,10.6,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0
83,P:9.6|P:10.0|B:10.6|B:11.9,0110000100100,"9.6,10.0,10.6,11.9",4,2,2,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,1,0
84,P:9.6|P:10.0|B:10.6|B:10.10|E:10.7,0110000110010,"9.6,10.0,10.6,10.10,10.7",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0
85,P:9.6|P:10.0|B:10.2|B:11.2|B:11.9,0110001001100,"9.6,10.0,10.2,11.2,11.9",5,2,3,0,1,1,0,1,0,0,0.25,0.0,0.0,1,0
86,P:9.6|P:10.0|B:10.1|E:11.10,0110010000001,"9.6,10.0,10.1,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0
87,P:9.6|P:10.0|B:9.7|E:10.7|E:11.10,0110100000011,"9.6,10.0,9.7,10.7,11.10",5,2,1,2,1,1,1,1,1,1,0.08333333333333333,0.6666666666666666,0.125,1,0
88,P:9.6|P:10.0|B:9.7|B:10.6|B:11.2|B:11.9|E:11.10,0110100101101,"9.6,10.0,9.7,10.6,11.2,11.9,11.10",7,2,4,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.25,1,0
89,P:9.6|P:10.0|B:9.7|B:10.2|E:11.10,0110101000001,"9.6,10.0,9.7,10.2,11.10",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0
90,P:9.6|P:10.0|B:9.7|B:10.1|B:11.9,0110110000100,"9.6,10.0,9.7,10.1,11.9",5,2,3,0,1,1,0,1,0,0,0.25,0.0,0.0,1,0
91,P:9.6|P:10.0|B:9.0|B:11.9,0111000000100,"9.6,10.0,9.0,11.9",4,2,2,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,1,0
92,P:9.6|P:10.0|B:9.0|B:11.2|E:11.10,0111000001001,"9.6,10.0,9.0,11.2,11.10",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0
93,P:9.6|P:10.0|B:9.0|B:10.6|B:10.10|B:11.9|E:11.10,0111000110101,"9.6,10.0,9.0,10.6,10.10,11.9,11.10",7,2,4,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.25,1,0
94,P:9.6|P:10.0|B:9.0|B:10.1|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0111010111111,"9.6,10.0,9.0,10.1,10.6,10.10,11.2,11.9,10.7,11.10",10,2,6,2,1,1,1,1,1,1,0.5,0.6666666666666666,0.75,1,0
95,P:9.6|P:10.0|B:9.0|B:9.7|E:10.7|E:11.10,0111100000011,"9.6,10.0,9.0,9.7,10.7,11.10",6,2,2,2,1,1,1,1,1,1,0.16666666666666666,0.6666666666666666,0.25,1,0
96,P:9.6|P:10.0|B:9.0|B:9.7|B:10.2|B:10.6|B:10.10|B:11.2,0111101111000,"9.6,10.0,9.0,9.7,10.2,10.6,10.10,11.2",8,2,6,0,1,1,0,1,0,0,0.5,0.0,0.0,1,0
97,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:11.2|B:11.9|E:10.7,0111111001110,"9.6,10.0,9.0,9.7,10.1,10.2,11.2,11.9,10.7",9,2,6,1,1,1,1,1,1,1,0.5,0.3333333333333333,0.375,1,0
98,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0111111111100,"9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",10,2,8,0,1,1,0,1,0,0,0.6666666666666666,0.0,0.0,1,0
99,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,0111111111101,"9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,11.10",11,2,8,1,1,1,1,1,1,1,0.6666666666666666,0.3333333333333333,0.5,1,0
100,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0111111111111,"9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7,11.10",12,2,8,2,1,1,1,1,1,1,0.6666666666666666,0.6666666666666666,1.0,1,0
101,P:9.9|E:10.7,1000000000010,"9.9,10.7",2,1,0,1,1,0,1,0,1,0,0.0,0.16666666666666666,0.0,0,0
102,P:9.9|E:10.7|E:11.10,1000000000011,"9.9,10.7,11.10",3,1,0,2,1,0,1,0,1,0,0.0,0.3333333333333333,0.0,0,0
103,P:9.9|B:11.9,1000000000100,"9.9,11.9",2,1,1,0,1,1,0,1,0,0,0.041666666666666664,0.0,0.0,0,0
104,P:9.9|B:11.9|E:10.7,1000000000110,"9.9,11.9,10.7",3,1,1,1,1,1,1,1,1,1,0.041666666666666664,0.16666666666666666,0.0625,0,0
105,P:9.9|B:11.9|E:10.7|E:11.10,1000000000111,"9.9,11.9,10.7,11.10",4,1,1,2,1,1,1,1,1,1,0.041666666666666664,0.3333333333333333,0.125,0,0
106,P:9.9|B:11.2,1000000001000,"9.9,11.2",2,1,1,0,1,1,0,1,0,0,0.041666666666666664,0.0,0.0,0,0
107,P:9.9|B:10.1|B:10.6|E:10.7,1000010100010,"9.9,10.1,10.6,10.7",4,1,2,1,1,1,1,1,1,1,0.08333333333333333,0.16666666666666666,0.125,0,0
108,P:9.9|B:10.1|B:10.2|B:11.2|E:11.10,1000011001001,"9.9,10.1,10.2,11.2,11.10",5,1,3,1,1,1,1,1,1,1,0.125,0.16666666666666666,0.1875,0,0
109,P:9.9|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|E:11.10,1000011111001,"9.9,10.1,10.2,10.6,10.10,11.2,11.10",7,1,5,1,1,1,1,1,1,1,0.20833333333333331,0.16666666666666666,0.3125,0,0
110,P:9.9|B:9.7|B:10.10,1000100010000,"9.9,9.7,10.10",3,1,2,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,0,0
111,P:9.9|B:9.7|B:10.6|E:10.7|E:11.10,1000100100011,"9.9,9.7,10.6,10.7,11.10",5,1,2,2,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.25,0,0
112,P:9.9|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,1000111111101,"9.9,9.7,10.1,10.2,10.6,10.10,11.2,11.9,11.10",9,1,7,1,1,1,1,1,1,1,0.29166666666666663,0.16666666666666666,0.4375,0,0
113,P:9.9|B:9.0|B:9.7|B:11.2|B:11.9|E:10.7|E:11.10,1001100001111,"9.9,9.0,9.7,11.2,11.9,10.7,11.10",7,1,4,2,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.5,0,0
114,P:9.9|B:9.0|B:9.7|B:10.10|B:11.9|E:10.7,1001100010110,"9.9,9.0,9.7,10.10,11.9,10.7",6,1,4,1,1,1,1,1,1,1,0.16666666666666666,0.16666666666666666,0.25,0,0
115,P:9.9|B:9.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|B:11.9,1001111011100,"9.9,9.0,9.7,10.1,10.2,10.10,11.2,11.9",8,1,7,0,1,1,0,1,0,0,0.29166666666666663,0.0,0.0,0,0
116,P:9.9|P:10.0,1010000000000,"9.9,10.0",2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1,0
117,P:9.9|P:10.0|E:11.10,1010000000001,"9.9,10.0,11.10",3,2,0,1,1,0,1,0,1,0,0.0,0.3333333333333333,0.0,1,0
118,P:9.9|P:10.0|E:10.7|E:11.10,1010000000011,"9.9,10.0,10.7,11.10",4,2,0,2,1,0,1,0,1,0,0.0,0.6666666666666666,0.0,1,0
119,P:9.9|P:10.0|B:11.9|E:11.10,1010000000101,"9.9,10.0,11.9,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0
120,P:9.9|P:10.0|B:10.10,1010000010000,"9.9,10.0,10.10",3,2,1,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,1,0
121,P:9.9|P:10.0|B:10.6,1010000100000,"9.9,10.0,10.6",3,2,1,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,1,0
122,P:9.9|P:10.0|B:10.6|E:11.10,1010000100001,"9.9,10.0,10.6,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0
123,P:9.9|P:10.0|B:10.1|B:11.2|E:10.7,1010010001010,"9.9,10.0,10.1,11.2,10.7",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0
124,P:9.9|P:10.0|B:10.1|B:10.10|B:11.9,1010010010100,"9.9,10.0,10.1,10.10,11.9",5,2,3,0,1,1,0,1,0,0,0.25,0.0,0.0,1,0
125,P:9.9|P:10.0|B:10.1|B:10.6|B:11.2|B:11.9,1010010101100,"9.9,10.0,10.1,10.6,11.2,11.9",6,2,4,0,1,1,0,1,0,0,0.3333333333333333,0.0,0.0,1,0
126,P:9.9|P:10.0|B:10.1|B:10.2|E:10.7,1010011000010,"9.9,10.0,10.1,10.2,10.7",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0
127,P:9.9|P:10.0|B:9.7|E:11.10,1010100000001,"9.9,10.0,9.7,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0
128,P:9.9|P:10.0|B:9.7|B:10.6,1010100100000,"9.9,10.0,9.7,10.6",4,2,2,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,1,0
129,P:9.9|P:10.0|B:9.7|B:10.2|B:10.6|E:10.7|E:11.10,1010101100011,"9.9,10.0,9.7,10.2,10.6,10.7,11.10",7,2,3,2,1,1,1,1,1,1,0.25,0.6666666666666666,0.375,1,0
130,P:9.9|P:10.0|B:9.7|B:10.2|B:10.6|B:11.2|E:10.7,1010101101010,"9.9,10.0,9.7,10.2,10.6,11.2,10.7",7,2,4,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.25,1,0
131,P:9.9|P:10.0|B:9.7|B:10.1|B:11.9|E:10.7|E:11.10,1010110000111,"9.9,10.0,9.7,10.1,11.9,10.7,11.10",7,2,3,2,1,1,1,1,1,1,0.25,0.6666666666666666,0.375,1,0
132,P:9.9|P:10.0|B:9.7|B:10.1|B:10.2|B:11.2|E:11.10,1010111001001,"9.9,10.0,9.7,10.1,10.2,11.2,11.10",7,2,4,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.25,1,0
133,P:9.9|P:10.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|E:11.10,1010111111001,"9.9,10.0,9.7,10.1,10.2,10.6,10.10,11.2,11.10",9,2,6,1,1,1,1,1,1,1,0.5,0.3333333333333333,0.375,1,0
134,P:9.9|P:10.0|B:9.0|B:10.6|B:11.9|E:11.10,1011000100101,"9.9,10.0,9.0,10.6,11.9,11.10",6,2,3,1,1,1,1,1,1,1,0.25,0.3333333333333333,0.1875,1,0
135,P:9.9|P:10.0|B:9.0|B:10.6|B:11.9|E:10.7|E:11.10,1011000100111,"9.9,10.0,9.0,10.6,11.9,10.7,11.10",7,2,3,2,1,1,1,1,1,1,0.25,0.6666666666666666,0.375,1,0
136,P:9.9|P:10.0|B:9.0|B:10.1,1011010000000,"9.9,10.0,9.0,10.1",4,2,2,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,1,0
137,P:9.9|P:10.0|B:9.0|B:10.1|B:10.2|B:11.2,1011011001000,"9.9,10.0,9.0,10.1,10.2,11.2",6,2,4,0,1,1,0,1,0,0,0.3333333333333333,0.0,0.0,1,0
138,P:9.9|P:10.0|B:9.0|B:10.1|B:10.2|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,1011011011111,"9.9,10.0,9.0,10.1,10.2,10.10,11.2,11.9,10.7,11.10",10,2,6,2,1,1,1,1,1,1,0.5,0.6666666666666666,0.75,1,0
