pool_id,target,exact_mean_mask_id,exact_mean_head_count,exact_mean_effect,exact_mean_to_target_error,exact_mean_fixed_action_loss,best_fixed_action_mask_id,best_fixed_action_head_count,best_fixed_action_mean_target_loss,same_mask_as_best_fixed,fixed_action_loss_gap
candidate_pool_05,1.5,mask_f5d21a1898de9318,7,1.5147219635546207,0.014721963554620743,0.8715674094855785,mask_f0bc7dbe5565770b,5,0.8558550328016281,False,0.015712376683950424
candidate_pool_06,0.5,mask_2322491b9dd809d6,5,0.4170055016875267,0.0829944983124733,0.8886687383055687,mask_24aa69bed4ef8bfe,4,0.5533091761171818,False,0.3353595621883869
candidate_pool_06,1.0,mask_8da4b6178fa2b73e,7,1.1211614944040775,0.12116149440407753,1.052488911896944,mask_0cbfd8c3e3987d54,5,0.7759061567485332,False,0.2765827551484108
candidate_pool_06,1.5,mask_5bf7af84e459f7ba,10,1.5139237772673368,0.013923777267336845,0.9544855523854494,mask_c22a533faf194bc5,7,0.8227050192654133,False,0.13178053312003613
candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.3446212187409401,0.1553787812590599,0.9509362354874611,mask_6c3e3315afb6fb8c,4,0.6924917288124561,False,0.25844450667500496
candidate_pool_07,1.0,mask_83fe021aaca96bf0,5,1.13290785998106,0.13290785998106003,0.7885417938232422,mask_6c3e3315afb6fb8c,4,0.6861960403621197,False,0.10234575346112251
candidate_pool_07,1.5,mask_66a1456a9ed6a190,9,1.4190856851637363,0.08091431483626366,1.3720312230288982,mask_c4774bd021c06295,7,0.770519033074379,False,0.6015121899545193
candidate_pool_08,0.5,mask_3fd358a395ddfdd8,7,0.4255116656422615,0.0744883343577385,0.8845158815383911,mask_0483c7c3a82ced7e,6,0.5591187365353107,False,0.32539714500308037
candidate_pool_08,1.0,mask_a9f1de05a2b5cc89,7,1.1625342592597008,0.16253425925970078,0.8487449213862419,mask_0483c7c3a82ced7e,6,0.6100747026503086,False,0.2386702187359333
candidate_pool_08,1.5,mask_77740b198a0b3a94,6,1.3795700334012508,0.12042996659874916,0.8562764786183834,mask_77740b198a0b3a94,6,0.8562764786183834,True,0.0
candidate_pool_09,0.5,mask_c939a4a80d3901d5,7,0.5389642640948296,0.03896426409482956,0.9625513404607773,mask_b7f51d1564f006ed,7,0.738485798239708,False,0.22406554222106934
candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.0132530108094215,0.01325301080942154,0.9079892411828041,mask_ea7ded36b0b6aa15,8,0.7993396706879139,False,0.10864957049489021
candidate_pool_09,1.5,mask_99b322f566a2bc85,6,1.3720855861902237,0.1279144138097763,0.7709319218993187,mask_99b322f566a2bc85,6,0.7709319218993187,True,0.0
