analysis_status,selector_family,model,measurement_budget,policy,actual_target_loss,actual_objective,within_tolerance,selected_head_count
exploratory_post_outcome_not_confirmatory,direct_risk,head_pair_quadratic_screen,160,target_loss,0.8766052886843682,0.8766052886843682,0.17864583333333334,6.366666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,20,cost_aware,1.1213120439400275,1.2473120439400276,0.14036458333333332,6.3
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,20,target_loss,1.088337567821145,1.088337567821145,0.14205729166666667,6.733333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,40,cost_aware,1.1316532185301185,1.2456532185301186,0.15078125,5.7
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,40,target_loss,1.059368610319992,1.059368610319992,0.159765625,6.333333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,80,cost_aware,1.0898493234068156,1.2145159900734823,0.14973958333333334,6.233333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,80,target_loss,1.0723432573179403,1.0723432573179403,0.15338541666666666,6.566666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,160,cost_aware,1.01123325265944,1.1325665859927734,0.151953125,6.066666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,additive_head,160,target_loss,1.0162683290739853,1.0162683290739853,0.15416666666666667,6.533333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,20,cost_aware,1.6367771273478866,1.8067771273478865,0.094140625,8.5
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,20,target_loss,1.6528908774256705,1.6528908774256705,0.09466145833333334,8.833333333333334
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,40,cost_aware,1.210300575879713,1.3336339092130463,0.13528645833333333,6.166666666666667
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,40,target_loss,1.2544884568701187,1.2544884568701187,0.131640625,6.966666666666667
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,80,cost_aware,0.9871451624979576,1.1051451624979576,0.16184895833333332,5.9
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,80,target_loss,1.0174032332996528,1.0174032332996528,0.16341145833333334,6.466666666666667
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,160,cost_aware,1.0295536496366064,1.1668869829699398,0.14830729166666667,6.866666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,count_additive,160,target_loss,1.0395814009631674,1.0395814009631674,0.14622395833333332,7.066666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,20,cost_aware,1.314702164568007,1.474702164568007,0.12721354166666668,8.0
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,20,target_loss,1.3132736940557759,1.3132736940557759,0.12734375,8.233333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,40,cost_aware,1.1473064700141549,1.265306470014155,0.15182291666666667,5.9
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,40,target_loss,1.1880108691751956,1.1880108691751956,0.14544270833333334,6.866666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,80,cost_aware,0.9760616383204858,1.0993949716538192,0.16484375,6.166666666666667
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,80,target_loss,1.0103980106612047,1.0103980106612047,0.1609375,7.1
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,160,cost_aware,1.0011931093409658,1.132526442674299,0.15677083333333333,6.566666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_PE_bin4,160,target_loss,1.0264590797324975,1.0264590797324975,0.15442708333333333,7.133333333333334
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,20,cost_aware,1.0033981574699282,1.132064824136595,0.15859375,6.433333333333334
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,20,target_loss,1.0444354159757494,1.0444354159757494,0.15169270833333334,6.933333333333334
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,40,cost_aware,1.0683429565901557,1.199676289923489,0.15416666666666667,6.566666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,40,target_loss,1.0797994097694754,1.0797994097694754,0.15130208333333334,6.866666666666666
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,80,cost_aware,0.9712469593932231,1.0972469593932233,0.161328125,6.3
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,80,target_loss,0.9668950940171878,0.9668950940171878,0.16028645833333333,6.766666666666667
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,160,cost_aware,1.0081964914376538,1.1428631581043203,0.15729166666666666,6.733333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,count_plus_all_bin4,160,target_loss,1.015244573292633,1.015244573292633,0.15755208333333334,6.966666666666667
exploratory_post_outcome_not_confirmatory,mean_effect,head_pair_quadratic_screen,160,cost_aware,0.8979168329387903,1.024583499605457,0.18138020833333332,6.333333333333333
exploratory_post_outcome_not_confirmatory,mean_effect,head_pair_quadratic_screen,160,target_loss,0.924552773249646,0.924552773249646,0.17877604166666666,7.133333333333334
