analysis_status,pool_id,target,policy,oracle_mask_id,oracle_head_count,oracle_mean_objective
exploratory_post_outcome_not_confirmatory,candidate_pool_07,0.5,cost_aware,mask_6c3e3315afb6fb8c,4,0.7724917288124561
exploratory_post_outcome_not_confirmatory,candidate_pool_07,1.0,target_loss,mask_6c3e3315afb6fb8c,4,0.6861960403621197
exploratory_post_outcome_not_confirmatory,candidate_pool_07,1.0,cost_aware,mask_6c3e3315afb6fb8c,4,0.7661960403621196
exploratory_post_outcome_not_confirmatory,candidate_pool_07,1.5,target_loss,mask_c4774bd021c06295,7,0.770519033074379
exploratory_post_outcome_not_confirmatory,candidate_pool_07,1.5,cost_aware,mask_c4774bd021c06295,7,0.910519033074379
exploratory_post_outcome_not_confirmatory,candidate_pool_08,0.5,target_loss,mask_0483c7c3a82ced7e,6,0.5591187365353107
exploratory_post_outcome_not_confirmatory,candidate_pool_08,0.5,cost_aware,mask_0483c7c3a82ced7e,6,0.6791187365353107
exploratory_post_outcome_not_confirmatory,candidate_pool_08,1.0,target_loss,mask_0483c7c3a82ced7e,6,0.6100747026503086
exploratory_post_outcome_not_confirmatory,candidate_pool_08,1.0,cost_aware,mask_0483c7c3a82ced7e,6,0.7300747026503086
exploratory_post_outcome_not_confirmatory,candidate_pool_08,1.5,target_loss,mask_77740b198a0b3a94,6,0.8562764786183834
exploratory_post_outcome_not_confirmatory,candidate_pool_08,1.5,cost_aware,mask_77740b198a0b3a94,6,0.9762764786183834
exploratory_post_outcome_not_confirmatory,candidate_pool_09,0.5,target_loss,mask_b7f51d1564f006ed,7,0.738485798239708
exploratory_post_outcome_not_confirmatory,candidate_pool_09,0.5,cost_aware,mask_7014c21a00895564,4,0.8421957920491695
exploratory_post_outcome_not_confirmatory,candidate_pool_09,1.0,target_loss,mask_ea7ded36b0b6aa15,8,0.7993396706879139
exploratory_post_outcome_not_confirmatory,candidate_pool_09,1.0,cost_aware,mask_99b322f566a2bc85,6,0.9251023557782173
exploratory_post_outcome_not_confirmatory,candidate_pool_09,1.5,target_loss,mask_99b322f566a2bc85,6,0.7709319218993187
exploratory_post_outcome_not_confirmatory,candidate_pool_09,1.5,cost_aware,mask_99b322f566a2bc85,6,0.8909319218993187
