mask_id,mask_bits,n_heads,n_P,n_B,n_E,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index,bank
mask_91d24a49e63dbe8d,1001101001110,7,1,5,1,phase06_candidate_pool_00,0,broad,n_heads_07,2,candidate
mask_063fecb7c3040847,1110101100100,7,3,4,0,phase06_candidate_pool_00,0,primary_heavy,n_heads_07,0,candidate
mask_2a46a76d3a38f9ba,1011100101100,7,2,5,0,phase06_candidate_pool_00,0,primary_heavy,n_heads_07,3,candidate
mask_8061496e49df4440,1110000110011,7,3,2,2,phase06_candidate_pool_00,0,primary_heavy,n_heads_07,2,candidate
mask_c3988f55e8e72b23,1110110000110,7,3,3,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_07,1,candidate
mask_0329e91e5888045c,0101011011011,8,1,5,2,phase06_candidate_pool_00,0,broad,n_heads_08,0,candidate
mask_5a95c6beab3bce85,0010111110011,8,1,5,2,phase06_candidate_pool_00,0,broad,n_heads_08,1,candidate
mask_76e492159464d1db,0001101111011,8,0,6,2,phase06_candidate_pool_00,0,broad,n_heads_08,2,candidate
mask_43fd94c4afae7f8c,0110010101111,8,2,4,2,phase06_candidate_pool_00,0,primary_heavy,n_heads_08,2,candidate
mask_7b981eca328a4d4d,0110101011110,8,2,5,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_08,1,candidate
mask_f33117278b691e6d,1111101000011,8,3,3,2,phase06_candidate_pool_00,0,primary_heavy,n_heads_08,0,candidate
mask_3612c8289d9847c3,0101010111111,9,1,6,2,phase06_candidate_pool_00,0,broad,n_heads_09,0,candidate
mask_96eba596d6dbf57c,1101111001101,9,2,6,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_09,0,candidate
mask_3d03d154c7b53ead,0000100101010,4,0,3,1,phase06_candidate_pool_01,1,broad,n_heads_04,0,candidate
mask_b18c250a49deb5d5,1101100000000,4,2,2,0,phase06_candidate_pool_01,1,primary_heavy,n_heads_04,0,candidate
mask_505ab7da0aa4a5a1,0010011010100,5,1,4,0,phase06_candidate_pool_01,1,broad,n_heads_05,2,candidate
mask_78ef27832464976c,0001100101001,5,0,4,1,phase06_candidate_pool_01,1,broad,n_heads_05,1,candidate
mask_8f735f2cb6133fb2,0001111010000,5,0,5,0,phase06_candidate_pool_01,1,broad,n_heads_05,0,candidate
mask_0187becf85aa5fc1,1101000110000,5,2,3,0,phase06_candidate_pool_01,1,primary_heavy,n_heads_05,0,candidate
mask_84b53437d02f9053,0110100001001,5,2,2,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_05,1,candidate
mask_d65c94a92f176d5e,1010110000001,5,2,2,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_05,2,candidate
mask_3a8a5a7402290c7a,1000100011011,6,1,3,2,phase06_candidate_pool_01,1,broad,n_heads_06,3,candidate
mask_5d421ff39ac01399,0010001111010,6,1,4,1,phase06_candidate_pool_01,1,broad,n_heads_06,2,candidate
mask_5ecebb90fffa2199,1001000111001,6,1,4,1,phase06_candidate_pool_01,1,broad,n_heads_06,0,candidate
mask_6a1fc6ba9fbc1faf,0011011000110,6,1,4,1,phase06_candidate_pool_01,1,broad,n_heads_06,1,candidate
mask_17eb354e2751426d,1100100000111,6,2,2,2,phase06_candidate_pool_01,1,primary_heavy,n_heads_06,3,candidate
mask_2658022fba547221,1101011000001,6,2,3,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_06,0,candidate
mask_4890d23198bcad6e,1011100010001,6,2,3,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_06,1,candidate
mask_ba46ee42f49e26b3,1100000011101,6,2,3,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_06,2,candidate
mask_374e276665ad3cf2,0100111001101,7,1,5,1,phase06_candidate_pool_01,1,broad,n_heads_07,1,candidate
mask_71757ea010a1306d,0101001101110,7,1,5,1,phase06_candidate_pool_01,1,broad,n_heads_07,2,candidate
mask_a9caf0312730f7a1,0011000111101,7,1,5,1,phase06_candidate_pool_01,1,broad,n_heads_07,3,candidate
mask_b477c25a8c001ca2,1000110010111,7,1,4,2,phase06_candidate_pool_01,1,broad,n_heads_07,0,candidate
mask_2795f67449ac2cd9,1010111010010,7,2,4,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_07,3,candidate
mask_60aa0a7fb249ea37,1111001100100,7,3,4,0,phase06_candidate_pool_01,1,primary_heavy,n_heads_07,1,candidate
mask_766fc31ace5054ca,1100110001011,7,2,3,2,phase06_candidate_pool_01,1,primary_heavy,n_heads_07,2,candidate
mask_805638355d2df93c,1011001010011,7,2,3,2,phase06_candidate_pool_01,1,primary_heavy,n_heads_07,0,candidate
mask_00fbd53f0a133b0a,0011101110110,8,1,6,1,phase06_candidate_pool_01,1,broad,n_heads_08,1,candidate
mask_4bb5e20f5825f04c,0100111101110,8,1,6,1,phase06_candidate_pool_01,1,broad,n_heads_08,2,candidate
mask_711ea0f04e956863,0001011110111,8,0,6,2,phase06_candidate_pool_01,1,broad,n_heads_08,0,candidate
mask_31e0b66dd5387257,1100101001111,8,2,4,2,phase06_candidate_pool_01,1,primary_heavy,n_heads_08,0,candidate
mask_a8d79a112777a9d0,1011110110001,8,2,5,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_08,2,candidate
mask_f8cd5a7d42234786,0111101101100,8,2,6,0,phase06_candidate_pool_01,1,primary_heavy,n_heads_08,1,candidate
mask_d1886982fa9fbc00,0011110011111,9,1,6,2,phase06_candidate_pool_01,1,broad,n_heads_09,0,candidate
mask_671d4f01911b2fae,1110110111001,9,3,5,1,phase06_candidate_pool_01,1,primary_heavy,n_heads_09,0,candidate
mask_765e43f1c7133554,0101010001000,4,1,3,0,phase06_candidate_pool_02,2,broad,n_heads_04,0,candidate
mask_93e4e540df92369d,1010000001010,4,2,1,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_04,0,candidate
mask_7567ef513b2838a8,0011010001100,5,1,4,0,phase06_candidate_pool_02,2,broad,n_heads_05,0,candidate
mask_8ecaf4d3ebf999fb,0100101100100,5,1,4,0,phase06_candidate_pool_02,2,broad,n_heads_05,2,candidate
mask_c7efab7d56c99080,1000110000011,5,1,2,2,phase06_candidate_pool_02,2,broad,n_heads_05,1,candidate
mask_117de91ea651d055,1100001001100,5,2,3,0,phase06_candidate_pool_02,2,primary_heavy,n_heads_05,2,candidate
mask_4a6dc441a010a23d,1010000011010,5,2,2,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_05,1,candidate
mask_d800367349606bc8,1110000000101,5,3,1,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_05,0,candidate
mask_2d713f813d2910a1,1001011001010,6,1,4,1,phase06_candidate_pool_02,2,broad,n_heads_06,2,candidate
mask_9a3b512a6d5b5343,0010101001101,6,1,4,1,phase06_candidate_pool_02,2,broad,n_heads_06,3,candidate
mask_a791483961ac08f1,0011101001001,6,1,4,1,phase06_candidate_pool_02,2,broad,n_heads_06,1,candidate
mask_bcb1377f7e4ebcd0,0011110000110,6,1,4,1,phase06_candidate_pool_02,2,broad,n_heads_06,0,candidate
mask_0cc7b2ed6fb1a109,1100001011100,6,2,4,0,phase06_candidate_pool_02,2,primary_heavy,n_heads_06,3,candidate
mask_3ca3fb1b0193ecd6,1100010110010,6,2,3,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_06,0,candidate
mask_5485b07a1b5fe115,1110001101000,6,3,3,0,phase06_candidate_pool_02,2,primary_heavy,n_heads_06,1,candidate
mask_7308ddb617f25bd3,1100001011010,6,2,3,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_06,2,candidate
mask_478cbc70abe508f0,0011001010111,7,1,4,2,phase06_candidate_pool_02,2,broad,n_heads_07,1,candidate
mask_4e491ce4fc3272cf,1001101110001,7,1,5,1,phase06_candidate_pool_02,2,broad,n_heads_07,3,candidate
mask_977af120b3698440,0011111100010,7,1,5,1,phase06_candidate_pool_02,2,broad,n_heads_07,0,candidate
mask_e30e0a69a2ed2d22,0000101011111,7,0,5,2,phase06_candidate_pool_02,2,broad,n_heads_07,2,candidate
mask_8dad17ac3ccbac3a,1010100010111,7,2,3,2,phase06_candidate_pool_02,2,primary_heavy,n_heads_07,2,candidate
mask_d4bdb2d8efb7ca34,1011100001011,7,2,3,2,phase06_candidate_pool_02,2,primary_heavy,n_heads_07,1,candidate
mask_deeb47baa9998e3d,1100101101001,7,2,4,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_07,0,candidate
mask_fa4d838029aa7135,1111100110000,7,3,4,0,phase06_candidate_pool_02,2,primary_heavy,n_heads_07,3,candidate
mask_2a7d26fa7148945a,0010100111111,8,1,5,2,phase06_candidate_pool_02,2,broad,n_heads_08,0,candidate
mask_6362fd9e5b7d84d9,0011000111111,8,1,5,2,phase06_candidate_pool_02,2,broad,n_heads_08,1,candidate
mask_82916aa904458976,0101110110110,8,1,6,1,phase06_candidate_pool_02,2,broad,n_heads_08,2,candidate
mask_39fef7db4d0f84c5,1101001111001,8,2,5,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_08,2,candidate
mask_d820c3385c31a4b7,1110011010101,8,3,4,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_08,1,candidate
mask_fe7be4540a918168,0110110010111,8,2,4,2,phase06_candidate_pool_02,2,primary_heavy,n_heads_08,0,candidate
mask_1e751198d8d80a05,0011111110011,9,1,6,2,phase06_candidate_pool_02,2,broad,n_heads_09,0,candidate
mask_b367bf1c9e3fdd79,1110111001101,9,3,5,1,phase06_candidate_pool_02,2,primary_heavy,n_heads_09,0,candidate
mask_e50c4bd8821232ca,0000010001101,4,0,3,1,phase06_candidate_pool_03,3,broad,n_heads_04,0,candidate
mask_3c630391ca340df7,1010010010000,4,2,2,0,phase06_candidate_pool_03,3,primary_heavy,n_heads_04,0,candidate
mask_1d5f694ee2bf1c48,0101101001000,5,1,4,0,phase06_candidate_pool_03,3,broad,n_heads_05,0,candidate
mask_32e07f56c5eae0ac,0011011000100,5,1,4,0,phase06_candidate_pool_03,3,broad,n_heads_05,2,candidate
mask_9db90d16712c3f13,0100000100111,5,1,2,2,phase06_candidate_pool_03,3,broad,n_heads_05,1,candidate
mask_499fdac844c52ca0,1011100001000,5,2,3,0,phase06_candidate_pool_03,3,primary_heavy,n_heads_05,2,candidate
mask_acb5d56587be8429,1011000100010,5,2,2,1,phase06_candidate_pool_03,3,primary_heavy,n_heads_05,0,candidate
mask_c7aa76cfe19311e6,1011001100000,5,2,3,0,phase06_candidate_pool_03,3,primary_heavy,n_heads_05,1,candidate
mask_0f5f2a7c22b3c724,1000100101011,6,1,3,2,phase06_candidate_pool_03,3,broad,n_heads_06,0,candidate
mask_1d0de6255c504b20,1001100000111,6,1,3,2,phase06_candidate_pool_03,3,broad,n_heads_06,1,candidate
mask_725752420ca9db2f,1001010100101,6,1,4,1,phase06_candidate_pool_03,3,broad,n_heads_06,2,candidate
mask_d5ed0385962bffdc,0101001110010,6,1,4,1,phase06_candidate_pool_03,3,broad,n_heads_06,3,candidate
mask_4953509e1c052e88,1100110000101,6,2,3,1,phase06_candidate_pool_03,3,primary_heavy,n_heads_06,0,candidate
mask_bca1b7d2f41e9a83,1011001100100,6,2,4,0,phase06_candidate_pool_03,3,primary_heavy,n_heads_06,2,candidate
mask_ca85be282e906700,1011001010100,6,2,4,0,phase06_candidate_pool_03,3,primary_heavy,n_heads_06,3,candidate
mask_e298ebe2461044b1,1100011101000,6,2,4,0,phase06_candidate_pool_03,3,primary_heavy,n_heads_06,1,candidate
mask_0dcd157549c8d42a,0100111110010,7,1,5,1,phase06_candidate_pool_03,3,broad,n_heads_07,0,candidate
mask_6d95221966c09a84,0001110110011,7,0,5,2,phase06_candidate_pool_03,3,broad,n_heads_07,2,candidate
mask_9a21120a93d58840,0011011101100,7,1,6,0,phase06_candidate_pool_03,3,broad,n_heads_07,3,candidate
mask_e26ce2c2d78eea3f,1001110100011,7,1,4,2,phase06_candidate_pool_03,3,broad,n_heads_07,1,candidate
mask_24092c6b55aa384a,1111000110010,7,3,3,1,phase06_candidate_pool_03,3,primary_heavy,n_heads_07,3,candidate
mask_9aed5ae7000f445d,0110001011101,7,2,4,1,phase06_candidate_pool_03,3,primary_heavy,n_heads_07,0,candidate
mask_c2c66e2edfe38994,1011000010111,7,2,3,2,phase06_candidate_pool_03,3,primary_heavy,n_heads_07,1,candidate
mask_e3701a10878ce45d,1010100011011,7,2,3,2,phase06_candidate_pool_03,3,primary_heavy,n_heads_07,2,candidate
mask_8c67fd1c60cb74d8,1001111100101,8,1,6,1,phase06_candidate_pool_03,3,broad,n_heads_08,0,candidate
mask_9289d1eaefcfe12d,0010111111010,8,1,6,1,phase06_candidate_pool_03,3,broad,n_heads_08,1,candidate
mask_eb3d274c4640bc03,1001111110001,8,1,6,1,phase06_candidate_pool_03,3,broad,n_heads_08,2,candidate
mask_01a4a991d41997e1,1011100011101,8,2,5,1,phase06_candidate_pool_03,3,primary_heavy,n_heads_08,2,candidate
mask_15fbb2d2f5f91d69,1011000111011,8,2,4,2,phase06_candidate_pool_03,3,primary_heavy,n_heads_08,1,candidate
mask_51f1e384e24d0440,1011000011111,8,2,4,2,phase06_candidate_pool_03,3,primary_heavy,n_heads_08,0,candidate
mask_0eee67f37c3677e3,1001001111111,9,1,6,2,phase06_candidate_pool_03,3,broad,n_heads_09,0,candidate
mask_114d66a3330411f5,0110110111110,9,2,6,1,phase06_candidate_pool_03,3,primary_heavy,n_heads_09,0,candidate
mask_aa1f67beb75a56fb,0011001001000,4,1,3,0,phase06_candidate_pool_04,4,broad,n_heads_04,0,candidate
mask_72f1b1c0fed2784f,1010101000000,4,2,2,0,phase06_candidate_pool_04,4,primary_heavy,n_heads_04,0,candidate
mask_59a75cf66f3b90eb,0010010011100,5,1,4,0,phase06_candidate_pool_04,4,broad,n_heads_05,0,candidate
mask_7525d589f1811a2a,0011000100101,5,1,3,1,phase06_candidate_pool_04,4,broad,n_heads_05,2,candidate
mask_e980f9a839705e0b,0011010001001,5,1,3,1,phase06_candidate_pool_04,4,broad,n_heads_05,1,candidate
mask_3bc8ffff95c79989,1010010000110,5,2,2,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_05,2,candidate
mask_ee5bbe1c5c7a4a2c,1110000100010,5,3,1,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_05,1,candidate
mask_fa4ad0890f992daa,1101000000011,5,2,1,2,phase06_candidate_pool_04,4,primary_heavy,n_heads_05,0,candidate
mask_3011b61d44b8c0ff,0001101110010,6,0,5,1,phase06_candidate_pool_04,4,broad,n_heads_06,3,candidate
mask_b6ad76378a52e8ea,1000010111010,6,1,4,1,phase06_candidate_pool_04,4,broad,n_heads_06,0,candidate
mask_cb5eba4fda96258d,0100100011011,6,1,3,2,phase06_candidate_pool_04,4,broad,n_heads_06,1,candidate
mask_ef3bf38c0a08a405,1000111001100,6,1,5,0,phase06_candidate_pool_04,4,broad,n_heads_06,2,candidate
mask_1244031a883d820c,1110001110000,6,3,3,0,phase06_candidate_pool_04,4,primary_heavy,n_heads_06,0,candidate
mask_a65e920f4060f6e3,1110001001001,6,3,2,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_06,1,candidate
mask_c8df04568cf5242d,1100101001010,6,2,3,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_06,2,candidate
mask_e1ad46ed6f1e01ea,0110001010101,6,2,3,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_06,3,candidate
mask_2d82baba5d880532,0101011111000,7,1,6,0,phase06_candidate_pool_04,4,broad,n_heads_07,2,candidate
mask_38dd2eada3d6fa40,0001110110101,7,0,6,1,phase06_candidate_pool_04,4,broad,n_heads_07,1,candidate
mask_85c095d7a113570d,0100011010111,7,1,4,2,phase06_candidate_pool_04,4,broad,n_heads_07,0,candidate
mask_bd6cfd828dc339f7,1001011110010,7,1,5,1,phase06_candidate_pool_04,4,broad,n_heads_07,3,candidate
mask_01ff3fffa329703c,1011110000110,7,2,4,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_07,0,candidate
mask_1bbbd7e8877b7859,1110010000111,7,3,2,2,phase06_candidate_pool_04,4,primary_heavy,n_heads_07,2,candidate
mask_2fbcad1958d27661,1010101110010,7,2,4,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_07,1,candidate
mask_dcea897590bd9243,1010110110100,7,2,5,0,phase06_candidate_pool_04,4,primary_heavy,n_heads_07,3,candidate
mask_5252a6d76b90bf2f,0100011011111,8,1,5,2,phase06_candidate_pool_04,4,broad,n_heads_08,2,candidate
mask_69d50d8c2d3f4097,0011001111110,8,1,6,1,phase06_candidate_pool_04,4,broad,n_heads_08,0,candidate
mask_e65bdea004670edb,1000111111010,8,1,6,1,phase06_candidate_pool_04,4,broad,n_heads_08,1,candidate
mask_15bedc78af6be791,1110010110101,8,3,4,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_08,2,candidate
mask_63448d600e9af436,1111100100101,8,3,4,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_08,1,candidate
mask_7c719041133a7d69,1011100100111,8,2,4,2,phase06_candidate_pool_04,4,primary_heavy,n_heads_08,0,candidate
mask_38a2ce661c61438d,0010111111101,9,1,7,1,phase06_candidate_pool_04,4,broad,n_heads_09,0,candidate
mask_e8cf0fd86ab4fa5a,1100111101101,9,2,6,1,phase06_candidate_pool_04,4,primary_heavy,n_heads_09,0,candidate
mask_5fc86f4553a28add,0101011000000,4,1,3,0,phase06_candidate_pool_05,5,broad,n_heads_04,0,candidate
mask_160537cfc32ea934,1101000000010,4,2,1,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_04,0,candidate
mask_8a0c6a34d07ed729,1001000110001,5,1,3,1,phase06_candidate_pool_05,5,broad,n_heads_05,0,candidate
mask_c92314c6ae2f4aba,0100010001110,5,1,3,1,phase06_candidate_pool_05,5,broad,n_heads_05,2,candidate
mask_ce9809db29824c1b,0100010011010,5,1,3,1,phase06_candidate_pool_05,5,broad,n_heads_05,1,candidate
mask_3aa999fbe97d54f9,1010100000110,5,2,2,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_05,2,candidate
mask_3caa109521f3e40c,1110000100001,5,3,1,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_05,1,candidate
mask_3d5e51072ada7b1d,1100000100110,5,2,2,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_05,0,candidate
mask_562104884c4da175,0010101101001,6,1,4,1,phase06_candidate_pool_05,5,broad,n_heads_06,2,candidate
mask_73090e3b73d4a7ca,1000011011001,6,1,4,1,phase06_candidate_pool_05,5,broad,n_heads_06,0,candidate
mask_beca80d2e0bb9d12,1001001100011,6,1,3,2,phase06_candidate_pool_05,5,broad,n_heads_06,1,candidate
mask_f09db8fb5e0781b0,0000011100111,6,0,4,2,phase06_candidate_pool_05,5,broad,n_heads_06,3,candidate
mask_10ef00248e2a16b2,1010010011100,6,2,4,0,phase06_candidate_pool_05,5,primary_heavy,n_heads_06,2,candidate
mask_1c49e558ac8e8c24,1010010011010,6,2,3,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_06,0,candidate
mask_c90734f24742d01f,1101001110000,6,2,4,0,phase06_candidate_pool_05,5,primary_heavy,n_heads_06,1,candidate
mask_ca31e3f43a439555,1100011100100,6,2,4,0,phase06_candidate_pool_05,5,primary_heavy,n_heads_06,3,candidate
mask_17978fc8968f1fc3,1001101000111,7,1,4,2,phase06_candidate_pool_05,5,broad,n_heads_07,1,candidate
mask_85b2761460306e88,1000111000111,7,1,4,2,phase06_candidate_pool_05,5,broad,n_heads_07,0,candidate
mask_dfe2193501c866d9,1000110111001,7,1,5,1,phase06_candidate_pool_05,5,broad,n_heads_07,3,candidate
mask_eee9d57261a5778d,1000110101011,7,1,4,2,phase06_candidate_pool_05,5,broad,n_heads_07,2,candidate
mask_32942531cef4aaf6,0110101110001,7,2,4,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_07,3,candidate
mask_3d4a482b78d1fb54,1010010111010,7,2,4,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_07,2,candidate
mask_41ad6a89e191a1ac,1110001010101,7,3,3,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_07,0,candidate
mask_6f68c1805e63dbcb,1110100110010,7,3,3,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_07,1,candidate
mask_70b46e61fb47c892,0101111000111,8,1,5,2,phase06_candidate_pool_05,5,broad,n_heads_08,1,candidate
mask_7adcb9995536c11b,0011111001101,8,1,6,1,phase06_candidate_pool_05,5,broad,n_heads_08,2,candidate
mask_b4674531dd7821c4,0011111100011,8,1,5,2,phase06_candidate_pool_05,5,broad,n_heads_08,0,candidate
mask_67743d19feff71b2,0111110111000,8,2,6,0,phase06_candidate_pool_05,5,primary_heavy,n_heads_08,0,candidate
mask_832c6e18e05980f0,1110001111001,8,3,4,1,phase06_candidate_pool_05,5,primary_heavy,n_heads_08,1,candidate
mask_a87c63c622ca52d6,0111011010011,8,2,4,2,phase06_candidate_pool_05,5,primary_heavy,n_heads_08,2,candidate
mask_3cd2fd2697b950c0,0011110111101,9,1,7,1,phase06_candidate_pool_05,5,broad,n_heads_09,0,candidate
mask_9335ee03304438f0,1111001010111,9,3,4,2,phase06_candidate_pool_05,5,primary_heavy,n_heads_09,0,candidate
mask_5590f2da2f9021c5,0000010001011,4,0,2,2,phase06_candidate_pool_06,6,broad,n_heads_04,0,candidate
mask_6d0e7bb42ef5b279,1010100000100,4,2,2,0,phase06_candidate_pool_06,6,primary_heavy,n_heads_04,0,candidate
mask_499172290ed66fd9,0000111000110,5,0,4,1,phase06_candidate_pool_06,6,broad,n_heads_05,2,candidate
mask_5b9bf328ae67fadb,0010101001001,5,1,3,1,phase06_candidate_pool_06,6,broad,n_heads_05,1,candidate
mask_d3d2d4a8c5dbdc3a,0011100011000,5,1,4,0,phase06_candidate_pool_06,6,broad,n_heads_05,0,candidate
mask_311246bcf526519a,0110000011001,5,2,2,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_05,0,candidate
mask_552398d8afef98bd,1110100001000,5,3,2,0,phase06_candidate_pool_06,6,primary_heavy,n_heads_05,2,candidate
mask_bbba8159c19f04b7,1100001100010,5,2,2,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_05,1,candidate
mask_0b2f75e03d26edd8,0001011010101,6,0,5,1,phase06_candidate_pool_06,6,broad,n_heads_06,0,candidate
mask_22c459154ea7a30f,0000111101001,6,0,5,1,phase06_candidate_pool_06,6,broad,n_heads_06,1,candidate
mask_ea814f60597e1aae,0001011001110,6,0,5,1,phase06_candidate_pool_06,6,broad,n_heads_06,3,candidate
mask_eaf9ec428efecf56,0001100111010,6,0,5,1,phase06_candidate_pool_06,6,broad,n_heads_06,2,candidate
mask_2c1a0d1f51043ce5,0110111000100,6,2,4,0,phase06_candidate_pool_06,6,primary_heavy,n_heads_06,3,candidate
mask_3096bfee32fec1e8,1010100011001,6,2,3,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_06,2,candidate
mask_509cf366199be9a7,1110100000101,6,3,2,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_06,0,candidate
mask_89a502dda0fb421a,1101000110001,6,2,3,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_06,1,candidate
mask_1d957da7913442f3,1001111100001,7,1,5,1,phase06_candidate_pool_06,6,broad,n_heads_07,1,candidate
mask_c67e531bd6db9e7f,0100011101011,7,1,4,2,phase06_candidate_pool_06,6,broad,n_heads_07,2,candidate
mask_e4aee9514317198c,0101011101001,7,1,5,1,phase06_candidate_pool_06,6,broad,n_heads_07,3,candidate
mask_fd777a7efeb8f04a,0001101100111,7,0,5,2,phase06_candidate_pool_06,6,broad,n_heads_07,0,candidate
mask_13960b9e9f989b7c,1100001111100,7,2,5,0,phase06_candidate_pool_06,6,primary_heavy,n_heads_07,1,candidate
mask_2ac4ed05ae4c779c,0110100110110,7,2,4,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_07,0,candidate
mask_e34de7aa65ddfc28,1011000101110,7,2,4,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_07,3,candidate
mask_e870258636d0dc85,0110011001011,7,2,3,2,phase06_candidate_pool_06,6,primary_heavy,n_heads_07,2,candidate
mask_269ee30f53d3539e,1001100111110,8,1,6,1,phase06_candidate_pool_06,6,broad,n_heads_08,1,candidate
mask_6f80027004dda3d5,0100111111001,8,1,6,1,phase06_candidate_pool_06,6,broad,n_heads_08,2,candidate
mask_72cf312614b9b011,0101101011011,8,1,5,2,phase06_candidate_pool_06,6,broad,n_heads_08,0,candidate
mask_47baf58f561dd1a2,1100010111011,8,2,4,2,phase06_candidate_pool_06,6,primary_heavy,n_heads_08,1,candidate
mask_4904fe8e5c817265,1100101101011,8,2,4,2,phase06_candidate_pool_06,6,primary_heavy,n_heads_08,2,candidate
mask_f8857559e1205646,1111001001110,8,3,4,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_08,0,candidate
mask_0262d302c524ae23,0101111101101,9,1,7,1,phase06_candidate_pool_06,6,broad,n_heads_09,0,candidate
mask_2edbddf2ab14a010,1011011111001,9,2,6,1,phase06_candidate_pool_06,6,primary_heavy,n_heads_09,0,candidate
