observer,target_pairs,prevalence,audit_fraction,auroc,violations_mean,outcome_lower_95,outcome_upper_95
refit-p8-s9123,8,0.01,0.02,0.9386869146722164,5.541,2.0,9.0
refit-p8-s9123,8,0.05,0.02,0.9386869146722164,46.42,45.0,50.0
refit-p32-s9123,32,0.01,0.02,0.9346040727251705,5.5925,2.0,9.0
refit-p32-s9123,32,0.05,0.02,0.9346040727251705,46.8175,45.0,51.0
refit-p128-s9123,128,0.01,0.02,0.9397744681466066,5.044,2.0,9.0
refit-p128-s9123,128,0.05,0.02,0.9397744681466066,46.4415,45.0,49.0
refit-p512-s9123,512,0.01,0.02,0.9398539571048676,5.249,2.0,9.0
refit-p512-s9123,512,0.05,0.02,0.9398539571048676,45.1995,45.0,48.0
refit-p700-s9123,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
refit-p700-s9123,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
refit-p8-s9124,8,0.01,0.02,0.9029801133078968,8.2515,5.0,12.0
refit-p8-s9124,8,0.05,0.02,0.9029801133078968,51.936,47.0,57.0
refit-p32-s9124,32,0.01,0.02,0.9265395565961383,6.561,3.0,10.0
refit-p32-s9124,32,0.05,0.02,0.9265395565961383,51.7475,48.0,57.0
refit-p128-s9124,128,0.01,0.02,0.9334749682044167,5.08,2.0,9.0
refit-p128-s9124,128,0.05,0.02,0.9334749682044167,46.949,45.0,51.0
refit-p512-s9124,512,0.01,0.02,0.9405278066828535,5.0145,2.0,9.0
refit-p512-s9124,512,0.05,0.02,0.9405278066828535,45.24,45.0,48.0
refit-p700-s9124,700,0.01,0.02,0.9401321684587813,5.177,2.0,9.0
refit-p700-s9124,700,0.05,0.02,0.9401321684587813,45.267,45.0,48.0
refit-p8-s9125,8,0.01,0.02,0.9112812897444791,7.5155,4.0,11.0
refit-p8-s9125,8,0.05,0.02,0.9112812897444791,52.6675,48.0,58.0
refit-p32-s9125,32,0.01,0.02,0.9252659266967279,5.529,2.0,9.0
refit-p32-s9125,32,0.05,0.02,0.9252659266967279,46.527,45.0,49.0
refit-p128-s9125,128,0.01,0.02,0.9324470314487224,5.3385,2.0,9.0
refit-p128-s9125,128,0.05,0.02,0.9324470314487224,46.6465,45.0,50.0
refit-p512-s9125,512,0.01,0.02,0.9405567117585848,4.9925,2.0,9.0
refit-p512-s9125,512,0.05,0.02,0.9405567117585848,45.3055,45.0,48.0
refit-p700-s9125,700,0.01,0.02,0.9400960371141173,5.169,2.0,9.0
refit-p700-s9125,700,0.05,0.02,0.9400960371141173,45.2755,45.0,48.0
refit-p8-s9126,8,0.01,0.02,0.9097420944617874,10.276,7.0,13.024999999999864
refit-p8-s9126,8,0.05,0.02,0.9097420944617874,58.8825,54.0,64.0
refit-p32-s9126,32,0.01,0.02,0.9344017371950515,5.603,2.0,9.0
refit-p32-s9126,32,0.05,0.02,0.9344017371950515,47.34,45.0,51.0
refit-p128-s9126,128,0.01,0.02,0.9403417302578333,5.05,2.0,9.0
refit-p128-s9126,128,0.05,0.02,0.9403417302578333,45.355,45.0,48.0
refit-p512-s9126,512,0.01,0.02,0.9393047606659729,5.1655,2.0,9.0
refit-p512-s9126,512,0.05,0.02,0.9393047606659729,45.537,45.0,49.0
refit-p700-s9126,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
refit-p700-s9126,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
refit-p8-s9127,8,0.01,0.02,0.9393553445485027,5.207,2.0,9.0
refit-p8-s9127,8,0.05,0.02,0.9393553445485027,46.974,45.0,50.0
refit-p32-s9127,32,0.01,0.02,0.9347251127297953,5.623,2.0,9.0
refit-p32-s9127,32,0.05,0.02,0.9347251127297953,48.447,45.0,52.0
refit-p128-s9127,128,0.01,0.02,0.9400201612903226,5.049,2.0,9.0
refit-p128-s9127,128,0.05,0.02,0.9400201612903226,45.214,45.0,48.0
refit-p512-s9127,512,0.01,0.02,0.939454705746329,5.2545,2.0,9.0
refit-p512-s9127,512,0.05,0.02,0.939454705746329,45.345,45.0,48.0
refit-p700-s9127,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
refit-p700-s9127,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
refit-p8-s9128,8,0.01,0.02,0.923399742744826,7.08,4.0,11.0
refit-p8-s9128,8,0.05,0.02,0.923399742744826,50.69,47.0,55.0
refit-p32-s9128,32,0.01,0.02,0.939682333217713,5.11,2.0,9.0
refit-p32-s9128,32,0.05,0.02,0.939682333217713,45.781,45.0,49.0
refit-p128-s9128,128,0.01,0.02,0.9392216585732455,5.156,2.0,9.0
refit-p128-s9128,128,0.05,0.02,0.9392216585732455,46.032,45.0,49.0
refit-p512-s9128,512,0.01,0.02,0.9402839201063706,5.027,2.0,8.0
refit-p512-s9128,512,0.05,0.02,0.9402839201063706,45.21,45.0,48.0
refit-p700-s9128,700,0.01,0.02,0.9400960371141173,5.169,2.0,9.0
refit-p700-s9128,700,0.05,0.02,0.9400960371141173,45.2755,45.0,48.0
refit-p8-s9129,8,0.01,0.02,0.9377782113539137,6.0675,3.0,9.0
refit-p8-s9129,8,0.05,0.02,0.9377782113539137,49.248,45.0,54.0
refit-p32-s9129,32,0.01,0.02,0.9282413429298185,6.521,3.0,10.0
refit-p32-s9129,32,0.05,0.02,0.9282413429298185,50.849,47.0,55.024999999999864
refit-p128-s9129,128,0.01,0.02,0.9397925338189386,5.149,2.0,9.0
refit-p128-s9129,128,0.05,0.02,0.9397925338189386,45.294,45.0,48.0
refit-p512-s9129,512,0.01,0.02,0.9404989016071222,5.1015,2.0,9.0
refit-p512-s9129,512,0.05,0.02,0.9404989016071222,45.233,45.0,48.0
refit-p700-s9129,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
refit-p700-s9129,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
